Tellepunkt;Veg;Sted;Meter;HP;År;Felt;L.Klasse;ADT;ÅDTavvik;SDT;SDTavvik;YDT;YDTavvik;HDT;HDTavvik;JDT;JDTavvik
100007;ET18;ØRJE;4550;1;2017;1;20;3328;349;4368;454;3194;332;3622;386;4825;497
100007;ET18;ØRJE;4550;1;2017;2;20;3155;333;4331;450;3267;339;2908;319;4870;501
100001;EV6;SANDESUND SØR;17;4;2017;R0;20;39589;0;43810;0;42832;0;32449;0;43577;0
100007;ET18;ØRJE;4550;1;2017;R1;20;3328;349;4368;454;3194;332;3622;386;4825;497
100007;ET18;ØRJE;4550;1;2017;R2;20;3155;333;4331;450;3267;339;2908;319;4870;501
100001;EV6;SANDESUND SØR;17;4;2017;1;20;7101;-999;8214;-999;7594;-999;6014;-999;8192;-999
100001;EV6;SANDESUND SØR;17;4;2017;2;20;6009;-999;7273;-999;6858;-999;4140;-999;7537;-999
100001;EV6;SANDESUND SØR;17;4;2017;3;20;12979;-999;13997;-999;13649;-999;11505;-999;13982;-999
100001;EV6;SANDESUND SØR;17;4;2017;4;20;13500;-999;14326;-999;14732;-999;10789;-999;13866;-999
100002;EV18;ELVESTAD VEST;9293;7;2017;R0;20;13055;208;13873;253;14481;222;9914;175;13325;365
100001;EV6;SANDESUND SØR;17;4;2017;R1;20;20080;0;22211;0;21243;0;17519;0;22174;0
100001;EV6;SANDESUND SØR;17;4;2017;R2;20;19509;0;21599;0;21589;0;14930;0;21403;0
100008;EV6;STOREBAUG;4520;8;2017;1;20;7617;-999;9012;-999;8015;-999;6739;-999;8914;-999
100008;EV6;STOREBAUG;4520;8;2017;2;20;7206;-999;8552;-999;8201;-999;5013;-999;8570;-999
100008;EV6;STOREBAUG;4520;8;2017;3;20;12870;-999;14059;-999;13323;-999;11873;-999;14153;-999
100008;EV6;STOREBAUG;4520;8;2017;4;20;12652;-999;13749;-999;13517;-999;10747;-999;13657;-999
