route_id;road_category_name;road_category_shortname;road_number;year;heavy_ratio;adt;municipality_number;street_id;street_name;road_category_and_number;trp_id;trp_name;comment;border_country
885181;Europaveg;E;10;2018;22;1126;1806;10510;Riksgrensen;EV10;01777V885181;Bjørnfjell;;Sverige
885267;Riksveg;R;73;2018;17;246;1826;4000;Krutfjellveien;RV73;35829V885266;Krutfjellet;;Sverige
885542;Fylkesveg;F;7346;2018;6;50;1826;6100;Skardmodalsveien;FV7346;08581V885541;Skardmodalen;;Sverige
885212;Europaveg;E;12;2018;10;600;1833;1227;Svenskveien;EV12;51812V1203972;Umbukta;;Sverige
885277;Riksveg;R;77;2018;24;430;1840;;Graddisveien;RV77;77275V885276;Graddis;;Sverige
971421;Fylkesveg;F;884;2018;11;841;3001;3925;Kornsjøveien;FV884;;na;Stor nok vei til at vi burde ha et punkt;Sverige
971423;Fylkesveg;F;102;2018;7;110;3001;1325;Berbyveien;FV102;57474V971423;Berby;;Sverige
971747;Fylkesveg;F;1330;2018;10;104;3001;;Bokerødveien;FV1330;;na;Lite trafikk?;Sverige
971411;Fylkesveg;F;220;2018;13;429;3001;2155;Enningdalsveien;FV220;02535V971411;Holtet;;Sverige
971507;Fylkesveg;F;118;2018;2;7406;3001;2530;Gamle Svinesundsvei;FV118;35229V971507;Svinesund;;Sverige
971774;Europaveg;E;6;2018;15;15580;3001;;Ev 6;EV6;04904V971774;Nye Svinesund bru;;Sverige
971425;Fylkesveg;F;106;2018;15;309;3012;2100;Bjørkebekkveien;FV106;09269V971425;Bjørkebekk;;Sverige
2607269;Europaveg;E;18;2018;15;6152;3013;;Svenskeveien;EV18;21405V2607269;Ørje;;Sverige
971733;Fylkesveg;F;1312;2018;10;24;3013;;Vengsveien;FV1312;;na;Lite trafikk?;Sverige
443929;Fylkesveg;F;1478;2018;10;202;3026;5009;Sukkerveien;FV1478;;na;Noe trafikk- burde hatt punkt?;Sverige
971567;Fylkesveg;F;126;2018;7;221;3026;1041;Trosterudveien;FV126;05732V971567;Trosterud;;Sverige
704964;Fylkesveg;F;1992;2018;10;50;3401;2241;Mitandersforsvegen;FV1992;;na;Noe trafikk- burde hatt punkt?;Sverige
