"trp_id";"month";"day_name";"daily_traffic";"included_days";"possible_days";"day_number_of_week"
"00737V704646";1;"FRIDAY";742;12;12;5
"00737V704646";1;"MONDAY";396;14;14;1
"00737V704646";1;"SATURDAY";839;12;12;6
"00737V704646";1;"SUNDAY";874;13;13;7
"00737V704646";1;"THURSDAY";665;13;13;4
"00737V704646";1;"TUESDAY";391;15;15;2
"00737V704646";1;"WEDNESDAY";436;14;14;3
"00737V704646";2;"FRIDAY";910;14;16;5
"00737V704646";2;"MONDAY";544;14;17;1
"00737V704646";2;"SATURDAY";1034;14;16;6
"00737V704646";2;"SUNDAY";1063;14;16;7
"00737V704646";2;"THURSDAY";754;14;16;4
"00737V704646";2;"TUESDAY";578;13;16;2
"00737V704646";2;"WEDNESDAY";663;13;16;3
"00737V704646";3;"FRIDAY";941;19;19;5
"00737V704646";3;"MONDAY";579;16;16;1
"00737V704646";3;"SATURDAY";1062;18;18;6
"00737V704646";3;"SUNDAY";1181;16;17;7
"00737V704646";3;"THURSDAY";878;19;19;4
"00737V704646";3;"TUESDAY";634;17;17;2
"00737V704646";3;"WEDNESDAY";714;18;18;3
"00737V704646";4;"FRIDAY";919;12;12;5
"00737V704646";4;"MONDAY";712;14;14;1
"00737V704646";4;"SATURDAY";888;14;18;6
"00737V704646";4;"SUNDAY";1030;15;18;7
"00737V704646";4;"THURSDAY";960;12;12;4
"00737V704646";4;"TUESDAY";681;13;13;2
"00737V704646";4;"WEDNESDAY";843;12;12;3
"00737V704646";5;"FRIDAY";840;13;13;5
"00737V704646";5;"MONDAY";456;12;13;1
"00737V704646";5;"SATURDAY";731;12;12;6
"00737V704646";5;"SUNDAY";682;12;12;7
"00737V704646";5;"THURSDAY";694;14;14;4
"00737V704646";5;"TUESDAY";533;14;14;2
"00737V704646";5;"WEDNESDAY";609;15;15;3
"00737V704646";6;"FRIDAY";970;14;14;5
"00737V704646";6;"MONDAY";655;12;12;1
"00737V704646";6;"SATURDAY";958;14;14;6
"00737V704646";6;"SUNDAY";937;13;13;7
"00737V704646";6;"THURSDAY";920;13;13;4
"00737V704646";6;"TUESDAY";678;12;12;2
"00737V704646";6;"WEDNESDAY";802;12;12;3
"00737V704646";7;"FRIDAY";1213;15;17;5
"00737V704646";7;"MONDAY";1068;17;19;1
"00737V704646";7;"SATURDAY";1189;17;18;6
"00737V704646";7;"SUNDAY";1411;18;19;7
"00737V704646";7;"THURSDAY";1182;15;16;4
"00737V704646";7;"TUESDAY";1071;16;18;2
"00737V704646";7;"WEDNESDAY";1088;16;17;3
"00737V704646";8;"FRIDAY";1019;18;18;5
"00737V704646";8;"MONDAY";650;17;17;1
"00737V704646";8;"SATURDAY";950;17;17;6
"00737V704646";8;"SUNDAY";934;16;16;7
"00737V704646";8;"THURSDAY";859;19;19;4
"00737V704646";8;"TUESDAY";684;18;18;2
"00737V704646";8;"WEDNESDAY";798;19;19;3
"00737V704646";9;"FRIDAY";935;18;18;5
"00737V704646";9;"MONDAY";544;17;17;1
"00737V704646";9;"SATURDAY";963;18;18;6
"00737V704646";9;"SUNDAY";872;18;18;7
"00737V704646";9;"THURSDAY";710;17;17;4
"00737V704646";9;"TUESDAY";580;16;16;2
"00737V704646";9;"WEDNESDAY";622;16;16;3
"00737V704646";10;"FRIDAY";917;16;16;5
"00737V704646";10;"MONDAY";481;19;19;1
"00737V704646";10;"SATURDAY";884;17;17;6
"00737V704646";10;"SUNDAY";765;18;18;7
"00737V704646";10;"THURSDAY";705;16;17;4
"00737V704646";10;"TUESDAY";492;19;19;2
"00737V704646";10;"WEDNESDAY";580;17;18;3
"00737V704646";11;"FRIDAY";753;18;18;5
"00737V704646";11;"MONDAY";385;16;16;1
"00737V704646";11;"SATURDAY";733;17;17;6
"00737V704646";11;"SUNDAY";594;16;16;7
"00737V704646";11;"THURSDAY";531;18;18;4
"00737V704646";11;"TUESDAY";426;17;17;2
"00737V704646";11;"WEDNESDAY";465;18;18;3
"00737V704646";12;"FRIDAY";939;18;18;5
"00737V704646";12;"MONDAY";535;18;18;1
"00737V704646";12;"SATURDAY";853;19;19;6
"00737V704646";12;"SUNDAY";635;19;19;7
"00737V704646";12;"THURSDAY";793;17;17;4
"00737V704646";12;"TUESDAY";541;17;17;2
"00737V704646";12;"WEDNESDAY";649;16;16;3
"01777V885181";1;"FRIDAY";518;15;17;5
"01777V885181";1;"MONDAY";339;16;18;1
"01777V885181";1;"SATURDAY";677;14;17;6
"01777V885181";1;"SUNDAY";591;16;18;7
"01777V885181";1;"THURSDAY";408;16;17;4
"01777V885181";1;"TUESDAY";335;17;19;2
"01777V885181";1;"WEDNESDAY";392;16;18;3
"01777V885181";2;"FRIDAY";732;16;16;5
"01777V885181";2;"MONDAY";408;17;17;1
"01777V885181";2;"SATURDAY";857;16;16;6
"01777V885181";2;"SUNDAY";836;15;16;7
"01777V885181";2;"THURSDAY";626;16;16;4
"01777V885181";2;"TUESDAY";429;16;16;2
"01777V885181";2;"WEDNESDAY";547;15;16;3
"01777V885181";3;"FRIDAY";1038;19;19;5
"01777V885181";3;"MONDAY";684;15;16;1
"01777V885181";3;"SATURDAY";1121;18;18;6
"01777V885181";3;"SUNDAY";918;17;17;7
"01777V885181";3;"THURSDAY";882;19;19;4
"01777V885181";3;"TUESDAY";700;17;17;2
"01777V885181";3;"WEDNESDAY";662;18;18;3
"01777V885181";4;"FRIDAY";1308;17;17;5
"01777V885181";4;"MONDAY";885;18;18;1
"01777V885181";4;"SATURDAY";1507;18;18;6
"01777V885181";4;"SUNDAY";1334;18;18;7
"01777V885181";4;"THURSDAY";1092;16;16;4
"01777V885181";4;"TUESDAY";781;17;17;2
"01777V885181";4;"WEDNESDAY";938;16;16;3
"01777V885181";5;"FRIDAY";1240;16;17;5
"01777V885181";5;"MONDAY";783;16;18;1
"01777V885181";5;"SATURDAY";1251;16;16;6
"01777V885181";5;"SUNDAY";1148;15;17;7
"01777V885181";5;"THURSDAY";994;17;18;4
"01777V885181";5;"TUESDAY";705;17;19;2
"01777V885181";5;"WEDNESDAY";798;17;19;3
"01777V885181";6;"FRIDAY";1414;18;18;5
"01777V885181";6;"MONDAY";1142;16;16;1
"01777V885181";6;"SATURDAY";1509;18;18;6
"01777V885181";6;"SUNDAY";1498;17;17;7
"01777V885181";6;"THURSDAY";1234;18;18;4
"01777V885181";6;"TUESDAY";1059;16;16;2
"01777V885181";6;"WEDNESDAY";1184;16;17;3
"01777V885181";7;"FRIDAY";2390;17;17;5
"01777V885181";7;"MONDAY";2118;19;19;1
"01777V885181";7;"SATURDAY";2298;18;18;6
"01777V885181";7;"SUNDAY";2351;19;19;7
"01777V885181";7;"THURSDAY";2172;16;16;4
"01777V885181";7;"TUESDAY";1947;18;18;2
"01777V885181";7;"WEDNESDAY";2116;17;17;3
"01777V885181";8;"FRIDAY";1983;17;18;5
"01777V885181";8;"MONDAY";1324;17;17;1
"01777V885181";8;"SATURDAY";1952;16;17;6
"01777V885181";8;"SUNDAY";1828;16;16;7
"01777V885181";8;"THURSDAY";1584;19;19;4
"01777V885181";8;"TUESDAY";1317;17;18;2
"01777V885181";8;"WEDNESDAY";1437;19;19;3
"01777V885181";9;"FRIDAY";1263;17;18;5
"01777V885181";9;"MONDAY";711;17;17;1
"01777V885181";9;"SATURDAY";1494;18;18;6
"01777V885181";9;"SUNDAY";1360;18;18;7
"01777V885181";9;"THURSDAY";946;17;17;4
"01777V885181";9;"TUESDAY";753;16;16;2
"01777V885181";9;"WEDNESDAY";827;15;16;3
"01777V885181";10;"FRIDAY";1050;13;16;5
"01777V885181";10;"MONDAY";468;18;19;1
"01777V885181";10;"SATURDAY";1057;16;17;6
"01777V885181";10;"SUNDAY";898;16;18;7
"01777V885181";10;"THURSDAY";762;15;17;4
"01777V885181";10;"TUESDAY";500;17;19;2
"01777V885181";10;"WEDNESDAY";616;16;18;3
"01777V885181";11;"FRIDAY";732;18;18;5
"01777V885181";11;"MONDAY";444;16;16;1
"01777V885181";11;"SATURDAY";886;16;17;6
"01777V885181";11;"SUNDAY";708;15;16;7
"01777V885181";11;"THURSDAY";550;18;18;4
"01777V885181";11;"TUESDAY";468;16;17;2
"01777V885181";11;"WEDNESDAY";496;17;18;3
"01777V885181";12;"FRIDAY";774;18;18;5
"01777V885181";12;"MONDAY";455;16;18;1
"01777V885181";12;"SATURDAY";782;18;19;6
"01777V885181";12;"SUNDAY";504;18;19;7
"01777V885181";12;"THURSDAY";682;16;17;4
"01777V885181";12;"TUESDAY";460;16;17;2
"01777V885181";12;"WEDNESDAY";556;16;16;3
"02535V971411";1;"FRIDAY";150;4;4;5
"02535V971411";1;"MONDAY";120;4;4;1
"02535V971411";1;"SATURDAY";148;4;4;6
"02535V971411";1;"SUNDAY";128;4;4;7
"02535V971411";1;"THURSDAY";132;5;5;4
"02535V971411";1;"TUESDAY";121;5;5;2
"02535V971411";1;"WEDNESDAY";128;5;5;3
"02535V971411";2;"FRIDAY";151;4;4;5
"02535V971411";2;"MONDAY";132;4;4;1
"02535V971411";2;"SATURDAY";145;4;4;6
"02535V971411";2;"SUNDAY";176;4;4;7
"02535V971411";2;"THURSDAY";128;4;4;4
"02535V971411";2;"TUESDAY";142;4;4;2
"02535V971411";2;"WEDNESDAY";140;4;4;3
"02535V971411";3;"FRIDAY";173;5;5;5
"02535V971411";3;"MONDAY";149;4;4;1
"02535V971411";3;"SATURDAY";183;5;5;6
"02535V971411";3;"SUNDAY";209;5;5;7
"02535V971411";3;"THURSDAY";136;4;4;4
"02535V971411";3;"TUESDAY";134;4;4;2
"02535V971411";3;"WEDNESDAY";141;4;4;3
"02535V971411";4;"FRIDAY";272;4;4;5
"02535V971411";4;"MONDAY";235;5;5;1
"02535V971411";4;"SATURDAY";310;4;4;6
"02535V971411";4;"SUNDAY";421;4;4;7
"02535V971411";4;"THURSDAY";279;4;4;4
