"trp_id";"month";"day_name";"daily_traffic";"included_days";"possible_days";"day_number_of_week"
"00737V704646";1;"FRIDAY";786;5;5;5
"00737V704646";1;"MONDAY";449;4;4;1
"00737V704646";1;"SATURDAY";824;4;4;6
"00737V704646";1;"SUNDAY";962;4;4;7
"00737V704646";1;"THURSDAY";778;5;5;4
"00737V704646";1;"TUESDAY";432;4;4;2
"00737V704646";1;"WEDNESDAY";457;5;5;3
"00737V704646";2;"FRIDAY";1000;4;4;5
"00737V704646";2;"MONDAY";580;4;4;1
"00737V704646";2;"SATURDAY";1105;5;5;6
"00737V704646";2;"SUNDAY";1122;4;4;7
"00737V704646";2;"THURSDAY";848;4;4;4
"00737V704646";2;"TUESDAY";572;4;4;2
"00737V704646";2;"WEDNESDAY";723;4;4;3
"00737V704646";3;"FRIDAY";588;4;4;5
"00737V704646";3;"MONDAY";267;5;5;1
"00737V704646";3;"SATURDAY";576;4;4;6
"00737V704646";3;"SUNDAY";600;5;5;7
"00737V704646";3;"THURSDAY";556;4;4;4
"00737V704646";3;"TUESDAY";263;5;5;2
"00737V704646";3;"WEDNESDAY";324;4;4;3
"00737V704646";4;"FRIDAY";68;4;4;5
"00737V704646";4;"MONDAY";74;4;4;1
"00737V704646";4;"SATURDAY";52;4;4;6
"00737V704646";4;"SUNDAY";48;4;4;7
"00737V704646";4;"THURSDAY";78;5;5;4
"00737V704646";4;"TUESDAY";82;4;4;2
"00737V704646";4;"WEDNESDAY";79;5;5;3
"00737V704646";5;"FRIDAY";85;5;5;5
"00737V704646";5;"MONDAY";84;4;4;1
"00737V704646";5;"SATURDAY";68;5;5;6
"00737V704646";5;"SUNDAY";55;5;5;7
"00737V704646";5;"THURSDAY";92;4;4;4
"00737V704646";5;"TUESDAY";86;4;4;2
"00737V704646";5;"WEDNESDAY";86;4;4;3
"00737V704646";6;"FRIDAY";101;4;4;5
"00737V704646";6;"MONDAY";107;5;5;1
"00737V704646";6;"SATURDAY";69;4;4;6
"00737V704646";6;"SUNDAY";83;4;4;7
"00737V704646";6;"THURSDAY";122;4;4;4
"00737V704646";6;"TUESDAY";96;5;5;2
"00737V704646";6;"WEDNESDAY";94;4;4;3
"00737V704646";7;"FRIDAY";355;5;5;5
"00737V704646";7;"MONDAY";310;4;4;1
"00737V704646";7;"SATURDAY";392;4;4;6
"00737V704646";7;"SUNDAY";370;4;4;7
"00737V704646";7;"THURSDAY";363;5;5;4
"00737V704646";7;"TUESDAY";553;3;4;2
"00737V704646";7;"WEDNESDAY";347;5;5;3
"00737V704646";8;"FRIDAY";694;4;4;5
"00737V704646";8;"MONDAY";342;5;5;1
"00737V704646";8;"SATURDAY";356;5;5;6
"00737V704646";8;"SUNDAY";346;5;5;7
"00737V704646";8;"THURSDAY";620;4;4;4
"00737V704646";8;"TUESDAY";478;4;4;2
"00737V704646";8;"WEDNESDAY";638;4;4;3
"00737V704646";9;"FRIDAY";622;4;4;5
"00737V704646";9;"MONDAY";432;4;4;1
"00737V704646";9;"SATURDAY";718;4;4;6
"00737V704646";9;"SUNDAY";529;4;4;7
"00737V704646";9;"THURSDAY";522;4;4;4
"00737V704646";9;"TUESDAY";466;5;5;2
"00737V704646";9;"WEDNESDAY";527;5;5;3
"00737V704646";10;"FRIDAY";530;5;5;5
"00737V704646";10;"MONDAY";180;4;4;1
"00737V704646";10;"SATURDAY";190;5;5;6
"00737V704646";10;"SUNDAY";190;4;4;7
"00737V704646";10;"THURSDAY";438;5;5;4
"00737V704646";10;"TUESDAY";235;4;4;2
"00737V704646";10;"WEDNESDAY";281;4;4;3
"00737V704646";11;"FRIDAY";74;4;4;5
"00737V704646";11;"MONDAY";74;5;5;1
"00737V704646";11;"SATURDAY";50;4;4;6
"00737V704646";11;"SUNDAY";70;5;5;7
"00737V704646";11;"THURSDAY";92;4;4;4
"00737V704646";11;"TUESDAY";74;4;4;2
"00737V704646";11;"WEDNESDAY";72;4;4;3
"00737V704646";12;"FRIDAY";74;4;4;5
"00737V704646";12;"MONDAY";83;4;4;1
"00737V704646";12;"SATURDAY";57;4;4;6
"00737V704646";12;"SUNDAY";74;4;4;7
"00737V704646";12;"THURSDAY";70;5;5;4
"00737V704646";12;"TUESDAY";77;5;5;2
"00737V704646";12;"WEDNESDAY";85;5;5;3
"01777V885181";1;"FRIDAY";518;5;5;5
"01777V885181";1;"MONDAY";392;4;4;1
"01777V885181";1;"SATURDAY";692;4;4;6
"01777V885181";1;"SUNDAY";721;4;4;7
"01777V885181";1;"THURSDAY";272;5;5;4
"01777V885181";1;"TUESDAY";179;4;4;2
"01777V885181";1;"WEDNESDAY";282;5;5;3
