city_area_name;legacyNortrafMpn;base_year;agreement_start;trp_id;kommentar
Bergen;1200007;2017;2017;66206V805614;
Bergen;1200011;2017;2017;52794V805054;
Bergen;1200013;2017;2017;NA;virtuelt
Bergen;;2017;2017;95067V1885981;erstatter for 1200013
Bergen;;2017;2017;17350V1885991;erstatter for 1200013
Bergen;1200019;2017;2017;01316V804837;
Bergen;1200020;2017;2017;13093V804836;
Bergen;1200021;2017;2017;78845V804838;
Bergen;1200024;2017;2017;86349V805605;
Bergen;1200025;2017;2017;31998V805616;
Bergen;1200026;2017;2017;82885V805617;
Bergen;1200027;2017;2017;NA;virtuelt
Bergen;;2017;2017;47166V804764;erstatter for 1200027
Bergen;;2017;2017;55153V805604;erstatter for 1200027
Bergen;;2017;2017;58509V804762;erstatter for 1200027
Bergen;;2017;2017;04939V804763;erstatter for 1200027
Bergen;;2017;2017;49530V804761;erstatter for 1200027
Bergen;1200030;2017;2017;57064V805714;
Bergen;1200031;2017;2017;40830V805015;
Bergen;1200032;2017;2017;21768V805002;
Bergen;1200036;2017;2017;25132V805616;
Bergen;1200037;2017;2017;22439V804830;
Bergen;1200049;2017;2017;67055V804829;
Bergen;1200052;2017;2017;62778V805646;
Bergen;1200068;2017;2017;26420V805748;
Bergen;1200070;2017;2017;78017V804784;
Bergen;1200089;2017;2017;14630V805616;
Bergen;1200091;2017;2017;27019V805142;
Bergen;1200092;2017;2017;63829V805140;
Bergen;1200093;2017;2017;87138V755378;
Bergen;1200124;2017;2017;02940V805615;
Bergen;1200128;2017;2017;NA;virtuelt
Bergen;;2017;2017;99254V1696548;erstatter for 1200128
Bergen;;2017;2017;85085V805128;erstatter for 1200128
Bergen;;2017;2017;16868V805119;erstatter for 1200128
Bergen;1200149;2017;2017;03038V2403072;
Bergen;1200164;2017;2017;NA;virtuelt
Bergen;;2017;2017;64982V805707;erstatter for 1200164
Bergen;;2017;2017;13617V2518814;erstatter for 1200164
Bergen;1200167;2017;2017;NA;virtuelt
Bergen;;2017;2017;45653V2518816;erstatter for 1200167
Bergen;;2017;2017;82840V2518807;erstatter for 1200167
Bergen;;2017;2017;17155V2518835;erstatter for 1200167
Bergen;;2017;2017;74354V2518815;erstatter for 1200167
Bergen;1200234;2017;2017;13600V805722;
Bergen;1200235;2017;2017;27754V805707;
Bergen;1200262;2017;2017;67622V805008;
Bergen;1200277;2017;2017;49658V804949;
Bergen;1200381;2017;2017;45610V804781;
Bergen;1200413;2017;2017;10990V804785;
Bergen;1200703;2017;2017;94767V804742;
Bergen;1201151;2017;2017;56466V804740;
Bergen;1201201;2017;2017;56658V804775;
Bergen;1201211;2017;2017;71258V805748;
Bergen;1201311;2017;2017;75005V805120;
Bergen;1201315;2017;2017;93526V805122;
Bergen;1201371;2017;2017;29614V805708;
Bergen;1201411;2017;2017;87699V804741;
Bergen;1201532;2017;2017;12021V805693;
Bergen;1203002;2017;2017;73916V805421;
Bergen;1203111;2017;2017;62279V805789;
Bergen;1203134;2017;2017;14247V2353784;
Bergen;1203221;2017;2017;73171V2394461;
Bergen;1203240;2017;2017;16849V805748;
Bergen;1203252;2017;2017;83347V805435;
Bergen;1204053;2017;2017;81009V805718;
Bergen;1204343;2017;2017;23323V805716;
Bergen;1204427;2017;2017;20642V805115;
Bergen;1209097;2017;2017;86173V805748;
Buskerudbyen;600001;2017;2017;08879V180819;
Buskerudbyen;600002;2017;2017;89281V1206302;
Buskerudbyen;600003;2017;2017;46268V181318;
Buskerudbyen;600004;2017;2017;26634V181322;
Buskerudbyen;600005;2017;2017;NA;aldri igangsatt?
Buskerudbyen;600006;2017;2017;04544V181344;
Buskerudbyen;600007;2017;2017;43294V181263;
Buskerudbyen;600008;2017;2017;53324V181283;
Buskerudbyen;600009;2017;2017;01790V180990;
Buskerudbyen;600010;2017;2017;12559V181017;
Buskerudbyen;600011;2017;2017;08002V181261;
Buskerudbyen;600013;2017;2017;NA;aldri igangsatt?
Buskerudbyen;600050;2017;2017;26714V180853;
Buskerudbyen;600061;2017;2017;60172V180989;
Buskerudbyen;600116;2017;2017;33386V180972;
Buskerudbyen;600118;2017;2017;17567V180905;
Buskerudbyen;600124;2017;2017;23026V181320;
Buskerudbyen;600134;2017;2017;79710V1717877;
Buskerudbyen;600135;2017;2017;42070V1761604;
Buskerudbyen;600136;2017;2017;NA;aldri igangsatt?
Buskerudbyen;600137;2017;2017;17291V181259;
Buskerudbyen;600145;2017;2017;77103V181318;
Buskerudbyen;600146;2017;2017;77387V181050;
Buskerudbyen;600147;2017;2017;64455V181051;
Buskerudbyen;600148;2017;2017;96851V180854;
Buskerudbyen;600149;2017;2017;26042V181058;
Buskerudbyen;600150;2017;2017;63545V180918;
Buskerudbyen;600151;2017;2017;NA;aldri igangsatt?
Buskerudbyen;600153;2017;2017;89755V180856;
Buskerudbyen;600154;2017;2017;NA;aldri igangsatt?
Buskerudbyen;600164;2017;2017;35376V181262;
Buskerudbyen;600170;2017;2017;55347V180935;
Buskerudbyen;600176;2017;2017;61425V181294;
Buskerudbyen;600190;2017;2017;94099V2038395;
Buskerudbyen;600505;2017;2017;70046V180859;
Buskerudbyen;600506;2017;2017;06227V181108;
Buskerudbyen;600611;2017;2017;53984V181332;
Buskerudbyen;601037;2017;2017;NA;aldri igangsatt?
Buskerudbyen;602016;2017;2017;38645V181031;
Grenland;800002;2017;2017;06938V521177;
Grenland;800005;2017;2017;26251V521181;
Grenland;800008;2017;2017;29151V521176;
Grenland;800009;2017;2017;00344V521377;
Grenland;800010;2017;2017;55265V521064;
Grenland;800012;2017;2017;NA;aldri igangsatt?
Grenland;800013;2017;2017;79492V521118;
Grenland;800015;2017;2017;26489V521174;
Grenland;800016;2017;2017;14213V521376;
Grenland;800017;2017;2017;83421V521401;
Grenland;800020;2017;2017;86022V521170;
Grenland;800021;2017;2017;61760V521240;
Grenland;800024;2017;2017;82776V490668;
Grenland;800025;2017;2017;62672V491082;
Grenland;800103;2017;2017;32825V521440;
Grenland;800116;2017;2017;39609V521396;
Grenland;800123;2017;2017;40366V521376;
Grenland;800130;2017;2017;18672V521400;
Grenland;800132;2017;2017;NA;aldri igangsatt?
Grenland;800142;2017;2017;79830V521202;
Grenland;800144;2017;2017;77223V521180;
Grenland;800150;2017;2017;87318V521440;
Grenland;800152;2017;2017;46325V521397;
Grenland;800156;2017;2017;NA;aldri igangsatt?
Grenland;800167;2017;2017;22044V521398;
Grenland;800170;2017;2017;33324V521399;
Grenland;800197;2017;2017;94756V521254;
Grenland;800199;2017;2017;13087V521202;
Kristiansand;1000001;2017;2017;33412V121301;
Kristiansand;1000003;2017;2017;NA;virtuelt
Kristiansand;;2017;2017;22224V121366;erstatter for 1000003
Kristiansand;;2017;2017;98936V121303;erstatter for 1000003
Kristiansand;;2017;2017;04813V121368;erstatter for 1000003
Kristiansand;1000006;2017;2017;65613V121784;
Kristiansand;1000007;2017;2017;02489V121427;
Kristiansand;1000008;2017;2017;47215V121446;
Kristiansand;1000015;2017;2017;43920V121762;
Kristiansand;1000016;2017;2017;13278V121819;
Kristiansand;1000030;2017;2017;57166V121303;
Kristiansand;1000030;2017;2017;40820V121304;
Kristiansand;1000057;2017;2017;47077V121488;
Kristiansand;1000062;2017;2017;95764V121488;
Kristiansand;1000071;2017;2017;45924V1955584;
Kristiansand;1000073;2017;2017;28135V121429;
Kristiansand;1000074;2017;2017;78704V121429;
Kristiansand;1000075;2017;2017;00000V1702725;
Kristiansand;1000076;2017;2017;NA;aldri etablert?
Kristiansand;1000101;2017;2017;01355V1702751;
Kristiansand;1000104;2017;2017;68018V121746;
Kristiansand;1000105;2017;2017;35258V2475662;
Kristiansand;1000107;2017;2017;28020V121748;
Kristiansand;1000126;2017;2017;06702V121764;
Kristiansand;1000130;2017;2017;57502V121402;
Kristiansand;1000133;2017;2017;NA;aldri igangsatt?
Kristiansand;1000136;2017;2017;18321V121493;
Kristiansand;1000153;2017;2017;02466V121760;
Kristiansand;1000155;2017;2017;25833V121761;
Kristiansand;1000191;2017;2017;26467V121457;
Kristiansand;1000226;2017;2017;26849V121777;
Kristiansand;1000246;2017;2017;26071V121746;
Kristiansand;1000270;2017;2017;47254V121508;
Kristiansand;1000272;2017;2017;27139V121510;
Kristiansand;1000273;2017;2017;58182V1787571;
Kristiansand;1000275;2017;2017;22540V121303;
Kristiansand;1000278;2017;2017;00000V1702751;
Kristiansand;1000284;2017;2017;08057V2475663;
Kristiansand;1000287;2017;2017;22540V121303;
Kristiansand;1000288;2017;2017;12556V121486;
Kristiansand;1000293;2017;2017;05898V121506;
Kristiansand;1000315;2017;2017;04110V121776;
Kristiansand;1000730;2017;2017;16947V121800;
Nedre Glomma;100004;2017;2017;71595V971806;
Nedre Glomma;100010;2017;2017;82998V971817;
Nedre Glomma;100011;2017;2017;08132V1984223;
