city_area_name;legacyNortrafMpn;base_year;agreement_start
Bergen;1200007;2017;2017
Bergen;1200011;2017;2017
Bergen;1200013;2017;2017
Bergen;1200019;2017;2017
Bergen;1200020;2017;2017
Bergen;1200021;2017;2017
Bergen;1200024;2017;2017
Bergen;1200025;2017;2017
Bergen;1200026;2017;2017
Bergen;1200027;2017;2017
Bergen;1200030;2017;2017
Bergen;1200031;2017;2017
Bergen;1200032;2017;2017
Bergen;1200036;2017;2017
Bergen;1200037;2017;2017
Bergen;1200049;2017;2017
Bergen;1200052;2017;2017
Bergen;1200068;2017;2017
Bergen;1200070;2017;2017
Bergen;1200089;2017;2017
Bergen;1200091;2017;2017
Bergen;1200092;2017;2017
Bergen;1200093;2017;2017
Bergen;1200124;2017;2017
Bergen;1200128;2017;2017
Bergen;1200149;2017;2017
Bergen;1200164;2017;2017
Bergen;1200167;2017;2017
Bergen;1200234;2017;2017
Bergen;1200235;2017;2017
Bergen;1200262;2017;2017
Bergen;1200277;2017;2017
Bergen;1200381;2017;2017
Bergen;1200413;2017;2017
Bergen;1200703;2017;2017
Bergen;1201151;2017;2017
Bergen;1201201;2017;2017
Bergen;1201211;2017;2017
Bergen;1201311;2017;2017
Bergen;1201315;2017;2017
Bergen;1201371;2017;2017
Bergen;1201411;2017;2017
Bergen;1201532;2017;2017
Bergen;1203002;2017;2017
Bergen;1203111;2017;2017
Bergen;1203134;2017;2017
Bergen;1203221;2017;2017
Bergen;1203240;2017;2017
Bergen;1203252;2017;2017
Bergen;1204053;2017;2017
Bergen;1204343;2017;2017
Bergen;1204427;2017;2017
Bergen;1209097;2017;2017
Buskerudbyen;600001;2017;2017
Buskerudbyen;600002;2017;2017
Buskerudbyen;600003;2017;2017
Buskerudbyen;600004;2017;2017
Buskerudbyen;600005;2017;2017
Buskerudbyen;600006;2017;2017
Buskerudbyen;600007;2017;2017
Buskerudbyen;600008;2017;2017
Buskerudbyen;600009;2017;2017
Buskerudbyen;600010;2017;2017
Buskerudbyen;600011;2017;2017
Buskerudbyen;600013;2017;2017
Buskerudbyen;600050;2017;2017
Buskerudbyen;600061;2017;2017
Buskerudbyen;600116;2017;2017
Buskerudbyen;600118;2017;2017
Buskerudbyen;600124;2017;2017
Buskerudbyen;600134;2017;2017
Buskerudbyen;600135;2017;2017
Buskerudbyen;600136;2017;2017
Buskerudbyen;600137;2017;2017
Buskerudbyen;600145;2017;2017
Buskerudbyen;600146;2017;2017
Buskerudbyen;600147;2017;2017
Buskerudbyen;600148;2017;2017
Buskerudbyen;600149;2017;2017
Buskerudbyen;600150;2017;2017
Buskerudbyen;600151;2017;2017
Buskerudbyen;600153;2017;2017
Buskerudbyen;600154;2017;2017
Buskerudbyen;600164;2017;2017
Buskerudbyen;600170;2017;2017
Buskerudbyen;600176;2017;2017
Buskerudbyen;600190;2017;2017
Buskerudbyen;600505;2017;2017
Buskerudbyen;600506;2017;2017
Buskerudbyen;600611;2017;2017
Buskerudbyen;601037;2017;2017
Buskerudbyen;602016;2017;2017
Grenland;800002;2017;2017
Grenland;800005;2017;2017
Grenland;800008;2017;2017
Grenland;800009;2017;2017
Grenland;800010;2017;2017
Grenland;800012;2017;2017
Grenland;800013;2017;2017
Grenland;800015;2017;2017
Grenland;800016;2017;2017
Grenland;800017;2017;2017
Grenland;800020;2017;2017
Grenland;800021;2017;2017
Grenland;800024;2017;2017
Grenland;800025;2017;2017
Grenland;800103;2017;2017
Grenland;800116;2017;2017
Grenland;800123;2017;2017
Grenland;800130;2017;2017
Grenland;800132;2017;2017
Grenland;800142;2017;2017
Grenland;800144;2017;2017
Grenland;800150;2017;2017
Grenland;800152;2017;2017
Grenland;800156;2017;2017
Grenland;800167;2017;2017
Grenland;800170;2017;2017
Grenland;800197;2017;2017
Grenland;800199;2017;2017
Kristiansand;1000001;2017;2017
Kristiansand;1000003;2017;2017
Kristiansand;1000006;2017;2017
Kristiansand;1000007;2017;2017
Kristiansand;1000008;2017;2017
Kristiansand;1000015;2017;2017
Kristiansand;1000016;2017;2017
Kristiansand;1000030;2017;2017
Kristiansand;1000057;2017;2017
Kristiansand;1000062;2017;2017
Kristiansand;1000071;2017;2017
Kristiansand;1000073;2017;2017
Kristiansand;1000074;2017;2017
Kristiansand;1000075;2017;2017
Kristiansand;1000076;2017;2017
Kristiansand;1000101;2017;2017
Kristiansand;1000104;2017;2017
Kristiansand;1000105;2017;2017
Kristiansand;1000107;2017;2017
Kristiansand;1000126;2017;2017
Kristiansand;1000130;2017;2017
Kristiansand;1000133;2017;2017
Kristiansand;1000136;2017;2017
Kristiansand;1000153;2017;2017
Kristiansand;1000155;2017;2017
Kristiansand;1000191;2017;2017
Kristiansand;1000226;2017;2017
Kristiansand;1000246;2017;2017
