"area_name";"length_range";"year";"month";"period";"index_p";"month_object";"month_name"
"Bergensområdet";"Alle";2021;1;"Måned";-14,11;2021-01-01;"januar"
"Bergensområdet";"Lette";2021;1;"Måned";-13,6;2021-01-01;"januar"
"Bergensområdet";"Tunge";2021;1;"Måned";-7,95;2021-01-01;"januar"
"Bergensområdet";"Alle";2021;1;"Hittil i år";-14,11;2021-01-01;"januar"
"Bergensområdet";"Lette";2021;1;"Hittil i år";-13,6;2021-01-01;"januar"
"Bergensområdet";"Tunge";2021;1;"Hittil i år";-7,95;2021-01-01;"januar"
"Bergensområdet";"Alle";2021;2;"Måned";-12,37;2021-02-01;"februar"
"Bergensområdet";"Lette";2021;2;"Måned";-13,09;2021-02-01;"februar"
"Bergensområdet";"Tunge";2021;2;"Måned";-5,98;2021-02-01;"februar"
"Bergensområdet";"Alle";2021;2;"Hittil i år";-13,31;2021-02-01;"februar"
"Bergensområdet";"Lette";2021;2;"Hittil i år";-13,36;2021-02-01;"februar"
"Bergensområdet";"Tunge";2021;2;"Hittil i år";-7,01;2021-02-01;"februar"
"Bergensområdet";"Alle";2021;3;"Måned";21,9;2021-03-01;"mars"
"Bergensområdet";"Lette";2021;3;"Måned";23,29;2021-03-01;"mars"
"Bergensområdet";"Tunge";2021;3;"Måned";12,48;2021-03-01;"mars"
"Bergensområdet";"Alle";2021;3;"Hittil i år";-2,35;2021-03-01;"mars"
"Bergensområdet";"Lette";2021;3;"Hittil i år";-1,71;2021-03-01;"mars"
"Bergensområdet";"Tunge";2021;3;"Hittil i år";0,08;2021-03-01;"mars"
"Bergensområdet";"Alle";2021;4;"Måned";20,85;2021-04-01;"april"
"Bergensområdet";"Lette";2021;4;"Måned";21,22;2021-04-01;"april"
"Bergensområdet";"Tunge";2021;4;"Måned";14,21;2021-04-01;"april"
"Bergensområdet";"Alle";2021;4;"Hittil i år";3,06;2021-04-01;"april"
"Bergensområdet";"Lette";2021;4;"Hittil i år";3,77;2021-04-01;"april"
"Bergensområdet";"Tunge";2021;4;"Hittil i år";3,62;2021-04-01;"april"
"Buskerudbyen";"Alle";2021;1;"Måned";-17,02;2021-01-01;"januar"
"Buskerudbyen";"Lette";2021;1;"Måned";-17,56;2021-01-01;"januar"
"Buskerudbyen";"Tunge";2021;1;"Måned";-5,29;2021-01-01;"januar"
"Buskerudbyen";"Alle";2021;1;"Hittil i år";-17,02;2021-01-01;"januar"
"Buskerudbyen";"Lette";2021;1;"Hittil i år";-17,56;2021-01-01;"januar"
"Buskerudbyen";"Tunge";2021;1;"Hittil i år";-5,29;2021-01-01;"januar"
"Buskerudbyen";"Alle";2021;2;"Måned";-9,31;2021-02-01;"februar"
"Buskerudbyen";"Lette";2021;2;"Måned";-10,49;2021-02-01;"februar"
"Buskerudbyen";"Tunge";2021;2;"Måned";1,68;2021-02-01;"februar"
"Buskerudbyen";"Alle";2021;2;"Hittil i år";-13,37;2021-02-01;"februar"
"Buskerudbyen";"Lette";2021;2;"Hittil i år";-14,23;2021-02-01;"februar"
"Buskerudbyen";"Tunge";2021;2;"Hittil i år";-1,97;2021-02-01;"februar"
"Buskerudbyen";"Alle";2021;3;"Måned";9,48;2021-03-01;"mars"
"Buskerudbyen";"Lette";2021;3;"Måned";10,22;2021-03-01;"mars"
"Buskerudbyen";"Tunge";2021;3;"Måned";9,5;2021-03-01;"mars"
"Buskerudbyen";"Alle";2021;3;"Hittil i år";-6,1;2021-03-01;"mars"
"Buskerudbyen";"Lette";2021;3;"Hittil i år";-6,89;2021-03-01;"mars"
"Buskerudbyen";"Tunge";2021;3;"Hittil i år";2,14;2021-03-01;"mars"
"Buskerudbyen";"Alle";2021;4;"Måned";12,54;2021-04-01;"april"
"Buskerudbyen";"Lette";2021;4;"Måned";13,52;2021-04-01;"april"
"Buskerudbyen";"Tunge";2021;4;"Måned";9,3;2021-04-01;"april"
"Buskerudbyen";"Alle";2021;4;"Hittil i år";-1,81;2021-04-01;"april"
"Buskerudbyen";"Lette";2021;4;"Hittil i år";-2,43;2021-04-01;"april"
"Buskerudbyen";"Tunge";2021;4;"Hittil i år";3,98;2021-04-01;"april"
"Grenland";"Alle";2021;1;"Måned";-16,82;2021-01-01;"januar"
"Grenland";"Lette";2021;1;"Måned";-19,09;2021-01-01;"januar"
"Grenland";"Tunge";2021;1;"Måned";-7,15;2021-01-01;"januar"
"Grenland";"Alle";2021;1;"Hittil i år";-16,82;2021-01-01;"januar"
"Grenland";"Lette";2021;1;"Hittil i år";-19,09;2021-01-01;"januar"
"Grenland";"Tunge";2021;1;"Hittil i år";-7,15;2021-01-01;"januar"
"Grenland";"Alle";2021;2;"Måned";-10,18;2021-02-01;"februar"
"Grenland";"Lette";2021;2;"Måned";-11,11;2021-02-01;"februar"
"Grenland";"Tunge";2021;2;"Måned";-0,08;2021-02-01;"februar"
"Grenland";"Alle";2021;2;"Hittil i år";-13,69;2021-02-01;"februar"
"Grenland";"Lette";2021;2;"Hittil i år";-15,25;2021-02-01;"februar"
"Grenland";"Tunge";2021;2;"Hittil i år";-3,74;2021-02-01;"februar"
"Grenland";"Alle";2021;3;"Måned";15,38;2021-03-01;"mars"
"Grenland";"Lette";2021;3;"Måned";15,38;2021-03-01;"mars"
"Grenland";"Tunge";2021;3;"Måned";13,41;2021-03-01;"mars"
"Grenland";"Alle";2021;3;"Hittil i år";-4,9;2021-03-01;"mars"
"Grenland";"Lette";2021;3;"Hittil i år";-6,31;2021-03-01;"mars"
"Grenland";"Tunge";2021;3;"Hittil i år";2,15;2021-03-01;"mars"
"Grenland";"Alle";2021;4;"Måned";16,98;2021-04-01;"april"
"Grenland";"Lette";2021;4;"Måned";18,61;2021-04-01;"april"
"Grenland";"Tunge";2021;4;"Måned";13,53;2021-04-01;"april"
"Grenland";"Alle";2021;4;"Hittil i år";0,11;2021-04-01;"april"
"Grenland";"Lette";2021;4;"Hittil i år";-0,85;2021-04-01;"april"
"Grenland";"Tunge";2021;4;"Hittil i år";5,14;2021-04-01;"april"
"Kristiansand og omegn";"Alle";2021;1;"Måned";-8,22;2021-01-01;"januar"
"Kristiansand og omegn";"Lette";2021;1;"Måned";-8,62;2021-01-01;"januar"
"Kristiansand og omegn";"Tunge";2021;1;"Måned";0,69;2021-01-01;"januar"
"Kristiansand og omegn";"Alle";2021;1;"Hittil i år";-8,22;2021-01-01;"januar"
"Kristiansand og omegn";"Lette";2021;1;"Hittil i år";-8,62;2021-01-01;"januar"
"Kristiansand og omegn";"Tunge";2021;1;"Hittil i år";0,69;2021-01-01;"januar"
"Kristiansand og omegn";"Alle";2021;2;"Måned";-7,02;2021-02-01;"februar"
"Kristiansand og omegn";"Lette";2021;2;"Måned";-7,35;2021-02-01;"februar"
"Kristiansand og omegn";"Tunge";2021;2;"Måned";0,43;2021-02-01;"februar"
"Kristiansand og omegn";"Alle";2021;2;"Hittil i år";-7,57;2021-02-01;"februar"
"Kristiansand og omegn";"Lette";2021;2;"Hittil i år";-7,91;2021-02-01;"februar"
"Kristiansand og omegn";"Tunge";2021;2;"Hittil i år";0,55;2021-02-01;"februar"
"Kristiansand og omegn";"Alle";2021;3;"Måned";18,96;2021-03-01;"mars"
"Kristiansand og omegn";"Lette";2021;3;"Måned";19,57;2021-03-01;"mars"
"Kristiansand og omegn";"Tunge";2021;3;"Måned";19,07;2021-03-01;"mars"
"Kristiansand og omegn";"Alle";2021;3;"Hittil i år";-0,01;2021-03-01;"mars"
"Kristiansand og omegn";"Lette";2021;3;"Hittil i år";-0,27;2021-03-01;"mars"
"Kristiansand og omegn";"Tunge";2021;3;"Hittil i år";6,69;2021-03-01;"mars"
"Kristiansand og omegn";"Alle";2021;4;"Måned";21,58;2021-04-01;"april"
"Kristiansand og omegn";"Lette";2021;4;"Måned";23,11;2021-04-01;"april"
"Kristiansand og omegn";"Tunge";2021;4;"Måned";12,82;2021-04-01;"april"
"Kristiansand og omegn";"Alle";2021;4;"Hittil i år";5,56;2021-04-01;"april"
"Kristiansand og omegn";"Lette";2021;4;"Hittil i år";5,85;2021-04-01;"april"
"Kristiansand og omegn";"Tunge";2021;4;"Hittil i år";8,53;2021-04-01;"april"
"Nedre Glomma";"Alle";2021;1;"Måned";-18,21;2021-01-01;"januar"
"Nedre Glomma";"Lette";2021;1;"Måned";-19,03;2021-01-01;"januar"
"Nedre Glomma";"Tunge";2021;1;"Måned";-9,43;2021-01-01;"januar"
"Nedre Glomma";"Alle";2021;1;"Hittil i år";-18,21;2021-01-01;"januar"
"Nedre Glomma";"Lette";2021;1;"Hittil i år";-19,03;2021-01-01;"januar"
"Nedre Glomma";"Tunge";2021;1;"Hittil i år";-9,43;2021-01-01;"januar"
"Nedre Glomma";"Alle";2021;2;"Måned";-16,53;2021-02-01;"februar"
"Nedre Glomma";"Lette";2021;2;"Måned";-17,84;2021-02-01;"februar"
"Nedre Glomma";"Tunge";2021;2;"Måned";-2,16;2021-02-01;"februar"
"Nedre Glomma";"Alle";2021;2;"Hittil i år";-17,39;2021-02-01;"februar"
"Nedre Glomma";"Lette";2021;2;"Hittil i år";-18,45;2021-02-01;"februar"
"Nedre Glomma";"Tunge";2021;2;"Hittil i år";-5,89;2021-02-01;"februar"
"Nedre Glomma";"Alle";2021;3;"Måned";9,65;2021-03-01;"mars"
"Nedre Glomma";"Lette";2021;3;"Måned";9,5;2021-03-01;"mars"
"Nedre Glomma";"Tunge";2021;3;"Måned";11,58;2021-03-01;"mars"
"Nedre Glomma";"Alle";2021;3;"Hittil i år";-9,5;2021-03-01;"mars"
"Nedre Glomma";"Lette";2021;3;"Hittil i år";-10,39;2021-03-01;"mars"
"Nedre Glomma";"Tunge";2021;3;"Hittil i år";-0,2;2021-03-01;"mars"
"Nedre Glomma";"Alle";2021;4;"Måned";11,65;2021-04-01;"april"
"Nedre Glomma";"Lette";2021;4;"Måned";12;2021-04-01;"april"
"Nedre Glomma";"Tunge";2021;4;"Måned";8,24;2021-04-01;"april"
"Nedre Glomma";"Alle";2021;4;"Hittil i år";-4,71;2021-04-01;"april"
"Nedre Glomma";"Lette";2021;4;"Hittil i år";-5,38;2021-04-01;"april"
"Nedre Glomma";"Tunge";2021;4;"Hittil i år";1,99;2021-04-01;"april"
"Nord-Jæren";"Alle";2021;1;"Måned";-17,1;2021-01-01;"januar"
"Nord-Jæren";"Lette";2021;1;"Måned";-18,46;2021-01-01;"januar"
"Nord-Jæren";"Tunge";2021;1;"Måned";-10,5;2021-01-01;"januar"
"Nord-Jæren";"Alle";2021;1;"Hittil i år";-17,1;2021-01-01;"januar"
"Nord-Jæren";"Lette";2021;1;"Hittil i år";-18,46;2021-01-01;"januar"
"Nord-Jæren";"Tunge";2021;1;"Hittil i år";-10,5;2021-01-01;"januar"
"Nord-Jæren";"Alle";2021;2;"Måned";-6,89;2021-02-01;"februar"
"Nord-Jæren";"Lette";2021;2;"Måned";-6,11;2021-02-01;"februar"
"Nord-Jæren";"Tunge";2021;2;"Måned";-4,75;2021-02-01;"februar"
"Nord-Jæren";"Alle";2021;2;"Hittil i år";-12,59;2021-02-01;"februar"
"Nord-Jæren";"Lette";2021;2;"Hittil i år";-12,66;2021-02-01;"februar"
"Nord-Jæren";"Tunge";2021;2;"Hittil i år";-7,76;2021-02-01;"februar"
"Nord-Jæren";"Alle";2021;3;"Måned";17,41;2021-03-01;"mars"
"Nord-Jæren";"Lette";2021;3;"Måned";17,52;2021-03-01;"mars"
"Nord-Jæren";"Tunge";2021;3;"Måned";11,96;2021-03-01;"mars"
"Nord-Jæren";"Alle";2021;3;"Hittil i år";-2,57;2021-03-01;"mars"
"Nord-Jæren";"Lette";2021;3;"Hittil i år";-3,62;2021-03-01;"mars"
"Nord-Jæren";"Tunge";2021;3;"Hittil i år";-1,16;2021-03-01;"mars"
"Nord-Jæren";"Alle";2021;4;"Måned";13,78;2021-04-01;"april"
"Nord-Jæren";"Lette";2021;4;"Måned";13,48;2021-04-01;"april"
"Nord-Jæren";"Tunge";2021;4;"Måned";9,31;2021-04-01;"april"
"Nord-Jæren";"Alle";2021;4;"Hittil i år";1,34;2021-04-01;"april"
"Nord-Jæren";"Lette";2021;4;"Hittil i år";0,21;2021-04-01;"april"
"Nord-Jæren";"Tunge";2021;4;"Hittil i år";1,37;2021-04-01;"april"
"Osloområdet";"Alle";2021;1;"Måned";-18,25;2021-01-01;"januar"
"Osloområdet";"Lette";2021;1;"Måned";-18,81;2021-01-01;"januar"
"Osloområdet";"Tunge";2021;1;"Måned";-6,98;2021-01-01;"januar"
"Osloområdet";"Alle";2021;1;"Hittil i år";-18,25;2021-01-01;"januar"
"Osloområdet";"Lette";2021;1;"Hittil i år";-18,81;2021-01-01;"januar"
"Osloområdet";"Tunge";2021;1;"Hittil i år";-6,98;2021-01-01;"januar"
"Osloområdet";"Alle";2021;2;"Måned";-12,95;2021-02-01;"februar"
"Osloområdet";"Lette";2021;2;"Måned";-14,07;2021-02-01;"februar"
"Osloområdet";"Tunge";2021;2;"Måned";-0,33;2021-02-01;"februar"
"Osloområdet";"Alle";2021;2;"Hittil i år";-15,75;2021-02-01;"februar"
"Osloområdet";"Lette";2021;2;"Hittil i år";-16,6;2021-02-01;"februar"
"Osloområdet";"Tunge";2021;2;"Hittil i år";-3,88;2021-02-01;"februar"
"Osloområdet";"Alle";2021;3;"Måned";10,09;2021-03-01;"mars"
"Osloområdet";"Lette";2021;3;"Måned";10,37;2021-03-01;"mars"
"Osloområdet";"Tunge";2021;3;"Måned";10,75;2021-03-01;"mars"
"Osloområdet";"Alle";2021;3;"Hittil i år";-7,98;2021-03-01;"mars"
"Osloområdet";"Lette";2021;3;"Hittil i år";-8,72;2021-03-01;"mars"
"Osloområdet";"Tunge";2021;3;"Hittil i år";1,11;2021-03-01;"mars"
"Osloområdet";"Alle";2021;4;"Måned";13,26;2021-04-01;"april"
"Osloområdet";"Lette";2021;4;"Måned";13,96;2021-04-01;"april"
"Osloområdet";"Tunge";2021;4;"Måned";11,92;2021-04-01;"april"
"Osloområdet";"Alle";2021;4;"Hittil i år";-3,14;2021-04-01;"april"
"Osloområdet";"Lette";2021;4;"Hittil i år";-3,6;2021-04-01;"april"
"Osloområdet";"Tunge";2021;4;"Hittil i år";3,84;2021-04-01;"april"
"Tromsø";"Alle";2021;1;"Måned";-11,8;2021-01-01;"januar"
"Tromsø";"Lette";2021;1;"Måned";-10,97;2021-01-01;"januar"
"Tromsø";"Tunge";2021;1;"Måned";-20,5;2021-01-01;"januar"
"Tromsø";"Alle";2021;1;"Hittil i år";-11,8;2021-01-01;"januar"
"Tromsø";"Lette";2021;1;"Hittil i år";-10,97;2021-01-01;"januar"
"Tromsø";"Tunge";2021;1;"Hittil i år";-20,5;2021-01-01;"januar"
"Tromsø";"Alle";2021;2;"Måned";-7,93;2021-02-01;"februar"
"Tromsø";"Lette";2021;2;"Måned";-7,31;2021-02-01;"februar"
"Tromsø";"Tunge";2021;2;"Måned";-15,93;2021-02-01;"februar"
"Tromsø";"Alle";2021;2;"Hittil i år";-9,93;2021-02-01;"februar"
"Tromsø";"Lette";2021;2;"Hittil i år";-9,21;2021-02-01;"februar"
"Tromsø";"Tunge";2021;2;"Hittil i år";-18,24;2021-02-01;"februar"
"Tromsø";"Alle";2021;3;"Måned";20,82;2021-03-01;"mars"
"Tromsø";"Lette";2021;3;"Måned";22,57;2021-03-01;"mars"
"Tromsø";"Tunge";2021;3;"Måned";2,03;2021-03-01;"mars"
