"trp_id";"month";"day_name";"daily_traffic";"included_days";"possible_days";"day_number_of_week"
"00000V1993681";1;"FRIDAY";14782;4;4;5
"00000V1993681";1;"MONDAY";14991;4;4;1
"00000V1993681";1;"SATURDAY";7971;4;4;6
"00000V1993681";1;"SUNDAY";7455;4;4;7
"00000V1993681";1;"THURSDAY";14864;5;5;4
"00000V1993681";1;"TUESDAY";12893;5;5;2
"00000V1993681";1;"WEDNESDAY";14858;4;5;3
"00000V1993681";2;"FRIDAY";15084;4;4;5
"00000V1993681";2;"MONDAY";15049;4;4;1
"00000V1993681";2;"SATURDAY";8160;4;4;6
"00000V1993681";2;"SUNDAY";7896;4;4;7
"00000V1993681";2;"THURSDAY";15108;4;4;4
"00000V1993681";2;"TUESDAY";14639;4;4;2
"00000V1993681";2;"WEDNESDAY";15275;4;4;3
"00000V1993681";3;"FRIDAY";15227;5;5;5
"00000V1993681";3;"MONDAY";15990;4;4;1
"00000V1993681";3;"SATURDAY";8564;5;5;6
"00000V1993681";3;"SUNDAY";8109;5;5;7
"00000V1993681";3;"THURSDAY";16242;4;4;4
"00000V1993681";3;"TUESDAY";15900;4;4;2
"00000V1993681";3;"WEDNESDAY";16303;4;4;3
"00000V1993681";4;"FRIDAY";13135;4;4;5
"00000V1993681";4;"MONDAY";13812;5;5;1
"00000V1993681";4;"SATURDAY";7659;4;4;6
"00000V1993681";4;"SUNDAY";7205;4;4;7
"00000V1993681";4;"THURSDAY";13786;4;4;4
"00000V1993681";4;"TUESDAY";15232;5;5;2
"00000V1993681";4;"WEDNESDAY";14886;4;4;3
"00000V1993681";5;"FRIDAY";13698;5;5;5
"00000V1993681";5;"MONDAY";16642;4;4;1
"00000V1993681";5;"SATURDAY";8932;4;4;6
"00000V1993681";5;"SUNDAY";8685;4;4;7
"00000V1993681";5;"THURSDAY";15016;5;5;4
"00000V1993681";5;"TUESDAY";16516;4;4;2
"00000V1993681";5;"WEDNESDAY";15126;5;5;3
"00000V1993681";6;"FRIDAY";16362;4;4;5
"00000V1993681";6;"MONDAY";14820;4;4;1
"00000V1993681";6;"SATURDAY";8753;5;5;6
"00000V1993681";6;"SUNDAY";8290;5;5;7
"00000V1993681";6;"THURSDAY";16606;4;4;4
"00000V1993681";6;"TUESDAY";16852;4;4;2
"00000V1993681";6;"WEDNESDAY";16695;4;4;3
"00000V1993681";7;"FRIDAY";10812;8;8;5
"00000V1993681";7;"MONDAY";11526;9;10;1
"00000V1993681";7;"SATURDAY";6534;8;8;6
"00000V1993681";7;"SUNDAY";6415;8;9;7
"00000V1993681";7;"THURSDAY";11038;8;8;4
"00000V1993681";7;"TUESDAY";10910;9;10;2
"00000V1993681";7;"WEDNESDAY";11188;9;9;3
"00000V1993681";8;"FRIDAY";14446;10;10;5
"00000V1993681";8;"MONDAY";15356;8;8;1
"00000V1993681";8;"SATURDAY";8468;9;9;6
"00000V1993681";8;"SUNDAY";8152;8;8;7
"00000V1993681";8;"THURSDAY";14669;10;10;4
"00000V1993681";8;"TUESDAY";15180;8;8;2
"00000V1993681";8;"WEDNESDAY";14989;9;9;3
"00000V1993681";9;"FRIDAY";16090;8;8;5
"00000V1993681";9;"MONDAY";16172;9;9;1
"00000V1993681";9;"SATURDAY";9074;9;9;6
"00000V1993681";9;"SUNDAY";8694;10;10;7
"00000V1993681";9;"THURSDAY";16414;8;8;4
"00000V1993681";9;"TUESDAY";16034;8;8;2
"00000V1993681";9;"WEDNESDAY";16032;8;8;3
"00000V1993681";10;"FRIDAY";15782;8;8;5
"00000V1993681";10;"MONDAY";16007;9;9;1
"00000V1993681";10;"SATURDAY";8800;8;8;6
"00000V1993681";10;"SUNDAY";8676;8;8;7
"00000V1993681";10;"THURSDAY";16090;9;9;4
"00000V1993681";10;"TUESDAY";15852;10;10;2
"00000V1993681";10;"WEDNESDAY";16017;10;10;3
