"trp_id";"month";"day_name";"daily_traffic";"included_days";"possible_days";"day_number_of_week"
"00000V1993681";1;"FRIDAY";15120;5;5;5
"00000V1993681";1;"MONDAY";15900;4;4;1
"00000V1993681";1;"SATURDAY";8227;4;4;6
"00000V1993681";1;"SUNDAY";7780;4;4;7
"00000V1993681";1;"THURSDAY";15357;5;5;4
"00000V1993681";1;"TUESDAY";15582;4;4;2
"00000V1993681";1;"WEDNESDAY";13903;5;5;3
"00000V1993681";2;"FRIDAY";15000;4;4;5
"00000V1993681";2;"MONDAY";15678;4;4;1
"00000V1993681";2;"SATURDAY";8187;5;5;6
"00000V1993681";2;"SUNDAY";8036;4;4;7
"00000V1993681";2;"THURSDAY";15548;4;4;4
"00000V1993681";2;"TUESDAY";15394;4;4;2
"00000V1993681";2;"WEDNESDAY";15962;4;4;3
"00000V1993681";3;"FRIDAY";10991;4;4;5
"00000V1993681";3;"MONDAY";11874;5;5;1
"00000V1993681";3;"SATURDAY";6106;4;4;6
"00000V1993681";3;"SUNDAY";5333;5;5;7
"00000V1993681";3;"THURSDAY";11896;4;4;4
"00000V1993681";3;"TUESDAY";11420;5;5;2
"00000V1993681";3;"WEDNESDAY";12110;4;4;3
"00000V1993681";4;"FRIDAY";8625;4;4;5
"00000V1993681";4;"MONDAY";9077;4;4;1
"00000V1993681";4;"SATURDAY";5814;4;4;6
"00000V1993681";4;"SUNDAY";4455;4;4;7
"00000V1993681";4;"THURSDAY";9259;5;5;4
"00000V1993681";4;"TUESDAY";10318;4;4;2
"00000V1993681";4;"WEDNESDAY";9931;5;5;3
"00000V1993681";5;"FRIDAY";10191;5;5;5
"00000V1993681";5;"MONDAY";11941;4;4;1
"00000V1993681";5;"SATURDAY";6445;5;5;6
"00000V1993681";5;"SUNDAY";5376;5;5;7
"00000V1993681";5;"THURSDAY";10789;4;4;4
"00000V1993681";5;"TUESDAY";11931;4;4;2
"00000V1993681";5;"WEDNESDAY";12441;4;4;3
"00000V1993681";6;"FRIDAY";12952;4;4;5
"00000V1993681";6;"MONDAY";12411;5;5;1
"00000V1993681";6;"SATURDAY";7233;4;4;6
"00000V1993681";6;"SUNDAY";6537;4;4;7
"00000V1993681";6;"THURSDAY";13627;4;4;4
"00000V1993681";6;"TUESDAY";13674;5;5;2
"00000V1993681";6;"WEDNESDAY";13659;4;4;3
"00000V1993681";7;"FRIDAY";10250;5;5;5
"00000V1993681";7;"MONDAY";10198;4;4;1
"00000V1993681";7;"SATURDAY";6171;4;4;6
"00000V1993681";7;"SUNDAY";5467;4;4;7
"00000V1993681";7;"THURSDAY";10671;5;5;4
"00000V1993681";7;"TUESDAY";9991;4;4;2
"00000V1993681";7;"WEDNESDAY";10597;5;5;3
"00000V1993681";8;"FRIDAY";12795;4;4;5
"00000V1993681";8;"MONDAY";13134;5;5;1
"00000V1993681";8;"SATURDAY";7021;5;5;6
"00000V1993681";8;"SUNDAY";6537;5;5;7
"00000V1993681";8;"THURSDAY";13429;4;4;4
"00000V1993681";8;"TUESDAY";12638;4;4;2
"00000V1993681";8;"WEDNESDAY";13147;4;4;3
"00000V1993681";9;"FRIDAY";12820;4;4;5
"00000V1993681";9;"MONDAY";13133;4;4;1
"00000V1993681";9;"SATURDAY";7512;4;4;6
"00000V1993681";9;"SUNDAY";6703;4;4;7
"00000V1993681";9;"THURSDAY";13118;4;4;4
"00000V1993681";9;"TUESDAY";13282;5;5;2
"00000V1993681";9;"WEDNESDAY";13441;5;5;3
"00000V1993681";10;"FRIDAY";13288;5;5;5
"00000V1993681";10;"MONDAY";14112;4;4;1
"00000V1993681";10;"SATURDAY";7471;5;5;6
"00000V1993681";10;"SUNDAY";6154;4;4;7
"00000V1993681";10;"THURSDAY";13965;5;5;4
"00000V1993681";10;"TUESDAY";13765;4;4;2
"00000V1993681";10;"WEDNESDAY";13626;4;4;3
"00000V1993681";11;"FRIDAY";11714;4;4;5
"00000V1993681";11;"MONDAY";12216;5;5;1
"00000V1993681";11;"SATURDAY";6642;4;4;6
"00000V1993681";11;"SUNDAY";5815;5;5;7
"00000V1993681";11;"THURSDAY";11970;4;4;4
"00000V1993681";11;"TUESDAY";11680;4;4;2
"00000V1993681";11;"WEDNESDAY";11769;4;4;3
"00000V1993681";12;"FRIDAY";10660;4;4;5
"00000V1993681";12;"MONDAY";11980;4;4;1
"00000V1993681";12;"SATURDAY";6666;4;4;6
"00000V1993681";12;"SUNDAY";6408;4;4;7
"00000V1993681";12;"THURSDAY";10044;5;5;4
"00000V1993681";12;"TUESDAY";11939;5;5;2
"00000V1993681";12;"WEDNESDAY";11936;5;5;3
"00222V444290";1;"FRIDAY";10542;5;5;5
"00222V444290";1;"MONDAY";11221;4;4;1
"00222V444290";1;"SATURDAY";8607;4;4;6
"00222V444290";1;"SUNDAY";9109;4;4;7
"00222V444290";1;"THURSDAY";11360;5;5;4
"00222V444290";1;"TUESDAY";11458;4;4;2
"00222V444290";1;"WEDNESDAY";10698;5;5;3
"00222V444290";2;"FRIDAY";10510;4;4;5
"00222V444290";2;"MONDAY";11079;4;4;1
"00222V444290";2;"SATURDAY";8307;5;5;6
"00222V444290";2;"SUNDAY";8302;4;4;7
"00222V444290";2;"THURSDAY";11287;4;4;4
"00222V444290";2;"TUESDAY";11428;4;4;2
"00222V444290";2;"WEDNESDAY";11814;4;4;3
"00222V444290";3;"FRIDAY";8925;4;4;5
"00222V444290";3;"MONDAY";9439;5;5;1
"00222V444290";3;"SATURDAY";7772;4;4;6
"00222V444290";3;"SUNDAY";6616;5;5;7
"00222V444290";3;"THURSDAY";10024;4;4;4
"00222V444290";3;"TUESDAY";9467;5;5;2
"00222V444290";3;"WEDNESDAY";9874;4;4;3
"00222V444290";4;"FRIDAY";9814;4;4;5
"00222V444290";4;"MONDAY";9963;4;4;1
"00222V444290";4;"SATURDAY";8813;4;4;6
"00222V444290";4;"SUNDAY";7752;4;4;7
"00222V444290";4;"THURSDAY";10328;5;5;4
"00222V444290";4;"TUESDAY";10946;4;4;2
"00222V444290";4;"WEDNESDAY";10897;5;5;3
"00222V444290";5;"FRIDAY";11192;5;5;5
"00222V444290";5;"MONDAY";12398;4;4;1
"00222V444290";5;"SATURDAY";9165;5;5;6
"00222V444290";5;"SUNDAY";8260;5;5;7
"00222V444290";5;"THURSDAY";12257;4;4;4
"00222V444290";5;"TUESDAY";13408;4;4;2
"00222V444290";5;"WEDNESDAY";13990;4;4;3
"00222V444290";6;"FRIDAY";12964;4;4;5
"00222V444290";6;"MONDAY";12245;5;5;1
"00222V444290";6;"SATURDAY";9186;4;4;6
"00222V444290";6;"SUNDAY";9204;4;4;7
"00222V444290";6;"THURSDAY";14073;4;4;4
"00222V444290";6;"TUESDAY";13506;5;5;2
"00222V444290";6;"WEDNESDAY";14360;4;4;3
"00222V444290";7;"FRIDAY";8269;5;5;5
"00222V444290";7;"MONDAY";8670;4;4;1
"00222V444290";7;"SATURDAY";6392;4;4;6
"00222V444290";7;"SUNDAY";5613;4;4;7
"00222V444290";7;"THURSDAY";9118;5;5;4
"00222V444290";7;"TUESDAY";8142;4;4;2
"00222V444290";7;"WEDNESDAY";9309;5;5;3
"00222V444290";8;"FRIDAY";12294;4;4;5
"00222V444290";8;"MONDAY";12645;5;5;1
"00222V444290";8;"SATURDAY";9031;5;5;6
"00222V444290";8;"SUNDAY";9640;5;5;7
"00222V444290";8;"THURSDAY";13336;4;4;4
"00222V444290";8;"TUESDAY";13376;4;4;2
"00222V444290";8;"WEDNESDAY";13106;4;4;3
"00222V444290";9;"FRIDAY";13219;4;4;5
"00222V444290";9;"MONDAY";13089;4;4;1
"00222V444290";9;"SATURDAY";10234;4;4;6
"00222V444290";9;"SUNDAY";10786;4;4;7
"00222V444290";9;"THURSDAY";14101;4;4;4
"00222V444290";9;"TUESDAY";13920;5;5;2
"00222V444290";9;"WEDNESDAY";13652;5;5;3
"00222V444290";10;"FRIDAY";12229;5;5;5
"00222V444290";10;"MONDAY";12976;4;4;1
"00222V444290";10;"SATURDAY";9874;5;5;6
"00222V444290";10;"SUNDAY";9898;4;4;7
"00222V444290";10;"THURSDAY";13294;5;5;4
"00222V444290";10;"TUESDAY";12709;4;4;2
"00222V444290";10;"WEDNESDAY";13432;4;4;3
"00222V444290";11;"FRIDAY";11460;4;4;5
"00222V444290";11;"MONDAY";11177;5;5;1
"00222V444290";11;"SATURDAY";8976;4;4;6
"00222V444290";11;"SUNDAY";8604;5;5;7
"00222V444290";11;"THURSDAY";12256;4;4;4
"00222V444290";11;"TUESDAY";11847;4;4;2
"00222V444290";11;"WEDNESDAY";11986;4;4;3
"00222V444290";12;"FRIDAY";10278;4;4;5
"00222V444290";12;"MONDAY";10335;4;4;1
"00222V444290";12;"SATURDAY";8235;4;4;6
"00222V444290";12;"SUNDAY";7913;4;4;7
"00222V444290";12;"THURSDAY";10386;5;5;4
"00222V444290";12;"TUESDAY";11160;5;5;2
"00222V444290";12;"WEDNESDAY";11222;5;5;3
