Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Bergen;E;Alle;Alle;Januar;1,195;96,000;6888649;6807333;1.875;1.083
Bergen;E;Alle;< 5,6m;Januar;0,631;96,000;6170048;6131382;1.897;1.096
Bergen;E;Alle;>= 5,6m;Januar;6,324;96,000;716123;673532;6.598;3.810
Bergen;E;Alle;5,6m - 7,6m;Januar;5,777;96,000;242169;228942;13.014;7.514
Bergen;E;Alle;7,6m - 12,5m;Januar;11,038;96,000;233784;210545;9.459;5.461
Bergen;E;Alle;12,5m - 16,0m;Januar;-4,183;96,000;116395;121476;16.294;9.408
Bergen;E;Alle;>= 16,0m;Januar;9,955;96,000;123775;112569;6.802;3.927
Bergen;E;Yrkesdøgn;Alle;Januar;1,202;95,000;5386881;5322881;1.789;1.033
Bergen;E;Yrkesdøgn;< 5,6m;Januar;0,554;95,000;4745474;4719352;1.762;1.017
Bergen;E;Yrkesdøgn;>= 5,6m;Januar;6,309;95,000;639529;601576;6.474;3.738
Bergen;E;Yrkesdøgn;5,6m - 7,6m;Januar;5,067;95,000;214600;204251;12.550;7.246
Bergen;E;Yrkesdøgn;7,6m - 12,5m;Januar;11,488;95,000;210340;188666;9.885;5.707
Bergen;E;Yrkesdøgn;12,5m - 16,0m;Januar;-4,345;95,000;101345;105948;17.398;10.045
Bergen;E;Yrkesdøgn;>= 16,0m;Januar;10,255;95,000;113244;102711;6.973;4.026
Bergen;E;Helgedøgn;Alle;Januar;1,166;97,000;1501768;1484452;3.154;1.821
Bergen;E;Helgedøgn;< 5,6m;Januar;0,888;97,000;1424574;1412030;3.218;1.858
Bergen;E;Helgedøgn;>= 5,6m;Januar;6,446;97,000;76594;71956;10.350;5.976
Bergen;E;Helgedøgn;5,6m - 7,6m;Januar;11,656;97,000;27569;24691;20.946;12.094
Bergen;E;Helgedøgn;7,6m - 12,5m;Januar;7,153;97,000;23444;21879;9.629;5.560
Bergen;E;Helgedøgn;12,5m - 16,0m;Januar;-3,078;97,000;15050;15528;17.440;10.070
Bergen;E;Helgedøgn;>= 16,0m;Januar;6,827;97,000;10531;9858;7.289;4.209
Bergen;E;Alle;Alle;Februar;-0,794;97,000;6088203;6136931;2.148;1.298
Bergen;E;Alle;< 5,6m;Februar;-1,252;97,000;5454273;5523454;2.346;1.418
Bergen;E;Alle;>= 5,6m;Februar;3,280;97,000;631428;611377;7.957;4.808
Bergen;E;Alle;5,6m - 7,6m;Februar;3,067;97,000;214575;208189;14.593;8.818
Bergen;E;Alle;7,6m - 12,5m;Februar;8,646;97,000;206586;190146;11.520;6.962
Bergen;E;Alle;12,5m - 16,0m;Februar;-8,175;97,000;100747;109716;15.069;9.106
Bergen;E;Alle;>= 16,0m;Februar;5,995;97,000;109520;103326;6.156;3.720
Bergen;E;Yrkesdøgn;Alle;Februar;-1,058;96,000;4765123;4816069;2.499;1.510
Bergen;E;Yrkesdøgn;< 5,6m;Februar;-1,623;96,000;4199802;4269078;2.699;1.631
Bergen;E;Yrkesdøgn;>= 5,6m;Februar;3,345;96,000;563368;545132;7.991;4.829
