Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Buskerudbyen;E+R+F+K;Alle;Alle;Januar;1,942;97,000;6324293;6203803;3.712;2.056
Buskerudbyen;E+R+F+K;Alle;< 5,6m;Januar;1,857;97,000;5784159;5678722;3.881;2.149
Buskerudbyen;E+R+F+K;Alle;>= 5,6m;Januar;3,066;97,000;536794;520823;6.000;3.323
Buskerudbyen;E+R+F+K;Alle;5,6m - 7,6m;Januar;0,956;97,000;177687;176005;14.905;8.254
Buskerudbyen;E+R+F+K;Alle;7,6m - 12,5m;Januar;3,222;97,000;187091;181251;3.976;2.202
Buskerudbyen;E+R+F+K;Alle;12,5m - 16,0m;Januar;4,222;97,000;52926;50782;21.194;11.737
Buskerudbyen;E+R+F+K;Alle;>= 16,0m;Januar;5,590;97,000;119090;112785;8.021;4.442
Buskerudbyen;E+R+F+K;Yrkesdøgn;Alle;Januar;2,584;97,000;5017337;4890942;3.526;1.953
Buskerudbyen;E+R+F+K;Yrkesdøgn;< 5,6m;Januar;2,583;97,000;4532701;4418578;3.673;2.034
Buskerudbyen;E+R+F+K;Yrkesdøgn;>= 5,6m;Januar;2,804;97,000;481392;468262;5.942;3.290
Buskerudbyen;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Januar;0,679;97,000;157223;156163;14.269;7.902
Buskerudbyen;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Januar;2,830;97,000;165171;160625;3.710;2.055
Buskerudbyen;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Januar;3,452;97,000;47237;45661;21.475;11.893
Buskerudbyen;E+R+F+K;Yrkesdøgn;>= 16,0m;Januar;5,621;97,000;111761;105813;8.393;4.648
Buskerudbyen;E+R+F+K;Helgedøgn;Alle;Januar;-0,450;97,000;1306956;1312861;5.924;3.281
Buskerudbyen;E+R+F+K;Helgedøgn;< 5,6m;Januar;-0,689;97,000;1251458;1260144;6.001;3.323
Buskerudbyen;E+R+F+K;Helgedøgn;>= 5,6m;Januar;5,405;97,000;55402;52561;8.974;4.970
