Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Buskerudbyen uten E18;E+R+F+K;Alle;Alle;Januar;-3,103;99,000;5760041;5944483;4.155;2.214
Buskerudbyen uten E18;E+R+F+K;Alle;< 5,6m;Januar;-3,233;99,000;5343260;5521788;3.932;2.095
Buskerudbyen uten E18;E+R+F+K;Alle;>= 5,6m;Januar;-1,697;99,000;409175;416239;15.077;8.034
Buskerudbyen uten E18;E+R+F+K;Alle;5,6m - 7,6m;Januar;8,245;99,000;147285;136066;31.094;16.569
Buskerudbyen uten E18;E+R+F+K;Alle;7,6m - 12,5m;Januar;-1,066;99,000;151528;153160;7.987;4.256
Buskerudbyen uten E18;E+R+F+K;Alle;12,5m - 16,0m;Januar;-13,510;99,000;43060;49786;17.350;9.245
Buskerudbyen uten E18;E+R+F+K;Alle;>= 16,0m;Januar;-12,852;99,000;67302;77227;15.153;8.074
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;Alle;Januar;-2,786;99,000;4551259;4681668;3.247;1.730
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;< 5,6m;Januar;-2,901;99,000;4177484;4302289;2.901;1.546
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 5,6m;Januar;-1,820;99,000;367004;373806;14.095;7.511
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Januar;8,083;99,000;130486;120728;29.112;15.513
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Januar;-0,445;99,000;134143;134743;6.922;3.689
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Januar;-14,273;99,000;39030;45528;17.439;9.293
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 16,0m;Januar;-12,996;99,000;63345;72807;14.883;7.931
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;Alle;Januar;-4,279;99,000;1208782;1262815;8.431;4.492
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;< 5,6m;Januar;-4,405;99,000;1165776;1219499;8.329;4.438
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 5,6m;Januar;-0,617;99,000;42171;42433;26.887;14.327
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;5,6m - 7,6m;Januar;9,525;99,000;16799;15338;55.142;29.383
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;7,6m - 12,5m;Januar;-5,604;99,000;17385;18417;20.048;10.683
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;12,5m - 16,0m;Januar;-5,355;99,000;4030;4258;52.113;27.769
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 16,0m;Januar;-10,475;99,000;3957;4420;25.397;13.533
Buskerudbyen uten E18;E+R+F+K;Alle;Alle;Februar;-2,585;97,000;4808465;4936069;4.426;2.451
Buskerudbyen uten E18;E+R+F+K;Alle;< 5,6m;Februar;-2,416;97,000;4429101;4538756;4.338;2.402
Buskerudbyen uten E18;E+R+F+K;Alle;>= 5,6m;Februar;-3,321;97,000;363077;375550;13.631;7.549
Buskerudbyen uten E18;E+R+F+K;Alle;5,6m - 7,6m;Februar;6,590;97,000;125885;118102;29.892;16.554
Buskerudbyen uten E18;E+R+F+K;Alle;7,6m - 12,5m;Februar;-4,217;97,000;133462;139338;8.686;4.810
Buskerudbyen uten E18;E+R+F+K;Alle;12,5m - 16,0m;Februar;-10,317;97,000;35275;39333;27.271;15.102
Buskerudbyen uten E18;E+R+F+K;Alle;>= 16,0m;Februar;-13,103;97,000;68455;78777;17.109;9.475
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;Alle;Februar;-2,857;97,000;3787611;3899021;4.763;2.638
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;< 5,6m;Februar;-2,618;96,000;3446578;3539222;4.695;2.600
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 5,6m;Februar;-3,876;96,000;325338;338457;13.716;7.596
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Februar;6,356;96,000;111045;104409;29.289;16.220
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Februar;-4,639;96,000;117946;123684;9.700;5.371
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Februar;-10,416;96,000;32073;35802;27.447;15.200
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 16,0m;Februar;-13,798;96,000;64274;74562;16.999;9.414
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;Alle;Februar;-1,562;99,000;1020854;1037048;5.014;2.777
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;< 5,6m;Februar;-1,702;99,000;982523;999534;5.064;2.804
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 5,6m;Februar;1,742;99,000;37739;37093;16.329;9.043
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;5,6m - 7,6m;Februar;8,377;99,000;14840;13693;39.403;21.821
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;7,6m - 12,5m;Februar;-0,882;99,000;15516;15654;7.826;4.334
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;12,5m - 16,0m;Februar;-9,317;99,000;3202;3531;64.210;35.558
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 16,0m;Februar;-0,807;99,000;4181;4215;24.277;13.444
Buskerudbyen uten E18;E+R+F+K;Alle;Alle;Mars;-5,066;92,000;6276494;6611448;4.481;2.388
Buskerudbyen uten E18;E+R+F+K;Alle;< 5,6m;Mars;-4,491;92,000;5833498;6107772;4.508;2.402
Buskerudbyen uten E18;E+R+F+K;Alle;>= 5,6m;Mars;-12,141;92,000;438995;499658;8.890;4.737
Buskerudbyen uten E18;E+R+F+K;Alle;5,6m - 7,6m;Mars;-9,218;92,000;146128;160965;14.091;7.508
Buskerudbyen uten E18;E+R+F+K;Alle;7,6m - 12,5m;Mars;-13,487;92,000;159849;184769;7.858;4.187
Buskerudbyen uten E18;E+R+F+K;Alle;12,5m - 16,0m;Mars;-14,815;92,000;46984;55155;16.168;8.615
Buskerudbyen uten E18;E+R+F+K;Alle;>= 16,0m;Mars;-12,894;92,000;86034;98769;11.179;5.957
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;Alle;Mars;-12,050;92,000;4667937;5307475;5.513;2.938
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;< 5,6m;Mars;-11,775;92,000;4281504;4852923;5.271;2.809
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 5,6m;Mars;-15,112;92,000;382519;450618;9.810;5.228
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Mars;-12,966;92,000;124232;142739;14.973;7.979
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Mars;-16,224;92,000;137090;163639;9.059;4.827
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Mars;-18,420;92,000;41079;50354;16.044;8.549
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 16,0m;Mars;-14,665;92,000;80118;93886;11.452;6.102
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;Alle;Mars;23,358;91,000;1608557;1303973;14.197;7.565
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;< 5,6m;Mars;23,680;91,000;1551994;1254849;14.405;7.676
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 5,6m;Mars;15,163;91,000;56476;49040;13.313;7.094
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;5,6m - 7,6m;Mars;20,136;91,000;21896;18226;18.905;10.074
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;7,6m - 12,5m;Mars;7,709;91,000;22759;21130;13.263;7.068
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;12,5m - 16,0m;Mars;22,995;91,000;5905;4801;30.359;16.177
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 16,0m;Mars;21,155;91,000;5916;4883;22.381;11.926
Buskerudbyen uten E18;E+R+F+K;Alle;Alle;April;6,902;95,000;6580323;6155457;4.902;2.612
Buskerudbyen uten E18;E+R+F+K;Alle;< 5,6m;April;6,889;95,000;6050194;5660250;5.036;2.683
Buskerudbyen uten E18;E+R+F+K;Alle;>= 5,6m;April;6,903;95,000;525319;491397;5.999;3.197
Buskerudbyen uten E18;E+R+F+K;Alle;5,6m - 7,6m;April;5,323;95,000;169669;161094;6.723;3.582
Buskerudbyen uten E18;E+R+F+K;Alle;7,6m - 12,5m;April;3,383;95,000;203733;197066;7.428;3.958
Buskerudbyen uten E18;E+R+F+K;Alle;12,5m - 16,0m;April;16,898;95,000;55307;47312;17.038;9.079
Buskerudbyen uten E18;E+R+F+K;Alle;>= 16,0m;April;12,435;95,000;96610;85925;11.592;6.177
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;Alle;April;19,345;95,000;4926670;4128082;4.497;2.397
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;< 5,6m;April;19,826;95,000;4468792;3729401;4.710;2.510
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 5,6m;April;14,700;95,000;453437;395324;6.114;3.258
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;April;14,702;95,000;143218;124861;6.967;3.712
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;April;12,184;95,000;171152;152564;6.295;3.355
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;April;23,600;95,000;49162;39775;19.632;10.461
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 16,0m;April;15,080;95,000;89905;78124;11.680;6.224
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;Alle;April;-18,434;95,000;1653653;2027375;3.338;1.779
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;< 5,6m;April;-18,098;95,000;1581402;1930849;3.291;1.754
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 5,6m;April;-25,180;95,000;71882;96073;5.639;3.005
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;5,6m - 7,6m;April;-26,997;95,000;26451;36233;6.614;3.524
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;7,6m - 12,5m;April;-26,788;95,000;32581;44502;7.018;3.740
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;12,5m - 16,0m;April;-18,469;95,000;6145;7537;10.283;5.480
Buskerudbyen uten E18;E+R+F+K;Helgedøgn;>= 16,0m;April;-14,049;95,000;6705;7801;15.090;8.041
Buskerudbyen uten E18;E+R+F+K;Alle;Alle;Mai;-1,092;95,000;5080935;5137055;3.585;2.167
Buskerudbyen uten E18;E+R+F+K;Alle;< 5,6m;Mai;-1,151;95,000;4641421;4695475;3.575;2.160
Buskerudbyen uten E18;E+R+F+K;Alle;>= 5,6m;Mai;-0,371;95,000;433941;435555;4.320;2.611
Buskerudbyen uten E18;E+R+F+K;Alle;5,6m - 7,6m;Mai;-0,770;95,000;145482;146611;5.632;3.404
Buskerudbyen uten E18;E+R+F+K;Alle;7,6m - 12,5m;Mai;0,922;95,000;181118;179463;4.907;2.965
Buskerudbyen uten E18;E+R+F+K;Alle;12,5m - 16,0m;Mai;-6,070;95,000;40618;43243;9.888;5.975
Buskerudbyen uten E18;E+R+F+K;Alle;>= 16,0m;Mai;0,732;95,000;66723;66238;7.337;4.434
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;Alle;Mai;-3,229;95,000;3684676;3807622;3.097;1.872
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;< 5,6m;Mai;-3,316;95,000;3324694;3438733;3.099;1.873
Buskerudbyen uten E18;E+R+F+K;Yrkesdøgn;>= 5,6m;Mai;-2,384;95,000;354561;363221;3.933;2.377
