Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Grenland;K;Alle;Alle;Januar;-3,422;99,000;180759;187163;-;-
Grenland;K;Alle;< 5,6m;Januar;-2,785;99,000;173166;178127;-;-
Grenland;K;Alle;>= 5,6m;Januar;-15,977;99,000;7589;9032;-;-
Grenland;K;Alle;5,6m - 7,6m;Januar;-14,439;99,000;3745;4377;-;-
Grenland;K;Alle;7,6m - 12,5m;Januar;-14,919;99,000;3610;4243;-;-
Grenland;K;Alle;12,5m - 16,0m;Januar;-35,426;99,000;144;223;-;-
Grenland;K;Alle;>= 16,0m;Januar;-52,381;99,000;90;189;-;-
Grenland;K;Yrkesdøgn;Alle;Januar;-3,495;99,000;144528;149762;-;-
Grenland;K;Yrkesdøgn;< 5,6m;Januar;-2,578;99,000;137880;141529;-;-
Grenland;K;Yrkesdøgn;>= 5,6m;Januar;-19,249;99,000;6645;8229;-;-
Grenland;K;Yrkesdøgn;5,6m - 7,6m;Januar;-17,368;99,000;3259;3944;-;-
Grenland;K;Yrkesdøgn;7,6m - 12,5m;Januar;-18,718;99,000;3157;3884;-;-
Grenland;K;Yrkesdøgn;12,5m - 16,0m;Januar;-34,419;99,000;141;215;-;-
Grenland;K;Yrkesdøgn;>= 16,0m;Januar;-52,688;99,000;88;186;-;-
Grenland;K;Helgedøgn;Alle;Januar;-3,128;100,000;36231;37401;-;-
Grenland;K;Helgedøgn;< 5,6m;Januar;-3,585;100,000;35286;36598;-;-
Grenland;K;Helgedøgn;>= 5,6m;Januar;17,559;100,000;944;803;-;-
Grenland;K;Helgedøgn;5,6m - 7,6m;Januar;12,240;100,000;486;433;-;-
Grenland;K;Helgedøgn;7,6m - 12,5m;Januar;26,184;100,000;453;359;-;-
Grenland;K;Helgedøgn;12,5m - 16,0m;Januar;-62,500;100,000;3;8;-;-
Grenland;K;Helgedøgn;>= 16,0m;Januar;-33,333;100,000;2;3;-;-
Grenland;K;Alle;Alle;Februar;-1,290;100,000;162047;164165;-;-
Grenland;K;Alle;< 5,6m;Februar;-0,714;100,000;155111;156226;-;-
Grenland;K;Alle;>= 5,6m;Februar;-12,667;100,000;6929;7934;-;-
Grenland;K;Alle;5,6m - 7,6m;Februar;-5,331;100,000;3516;3714;-;-
Grenland;K;Alle;7,6m - 12,5m;Februar;-17,927;100,000;3246;3955;-;-
Grenland;K;Alle;12,5m - 16,0m;Februar;-29,457;100,000;91;129;-;-
Grenland;K;Alle;>= 16,0m;Februar;-44,118;100,000;76;136;-;-
Grenland;K;Yrkesdøgn;Alle;Februar;-1,594;100,000;129554;131653;-;-
Grenland;K;Yrkesdøgn;< 5,6m;Februar;-0,869;100,000;123373;124455;-;-
Grenland;K;Yrkesdøgn;>= 5,6m;Februar;-14,151;100,000;6176;7194;-;-
