Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Kristiansand;K;Alle;Alle;Januar;-;-;-;-;-;-
Kristiansand;K;Alle;< 5,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Alle;>= 5,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Alle;5,6m - 7,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Alle;7,6m - 12,5m;Januar;-;-;-;-;-;-
Kristiansand;K;Alle;12,5m - 16,0m;Januar;-;-;-;-;-;-
Kristiansand;K;Alle;>= 16,0m;Januar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;Alle;Januar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;< 5,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;>= 5,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;5,6m - 7,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;7,6m - 12,5m;Januar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;12,5m - 16,0m;Januar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;>= 16,0m;Januar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;Alle;Januar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;< 5,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;>= 5,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;5,6m - 7,6m;Januar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;7,6m - 12,5m;Januar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;12,5m - 16,0m;Januar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;>= 16,0m;Januar;-;-;-;-;-;-
Kristiansand;K;Alle;Alle;Februar;-;-;-;-;-;-
Kristiansand;K;Alle;< 5,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Alle;>= 5,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Alle;5,6m - 7,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Alle;7,6m - 12,5m;Februar;-;-;-;-;-;-
Kristiansand;K;Alle;12,5m - 16,0m;Februar;-;-;-;-;-;-
Kristiansand;K;Alle;>= 16,0m;Februar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;Alle;Februar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;< 5,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;>= 5,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;5,6m - 7,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;7,6m - 12,5m;Februar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;12,5m - 16,0m;Februar;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;>= 16,0m;Februar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;Alle;Februar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;< 5,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;>= 5,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;5,6m - 7,6m;Februar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;7,6m - 12,5m;Februar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;12,5m - 16,0m;Februar;-;-;-;-;-;-
Kristiansand;K;Helgedøgn;>= 16,0m;Februar;-;-;-;-;-;-
Kristiansand;K;Alle;Alle;Mars;-;-;-;-;-;-
Kristiansand;K;Alle;< 5,6m;Mars;-;-;-;-;-;-
Kristiansand;K;Alle;>= 5,6m;Mars;-;-;-;-;-;-
Kristiansand;K;Alle;5,6m - 7,6m;Mars;-;-;-;-;-;-
Kristiansand;K;Alle;7,6m - 12,5m;Mars;-;-;-;-;-;-
Kristiansand;K;Alle;12,5m - 16,0m;Mars;-;-;-;-;-;-
Kristiansand;K;Alle;>= 16,0m;Mars;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;Alle;Mars;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;< 5,6m;Mars;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;>= 5,6m;Mars;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;5,6m - 7,6m;Mars;-;-;-;-;-;-
Kristiansand;K;Yrkesdøgn;7,6m - 12,5m;Mars;-;-;-;-;-;-
