Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Kristiansand kommune;E;Alle;Alle;Januar;5,336;99,000;5766606;5474477;0.631;0.784
Kristiansand kommune;E;Alle;< 5,6m;Januar;4,679;99,000;1716863;1640114;1.157;10.395
Kristiansand kommune;E;Alle;>= 5,6m;Januar;19,148;99,000;180045;151111;3.658;32.869
Kristiansand kommune;E;Alle;5,6m - 7,6m;Januar;18,154;99,000;48944;41424;17.385;156.202
Kristiansand kommune;E;Alle;7,6m - 12,5m;Januar;22,098;99,000;62392;51100;2.064;18.544
Kristiansand kommune;E;Alle;12,5m - 16,0m;Januar;18,179;99,000;25035;21184;17.053;153.214
Kristiansand kommune;E;Alle;>= 16,0m;Januar;16,766;99,000;43674;37403;2.753;24.737
Kristiansand kommune;E;Yrkesdøgn;Alle;Januar;11,419;99,000;4671977;4193165;1.119;1.390
Kristiansand kommune;E;Yrkesdøgn;< 5,6m;Januar;11,407;99,000;1380184;1238867;0.162;1.457
Kristiansand kommune;E;Yrkesdøgn;>= 5,6m;Januar;23,781;99,000;162107;130963;4.660;41.868
Kristiansand kommune;E;Yrkesdøgn;5,6m - 7,6m;Januar;21,745;99,000;43099;35401;17.194;154.479
Kristiansand kommune;E;Yrkesdøgn;7,6m - 12,5m;Januar;27,523;99,000;55845;43792;4.175;37.515
Kristiansand kommune;E;Yrkesdøgn;12,5m - 16,0m;Januar;25,764;99,000;22806;18134;16.187;145.431
Kristiansand kommune;E;Yrkesdøgn;>= 16,0m;Januar;19,982;99,000;40357;33636;3.158;28.372
Kristiansand kommune;E;Helgedøgn;Alle;Januar;-14,570;99,000;1094629;1281312;2.408;2.990
Kristiansand kommune;E;Helgedøgn;< 5,6m;Januar;-16,092;99,000;336679;401247;5.039;45.273
Kristiansand kommune;E;Helgedøgn;>= 5,6m;Januar;-10,969;99,000;17938;20148;2.190;19.680
