Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Nedre Glomma;E+R+F+K;Alle;Alle;Januar;1,315;97,000;5270879;5202448;1.896;1.274
Nedre Glomma;E+R+F+K;Alle;< 5,6m;Januar;0,942;97,000;4856183;4810848;1.962;1.318
Nedre Glomma;E+R+F+K;Alle;>= 5,6m;Januar;5,910;97,000;413957;390857;4.140;2.781
Nedre Glomma;E+R+F+K;Alle;5,6m - 7,6m;Januar;6,230;97,000;131029;123345;5.975;4.014
Nedre Glomma;E+R+F+K;Alle;7,6m - 12,5m;Januar;2,883;97,000;115248;112018;6.552;4.402
Nedre Glomma;E+R+F+K;Alle;12,5m - 16,0m;Januar;13,031;97,000;68222;60357;19.286;12.957
Nedre Glomma;E+R+F+K;Alle;>= 16,0m;Januar;4,542;97,000;99458;95137;4.378;2.941
Nedre Glomma;E+R+F+K;Yrkesdøgn;Alle;Januar;1,290;96,000;4198757;4145294;2.117;1.422
Nedre Glomma;E+R+F+K;Yrkesdøgn;< 5,6m;Januar;0,929;96,000;3826394;3791169;2.175;1.461
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 5,6m;Januar;5,168;96,000;371692;353426;4.052;2.722
Nedre Glomma;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Januar;5,433;96,000;116793;110775;5.967;4.009
Nedre Glomma;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Januar;2,090;96,000;102893;100787;6.858;4.607
Nedre Glomma;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Januar;11,590;96,000;60139;53893;18.760;12.603
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 16,0m;Januar;4,429;96,000;91867;87971;4.186;2.812
Nedre Glomma;E+R+F+K;Helgedøgn;Alle;Januar;1,416;97,000;1072122;1057154;1.398;0.940
Nedre Glomma;E+R+F+K;Helgedøgn;< 5,6m;Januar;0,991;97,000;1029789;1019679;1.533;1.030
Nedre Glomma;E+R+F+K;Helgedøgn;>= 5,6m;Januar;12,914;97,000;42265;37431;9.128;6.132
Nedre Glomma;E+R+F+K;Helgedøgn;5,6m - 7,6m;Januar;13,254;97,000;14236;12570;11.665;7.837
Nedre Glomma;E+R+F+K;Helgedøgn;7,6m - 12,5m;Januar;10,008;97,000;12355;11231;11.105;7.461
Nedre Glomma;E+R+F+K;Helgedøgn;12,5m - 16,0m;Januar;25,046;97,000;8083;6464;34.859;23.419
Nedre Glomma;E+R+F+K;Helgedøgn;>= 16,0m;Januar;5,931;97,000;7591;7166;22.745;15.280
Nedre Glomma;E+R+F+K;Alle;Alle;Februar;0,099;94,000;4723782;4719102;2.767;1.859
Nedre Glomma;E+R+F+K;Alle;< 5,6m;Februar;-0,166;94,000;4349980;4357233;2.812;1.889
Nedre Glomma;E+R+F+K;Alle;>= 5,6m;Februar;3,277;94,000;373193;361350;4.222;2.836
Nedre Glomma;E+R+F+K;Alle;5,6m - 7,6m;Februar;4,202;94,000;116588;111886;6.499;4.366
Nedre Glomma;E+R+F+K;Alle;7,6m - 12,5m;Februar;1,178;94,000;104880;103659;5.587;3.753
Nedre Glomma;E+R+F+K;Alle;12,5m - 16,0m;Februar;8,350;94,000;61418;56685;17.795;11.955
Nedre Glomma;E+R+F+K;Alle;>= 16,0m;Februar;1,332;94,000;90307;89120;4.941;3.319
Nedre Glomma;E+R+F+K;Yrkesdøgn;Alle;Februar;0,373;95,000;3766391;3752380;3.452;2.319
Nedre Glomma;E+R+F+K;Yrkesdøgn;< 5,6m;Februar;0,148;95,000;3430892;3425809;3.523;2.367
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 5,6m;Februar;2,716;95,000;334943;326087;4.239;2.848
Nedre Glomma;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Februar;3,146;95,000;103417;100263;7.219;4.850
Nedre Glomma;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Februar;1,343;95,000;94182;92934;5.428;3.647
Nedre Glomma;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Februar;7,284;95,000;54070;50399;16.594;11.148
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 16,0m;Februar;0,949;95,000;83274;82491;5.079;3.412
Nedre Glomma;E+R+F+K;Helgedøgn;Alle;Februar;-0,965;93,000;957391;966722;2.759;1.854
Nedre Glomma;E+R+F+K;Helgedøgn;< 5,6m;Februar;-1,324;93,000;919088;931424;2.836;1.905
Nedre Glomma;E+R+F+K;Helgedøgn;>= 5,6m;Februar;8,471;93,000;38250;35263;7.192;4.832
Nedre Glomma;E+R+F+K;Helgedøgn;5,6m - 7,6m;Februar;13,318;93,000;13171;11623;8.325;5.593
Nedre Glomma;E+R+F+K;Helgedøgn;7,6m - 12,5m;Februar;-0,252;93,000;10698;10725;10.866;7.300
Nedre Glomma;E+R+F+K;Helgedøgn;12,5m - 16,0m;Februar;16,895;93,000;7348;6286;32.634;21.924
Nedre Glomma;E+R+F+K;Helgedøgn;>= 16,0m;Februar;6,094;93,000;7033;6629;22.985;15.442
Nedre Glomma;E+R+F+K;Alle;Alle;Mars;3,292;99,000;5305387;5136289;3.068;2.195
Nedre Glomma;E+R+F+K;Alle;< 5,6m;Mars;2,748;99,000;4883465;4752865;3.123;2.234
Nedre Glomma;E+R+F+K;Alle;>= 5,6m;Mars;10,019;99,000;421107;382760;7.023;5.024
Nedre Glomma;E+R+F+K;Alle;5,6m - 7,6m;Mars;11,053;99,000;130777;117761;8.526;6.099
Nedre Glomma;E+R+F+K;Alle;7,6m - 12,5m;Mars;11,755;99,000;126858;113514;6.219;4.449
Nedre Glomma;E+R+F+K;Alle;12,5m - 16,0m;Mars;12,047;99,000;67060;59850;24.124;17.257
Nedre Glomma;E+R+F+K;Alle;>= 16,0m;Mars;5,213;99,000;96412;91635;6.677;4.777
Nedre Glomma;E+R+F+K;Yrkesdøgn;Alle;Mars;5,744;99,000;4032584;3813539;3.387;2.423
Nedre Glomma;E+R+F+K;Yrkesdøgn;< 5,6m;Mars;5,345;99,000;3664535;3478611;3.425;2.450
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 5,6m;Mars;9,860;99,000;367290;334326;7.071;5.058
Nedre Glomma;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Mars;11,875;99,000;112283;100365;9.205;6.585
Nedre Glomma;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Mars;11,323;99,000;109788;98621;6.823;4.881
Nedre Glomma;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Mars;10,831;99,000;57724;52083;22.510;16.103
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 16,0m;Mars;5,090;99,000;87495;83257;6.690;4.786
Nedre Glomma;E+R+F+K;Helgedøgn;Alle;Mars;-3,776;99,000;1272803;1322750;2.154;1.541
Nedre Glomma;E+R+F+K;Helgedøgn;< 5,6m;Mars;-4,342;99,000;1218930;1274254;2.179;1.559
Nedre Glomma;E+R+F+K;Helgedøgn;>= 5,6m;Mars;11,114;99,000;53817;48434;9.168;6.558
Nedre Glomma;E+R+F+K;Helgedøgn;5,6m - 7,6m;Mars;6,312;99,000;18494;17396;7.383;5.282
Nedre Glomma;E+R+F+K;Helgedøgn;7,6m - 12,5m;Mars;14,618;99,000;17070;14893;12.026;8.603
Nedre Glomma;E+R+F+K;Helgedøgn;12,5m - 16,0m;Mars;20,201;99,000;9336;7767;42.965;30.735
Nedre Glomma;E+R+F+K;Helgedøgn;>= 16,0m;Mars;6,434;99,000;8917;8378;14.601;10.445
Nedre Glomma;E+R+F+K;Alle;Alle;April;-2,155;95,000;5081651;5193591;4.800;3.433
Nedre Glomma;E+R+F+K;Alle;< 5,6m;April;-2,312;95,000;4657815;4768069;4.923;3.522
Nedre Glomma;E+R+F+K;Alle;>= 5,6m;April;-0,395;95,000;422952;424631;6.874;4.918
Nedre Glomma;E+R+F+K;Alle;5,6m - 7,6m;April;-0,940;95,000;131755;133005;8.685;6.213
Nedre Glomma;E+R+F+K;Alle;7,6m - 12,5m;April;-1,805;95,000;140879;143469;7.141;5.108
Nedre Glomma;E+R+F+K;Alle;12,5m - 16,0m;April;6,975;95,000;63252;59128;18.873;13.501
Nedre Glomma;E+R+F+K;Alle;>= 16,0m;April;-2,205;95,000;87066;89029;9.896;7.079
Nedre Glomma;E+R+F+K;Yrkesdøgn;Alle;April;-4,135;96,000;3767817;3930321;6.304;4.510
Nedre Glomma;E+R+F+K;Yrkesdøgn;< 5,6m;April;-4,382;96,000;3407148;3563285;6.269;4.485
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 5,6m;April;-1,734;96,000;359872;366223;8.161;5.838
Nedre Glomma;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;April;-3,444;96,000;108934;112819;9.326;6.671
Nedre Glomma;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;April;-2,028;96,000;118468;120920;8.033;5.747
Nedre Glomma;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;April;3,666;96,000;53528;51635;17.181;12.291
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 16,0m;April;-2,359;96,000;78942;80849;10.902;7.799
Nedre Glomma;E+R+F+K;Helgedøgn;Alle;April;4,003;94,000;1313834;1263270;8.142;5.825
Nedre Glomma;E+R+F+K;Helgedøgn;< 5,6m;April;3,808;94,000;1250667;1204784;8.324;5.955
Nedre Glomma;E+R+F+K;Helgedøgn;>= 5,6m;April;7,999;94,000;63080;58408;9.061;6.482
Nedre Glomma;E+R+F+K;Helgedøgn;5,6m - 7,6m;April;13,054;94,000;22821;20186;15.602;11.161
Nedre Glomma;E+R+F+K;Helgedøgn;7,6m - 12,5m;April;-0,612;94,000;22411;22549;8.150;5.830
Nedre Glomma;E+R+F+K;Helgedøgn;12,5m - 16,0m;April;29,774;94,000;9724;7493;41.823;29.919
Nedre Glomma;E+R+F+K;Helgedøgn;>= 16,0m;April;-0,685;94,000;8124;8180;17.479;12.504
Nedre Glomma;E+R+F+K;Alle;Alle;Mai;0,715;99,000;6399541;6354127;1.964;1.248
Nedre Glomma;E+R+F+K;Alle;< 5,6m;Mai;0,586;99,000;5861856;5827707;2.022;1.285
Nedre Glomma;E+R+F+K;Alle;>= 5,6m;Mai;2,126;99,000;536425;525256;6.218;3.950
Nedre Glomma;E+R+F+K;Alle;5,6m - 7,6m;Mai;1,295;99,000;167386;165246;6.121;3.889
Nedre Glomma;E+R+F+K;Alle;7,6m - 12,5m;Mai;-2,341;99,000;183023;187410;7.330;4.657
Nedre Glomma;E+R+F+K;Alle;12,5m - 16,0m;Mai;16,079;99,000;82235;70844;30.138;19.149
Nedre Glomma;E+R+F+K;Alle;>= 16,0m;Mai;1,990;99,000;103781;101756;7.753;4.926
Nedre Glomma;E+R+F+K;Yrkesdøgn;Alle;Mai;3,733;99,000;4743633;4572929;1.886;1.198
Nedre Glomma;E+R+F+K;Yrkesdøgn;< 5,6m;Mai;3,688;99,000;4290783;4138168;2.008;1.276
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 5,6m;Mai;4,140;99,000;451696;433739;5.828;3.703
Nedre Glomma;E+R+F+K;Yrkesdøgn;5,6m - 7,6m;Mai;3,561;99,000;138388;133630;5.724;3.637
Nedre Glomma;E+R+F+K;Yrkesdøgn;7,6m - 12,5m;Mai;-0,306;99,000;151975;152441;6.921;4.398
Nedre Glomma;E+R+F+K;Yrkesdøgn;12,5m - 16,0m;Mai;17,762;99,000;69138;58710;27.924;17.742
Nedre Glomma;E+R+F+K;Yrkesdøgn;>= 16,0m;Mai;3,639;99,000;92195;88958;8.990;5.712
Nedre Glomma;E+R+F+K;Helgedøgn;Alle;Mai;-7,034;99,000;1655908;1781198;3.742;2.378
Nedre Glomma;E+R+F+K;Helgedøgn;< 5,6m;Mai;-7,012;99,000;1571073;1689539;3.583;2.277
Nedre Glomma;E+R+F+K;Helgedøgn;>= 5,6m;Mai;-7,417;99,000;84729;91517;10.609;6.741
Nedre Glomma;E+R+F+K;Helgedøgn;5,6m - 7,6m;Mai;-8,281;99,000;28998;31616;9.390;5.966
Nedre Glomma;E+R+F+K;Helgedøgn;7,6m - 12,5m;Mai;-11,213;99,000;31048;34969;10.652;6.768
Nedre Glomma;E+R+F+K;Helgedøgn;12,5m - 16,0m;Mai;7,936;99,000;13097;12134;45.870;29.144
Nedre Glomma;E+R+F+K;Helgedøgn;>= 16,0m;Mai;-9,470;99,000;11586;12798;13.286;8.442
Nedre Glomma;E+R+F+K;Alle;Alle;Juni;-1,543;99,000;5983022;6076791;1.583;1.064
