områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Nedre Glomma;E+R;Alle;Alle;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Mai;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Juni;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Juli;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;August;-;0,000;0;0;-;-
