Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Oslo og Akershus;E;Alle;Alle;Januar;7,212;82,000;7979326;7442541;4.524;4.747
Oslo og Akershus;E;Alle;< 5,6m;Januar;6,287;82,000;7120385;6699207;4.132;4.337
Oslo og Akershus;E;Alle;>= 5,6m;Januar;15,424;82,000;856917;742406;8.859;9.297
Oslo og Akershus;E;Alle;5,6m - 7,6m;Januar;19,536;82,000;235243;196796;6.610;6.936
Oslo og Akershus;E;Alle;7,6m - 12,5m;Januar;16,379;82,000;231606;199010;7.098;7.448
Oslo og Akershus;E;Alle;12,5m - 16,0m;Januar;10,447;82,000;158239;143272;17.867;18.750
Oslo og Akershus;E;Alle;>= 16,0m;Januar;14,017;82,000;231829;203328;16.902;17.737
Oslo og Akershus;E;Yrkesdøgn;Alle;Januar;13,735;81,000;6234299;5481415;13.661;14.337
Oslo og Akershus;E;Yrkesdøgn;< 5,6m;Januar;12,908;81,000;5462908;4838372;13.669;14.344
Oslo og Akershus;E;Yrkesdøgn;>= 5,6m;Januar;19,818;81,000;769455;642184;13.895;14.582
Oslo og Akershus;E;Yrkesdøgn;5,6m - 7,6m;Januar;22,730;81,000;211478;172312;9.636;10.112
Oslo og Akershus;E;Yrkesdøgn;7,6m - 12,5m;Januar;20,415;81,000;207853;172614;10.846;11.382
Oslo og Akershus;E;Yrkesdøgn;12,5m - 16,0m;Januar;17,657;81,000;137846;117159;24.564;25.779
Oslo og Akershus;E;Yrkesdøgn;>= 16,0m;Januar;17,867;81,000;212278;180099;19.935;20.920
Oslo og Akershus;E;Helgedøgn;Alle;Januar;-11,019;83,000;1745027;1961126;18.385;19.294
Oslo og Akershus;E;Helgedøgn;< 5,6m;Januar;-10,928;83,000;1657477;1860835;18.230;19.131
Oslo og Akershus;E;Helgedøgn;>= 5,6m;Januar;-12,732;83,000;87462;100222;22.467;23.577
Oslo og Akershus;E;Helgedøgn;5,6m - 7,6m;Januar;-2,937;83,000;23765;24484;37.942;39.817
Oslo og Akershus;E;Helgedøgn;7,6m - 12,5m;Januar;-10,013;83,000;23753;26396;27.120;28.461
Oslo og Akershus;E;Helgedøgn;12,5m - 16,0m;Januar;-21,905;83,000;20393;26113;14.916;15.653
Oslo og Akershus;E;Helgedøgn;>= 16,0m;Januar;-15,834;83,000;19551;23229;15.589;16.360
Oslo og Akershus;E;Alle;Alle;Februar;0,935;94,000;9073524;8989449;2.317;2.432
Oslo og Akershus;E;Alle;< 5,6m;Februar;0,582;94,000;8082742;8035942;2.479;2.602
Oslo og Akershus;E;Alle;>= 5,6m;Februar;3,850;94,000;988680;952031;3.756;3.942
Oslo og Akershus;E;Alle;5,6m - 7,6m;Februar;8,180;94,000;271967;251402;8.293;8.703
Oslo og Akershus;E;Alle;7,6m - 12,5m;Februar;4,683;94,000;267288;255332;10.037;10.533
Oslo og Akershus;E;Alle;12,5m - 16,0m;Februar;-3,546;94,000;182107;188801;14.856;15.591
Oslo og Akershus;E;Alle;>= 16,0m;Februar;4,219;94,000;267318;256496;8.102;8.502
Oslo og Akershus;E;Yrkesdøgn;Alle;Februar;0,838;95,000;7148266;7088832;2.025;2.125
Oslo og Akershus;E;Yrkesdøgn;< 5,6m;Februar;0,411;95,000;6260188;6234591;2.221;2.331
Oslo og Akershus;E;Yrkesdøgn;>= 5,6m;Februar;3,891;95,000;886053;852871;3.372;3.539
Oslo og Akershus;E;Yrkesdøgn;5,6m - 7,6m;Februar;7,663;95,000;243669;226325;7.400;7.765
Oslo og Akershus;E;Yrkesdøgn;7,6m - 12,5m;Februar;4,710;95,000;239409;228639;9.828;10.314
Oslo og Akershus;E;Yrkesdøgn;12,5m - 16,0m;Februar;-3,390;95,000;157211;162728;16.311;17.117
Oslo og Akershus;E;Yrkesdøgn;>= 16,0m;Februar;4,501;95,000;245764;235179;8.535;8.957
Oslo og Akershus;E;Helgedøgn;Alle;Februar;1,296;93,000;1925258;1900617;3.596;3.774
Oslo og Akershus;E;Helgedøgn;< 5,6m;Februar;1,177;93,000;1822554;1801351;3.652;3.833
Oslo og Akershus;E;Helgedøgn;>= 5,6m;Februar;3,496;93,000;102627;99160;9.168;9.622
Oslo og Akershus;E;Helgedøgn;5,6m - 7,6m;Februar;12,844;93,000;28298;25077;18.614;19.534
Oslo og Akershus;E;Helgedøgn;7,6m - 12,5m;Februar;4,443;93,000;27879;26693;12.579;13.201
Oslo og Akershus;E;Helgedøgn;12,5m - 16,0m;Februar;-4,514;93,000;24896;26073;17.241;18.094
Oslo og Akershus;E;Helgedøgn;>= 16,0m;Februar;1,112;93,000;21554;21317;6.975;7.320
Oslo og Akershus;E;Alle;Alle;Mars;12,858;89,000;9518910;8434377;3.455;3.625
Oslo og Akershus;E;Alle;< 5,6m;Mars;12,091;89,000;8468711;7555185;3.486;3.658
Oslo og Akershus;E;Alle;>= 5,6m;Mars;19,437;89,000;1048155;877581;5.309;5.572
Oslo og Akershus;E;Alle;5,6m - 7,6m;Mars;24,808;89,000;282006;225952;7.732;8.115
Oslo og Akershus;E;Alle;7,6m - 12,5m;Mars;20,960;89,000;285248;235821;7.099;7.450
