Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Tromsø;E;Alle;Alle;Januar;1,261;90,000;306230;302416;-;-
Tromsø;E;Alle;< 5,6m;Januar;0,761;90,000;291136;288938;-;-
Tromsø;E;Alle;>= 5,6m;Januar;11,957;90,000;15084;13473;-;-
Tromsø;E;Alle;5,6m - 7,6m;Januar;5,883;90,000;5633;5320;-;-
Tromsø;E;Alle;7,6m - 12,5m;Januar;18,829;90,000;6393;5380;-;-
Tromsø;E;Alle;12,5m - 16,0m;Januar;6,688;90,000;1340;1256;-;-
Tromsø;E;Alle;>= 16,0m;Januar;13,250;90,000;1718;1517;-;-
Tromsø;E;Yrkesdøgn;Alle;Januar;17,262;90,000;245275;209168;-;-
Tromsø;E;Yrkesdøgn;< 5,6m;Januar;17,221;90,000;231754;197707;-;-
Tromsø;E;Yrkesdøgn;>= 5,6m;Januar;17,964;90,000;13514;11456;-;-
Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Januar;14,469;90,000;5000;4368;-;-
Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Januar;24,435;90,000;5729;4604;-;-
Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Januar;5,403;90,000;1229;1166;-;-
Tromsø;E;Yrkesdøgn;>= 16,0m;Januar;18,058;90,000;1556;1318;-;-
Tromsø;E;Helgedøgn;Alle;Januar;-34,631;90,000;60955;93248;-;-
Tromsø;E;Helgedøgn;< 5,6m;Januar;-34,910;90,000;59382;91231;-;-
Tromsø;E;Helgedøgn;>= 5,6m;Januar;-22,162;90,000;1570;2017;-;-
Tromsø;E;Helgedøgn;5,6m - 7,6m;Januar;-33,508;90,000;633;952;-;-
Tromsø;E;Helgedøgn;7,6m - 12,5m;Januar;-14,433;90,000;664;776;-;-
Tromsø;E;Helgedøgn;12,5m - 16,0m;Januar;23,333;90,000;111;90;-;-
Tromsø;E;Helgedøgn;>= 16,0m;Januar;-18,593;90,000;162;199;-;-
Tromsø;E;Alle;Alle;Februar;2,059;77,000;499179;489109;0.183;1.643
Tromsø;E;Alle;< 5,6m;Februar;1,901;77,000;469674;460914;0.628;5.645
Tromsø;E;Alle;>= 5,6m;Februar;4,663;77,000;29492;28178;5.885;52.874
Tromsø;E;Alle;5,6m - 7,6m;Februar;-3,769;77,000;8758;9101;1.994;17.919
Tromsø;E;Alle;7,6m - 12,5m;Februar;10,465;77,000;12603;11409;5.359;48.152
Tromsø;E;Alle;12,5m - 16,0m;Februar;17,249;77,000;2651;2261;23.678;212.740
Tromsø;E;Alle;>= 16,0m;Februar;1,350;77,000;5480;5407;5.331;47.897
Tromsø;E;Yrkesdøgn;Alle;Februar;8,168;76,000;393841;364102;2.700;24.259
Tromsø;E;Yrkesdøgn;< 5,6m;Februar;8,253;76,000;368199;340128;2.203;19.797
Tromsø;E;Yrkesdøgn;>= 5,6m;Februar;6,975;76,000;25629;23958;9.570;85.983
Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Februar;-1,417;76,000;7516;7624;5.421;48.702
Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Februar;13,175;76,000;11021;9738;10.606;95.290
Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Februar;17,317;76,000;2256;1923;33.821;303.874
Tromsø;E;Yrkesdøgn;>= 16,0m;Februar;3,488;76,000;4836;4673;5.571;50.057
Tromsø;E;Helgedøgn;Alle;Februar;-15,734;80,000;105338;125007;4.399;39.527
Tromsø;E;Helgedøgn;< 5,6m;Februar;-15,988;80,000;101475;120786;4.454;40.020
Tromsø;E;Helgedøgn;>= 5,6m;Februar;-8,460;80,000;3863;4220;7.818;70.244
Tromsø;E;Helgedøgn;5,6m - 7,6m;Februar;-15,911;80,000;1242;1477;8.376;75.255
Tromsø;E;Helgedøgn;7,6m - 12,5m;Februar;-5,326;80,000;1582;1671;14.331;128.761
Tromsø;E;Helgedøgn;12,5m - 16,0m;Februar;16,864;80,000;395;338;36.629;329.095
Tromsø;E;Helgedøgn;>= 16,0m;Februar;-12,262;80,000;644;734;9.616;86.400
Tromsø;E;Alle;Alle;Mars;11,494;80,000;1061235;951829;4.238;10.527
Tromsø;E;Alle;< 5,6m;Mars;11,251;80,000;977613;878744;4.378;10.876
Tromsø;E;Alle;>= 5,6m;Mars;14,313;80,000;83494;73040;3.092;7.681
Tromsø;E;Alle;5,6m - 7,6m;Mars;16,072;80,000;28043;24160;6.984;17.350
Tromsø;E;Alle;7,6m - 12,5m;Mars;14,287;80,000;33965;29719;7.012;17.419
Tromsø;E;Alle;12,5m - 16,0m;Mars;13,543;80,000;10966;9658;19.098;47.442
Tromsø;E;Alle;>= 16,0m;Mars;10,702;80,000;10520;9503;5.239;13.015
Tromsø;E;Yrkesdøgn;Alle;Mars;24,332;78,000;869200;699096;2.975;7.390
Tromsø;E;Yrkesdøgn;< 5,6m;Mars;24,716;78,000;794363;636937;3.164;7.860
Tromsø;E;Yrkesdøgn;>= 5,6m;Mars;20,292;78,000;74724;62119;4.228;10.502
Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Mars;23,772;78,000;25325;20461;5.716;14.200
Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Mars;19,459;78,000;30640;25649;11.106;27.590
Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Mars;20,809;78,000;9318;7713;25.182;62.557
Tromsø;E;Yrkesdøgn;>= 16,0m;Mars;13,802;78,000;9441;8296;6.165;15.314
Tromsø;E;Helgedøgn;Alle;Mars;-24,017;85,000;192035;252733;3.291;8.175
Tromsø;E;Helgedøgn;< 5,6m;Mars;-24,216;85,000;183250;241807;3.427;8.513
Tromsø;E;Helgedøgn;>= 5,6m;Mars;-19,696;85,000;8770;10921;0.763;1.896
Tromsø;E;Helgedøgn;5,6m - 7,6m;Mars;-26,521;85,000;2718;3699;4.742;11.780
Tromsø;E;Helgedøgn;7,6m - 12,5m;Mars;-18,305;85,000;3325;4070;3.133;7.783
