Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Trondheim;K;Alle;Alle;Januar;-;-;-;-;-;-
Trondheim;K;Alle;< 5,6m;Januar;-;-;-;-;-;-
Trondheim;K;Alle;>= 5,6m;Januar;-;-;-;-;-;-
Trondheim;K;Alle;5,6m - 7,6m;Januar;-;-;-;-;-;-
Trondheim;K;Alle;7,6m - 12,5m;Januar;-;-;-;-;-;-
Trondheim;K;Alle;12,5m - 16,0m;Januar;-;-;-;-;-;-
Trondheim;K;Alle;>= 16,0m;Januar;-;-;-;-;-;-
Trondheim;K;Yrkesdøgn;Alle;Januar;-;-;-;-;-;-
Trondheim;K;Yrkesdøgn;< 5,6m;Januar;-;-;-;-;-;-
Trondheim;K;Yrkesdøgn;>= 5,6m;Januar;-;-;-;-;-;-
Trondheim;K;Yrkesdøgn;5,6m - 7,6m;Januar;-;-;-;-;-;-
Trondheim;K;Yrkesdøgn;7,6m - 12,5m;Januar;-;-;-;-;-;-
Trondheim;K;Yrkesdøgn;12,5m - 16,0m;Januar;-;-;-;-;-;-
Trondheim;K;Yrkesdøgn;>= 16,0m;Januar;-;-;-;-;-;-
Trondheim;K;Helgedøgn;Alle;Januar;-;-;-;-;-;-
Trondheim;K;Helgedøgn;< 5,6m;Januar;-;-;-;-;-;-
Trondheim;K;Helgedøgn;>= 5,6m;Januar;-;-;-;-;-;-
Trondheim;K;Helgedøgn;5,6m - 7,6m;Januar;-;-;-;-;-;-
Trondheim;K;Helgedøgn;7,6m - 12,5m;Januar;-;-;-;-;-;-
Trondheim;K;Helgedøgn;12,5m - 16,0m;Januar;-;-;-;-;-;-
Trondheim;K;Helgedøgn;>= 16,0m;Januar;-;-;-;-;-;-
Trondheim;K;Alle;Alle;Februar;4,086;80,000;214322;205909;-;-
Trondheim;K;Alle;< 5,6m;Februar;3,318;80,000;199354;192952;-;-
Trondheim;K;Alle;>= 5,6m;Februar;16,122;80,000;13491;11618;-;-
Trondheim;K;Alle;5,6m - 7,6m;Februar;15,962;80,000;6117;5275;-;-
Trondheim;K;Alle;7,6m - 12,5m;Februar;23,872;80,000;4063;3280;-;-
Trondheim;K;Alle;12,5m - 16,0m;Februar;3,085;80,000;2439;2366;-;-
Trondheim;K;Alle;>= 16,0m;Februar;25,108;80,000;872;697;-;-
Trondheim;K;Yrkesdøgn;Alle;Februar;3,608;84,000;170494;164556;-;-
Trondheim;K;Yrkesdøgn;< 5,6m;Februar;2,612;84,000;157241;153239;-;-
Trondheim;K;Yrkesdøgn;>= 5,6m;Februar;18,129;84,000;12009;10166;-;-
Trondheim;K;Yrkesdøgn;5,6m - 7,6m;Februar;17,190;84,000;5488;4683;-;-
Trondheim;K;Yrkesdøgn;7,6m - 12,5m;Februar;28,321;84,000;3593;2800;-;-
Trondheim;K;Yrkesdøgn;12,5m - 16,0m;Februar;4,889;84,000;2167;2066;-;-
Trondheim;K;Yrkesdøgn;>= 16,0m;Februar;23,339;84,000;761;617;-;-
Trondheim;K;Helgedøgn;Alle;Februar;5,985;72,000;43828;41353;-;-
Trondheim;K;Helgedøgn;< 5,6m;Februar;6,043;72,000;42113;39713;-;-
Trondheim;K;Helgedøgn;>= 5,6m;Februar;2,066;72,000;1482;1452;-;-
Trondheim;K;Helgedøgn;5,6m - 7,6m;Februar;6,250;72,000;629;592;-;-
Trondheim;K;Helgedøgn;7,6m - 12,5m;Februar;-2,083;72,000;470;480;-;-
Trondheim;K;Helgedøgn;12,5m - 16,0m;Februar;-9,333;72,000;272;300;-;-
Trondheim;K;Helgedøgn;>= 16,0m;Februar;38,750;72,000;111;80;-;-
Trondheim;K;Alle;Alle;Mars;13,845;100,000;303823;266874;-;-
Trondheim;K;Alle;< 5,6m;Mars;12,807;100,000;283739;251525;-;-
Trondheim;K;Alle;>= 5,6m;Mars;31,695;100,000;17925;13611;-;-
Trondheim;K;Alle;5,6m - 7,6m;Mars;36,025;100,000;7967;5857;-;-
Trondheim;K;Alle;7,6m - 12,5m;Mars;31,076;100,000;5382;4106;-;-
Trondheim;K;Alle;12,5m - 16,0m;Mars;23,217;100,000;3386;2748;-;-
Trondheim;K;Alle;>= 16,0m;Mars;32,222;100,000;1190;900;-;-
Trondheim;K;Yrkesdøgn;Alle;Mars;14,630;100,000;224902;196198;-;-
Trondheim;K;Yrkesdøgn;< 5,6m;Mars;13,332;100,000;208059;183584;-;-
Trondheim;K;Yrkesdøgn;>= 5,6m;Mars;34,106;100,000;15150;11297;-;-
Trondheim;K;Yrkesdøgn;5,6m - 7,6m;Mars;37,882;100,000;6821;4947;-;-
Trondheim;K;Yrkesdøgn;7,6m - 12,5m;Mars;34,133;100,000;4472;3334;-;-
Trondheim;K;Yrkesdøgn;12,5m - 16,0m;Mars;27,980;100,000;2877;2248;-;-
Trondheim;K;Yrkesdøgn;>= 16,0m;Mars;27,604;100,000;980;768;-;-
Trondheim;K;Helgedøgn;Alle;Mars;11,666;100,000;78921;70676;-;-
Trondheim;K;Helgedøgn;< 5,6m;Mars;11,391;100,000;75680;67941;-;-
Trondheim;K;Helgedøgn;>= 5,6m;Mars;19,922;100,000;2775;2314;-;-
Trondheim;K;Helgedøgn;5,6m - 7,6m;Mars;25,934;100,000;1146;910;-;-
Trondheim;K;Helgedøgn;7,6m - 12,5m;Mars;17,876;100,000;910;772;-;-
Trondheim;K;Helgedøgn;12,5m - 16,0m;Mars;1,800;100,000;509;500;-;-
Trondheim;K;Helgedøgn;>= 16,0m;Mars;59,091;100,000;210;132;-;-
Trondheim;K;Alle;Alle;April;-8,199;100,000;266014;289773;-;-
Trondheim;K;Alle;< 5,6m;April;-8,614;100,000;247020;270303;-;-
Trondheim;K;Alle;>= 5,6m;April;-1,107;100,000;16968;17158;-;-
Trondheim;K;Alle;5,6m - 7,6m;April;-1,278;100,000;7182;7275;-;-
Trondheim;K;Alle;7,6m - 12,5m;April;5,831;100,000;5808;5488;-;-
Trondheim;K;Alle;12,5m - 16,0m;April;-10,040;100,000;2903;3227;-;-
Trondheim;K;Alle;>= 16,0m;April;-7,962;100,000;1075;1168;-;-
Trondheim;K;Yrkesdøgn;Alle;April;-7,224;100,000;195930;211186;-;-
Trondheim;K;Yrkesdøgn;< 5,6m;April;-7,836;100,000;179996;195300;-;-
Trondheim;K;Yrkesdøgn;>= 5,6m;April;1,394;100,000;14325;14128;-;-
Trondheim;K;Yrkesdøgn;5,6m - 7,6m;April;0,293;100,000;6165;6147;-;-
Trondheim;K;Yrkesdøgn;7,6m - 12,5m;April;10,397;100,000;4842;4386;-;-
Trondheim;K;Yrkesdøgn;12,5m - 16,0m;April;-8,786;100,000;2419;2652;-;-
Trondheim;K;Yrkesdøgn;>= 16,0m;April;-4,666;100,000;899;943;-;-
Trondheim;K;Helgedøgn;Alle;April;-10,820;100,000;70084;78587;-;-
Trondheim;K;Helgedøgn;< 5,6m;April;-10,638;100,000;67024;75003;-;-
Trondheim;K;Helgedøgn;>= 5,6m;April;-12,772;100,000;2643;3030;-;-
Trondheim;K;Helgedøgn;5,6m - 7,6m;April;-9,840;100,000;1017;1128;-;-
Trondheim;K;Helgedøgn;7,6m - 12,5m;April;-12,341;100,000;966;1102;-;-
Trondheim;K;Helgedøgn;12,5m - 16,0m;April;-15,826;100,000;484;575;-;-
Trondheim;K;Helgedøgn;>= 16,0m;April;-21,778;100,000;176;225;-;-
Trondheim;K;Alle;Alle;Mai;0,581;100,000;282706;281073;-;-
Trondheim;K;Alle;< 5,6m;Mai;0,113;100,000;261786;261490;-;-
Trondheim;K;Alle;>= 5,6m;Mai;7,968;100,000;18659;17282;-;-
Trondheim;K;Alle;5,6m - 7,6m;Mai;8,903;100,000;7572;6953;-;-
Trondheim;K;Alle;7,6m - 12,5m;Mai;7,971;100,000;6475;5997;-;-
Trondheim;K;Alle;12,5m - 16,0m;Mai;5,686;100,000;3364;3183;-;-
Trondheim;K;Alle;>= 16,0m;Mai;8,616;100,000;1248;1149;-;-
Trondheim;K;Yrkesdøgn;Alle;Mai;3,973;100,000;202299;194568;-;-
Trondheim;K;Yrkesdøgn;< 5,6m;Mai;3,380;100,000;184937;178890;-;-
Trondheim;K;Yrkesdøgn;>= 5,6m;Mai;11,950;100,000;15608;13942;-;-
