Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Grenland;E+R;Alle;Alle;Januar;-;-;-;-;-;-
Grenland;E+R;Yrkesdøgn;Alle;Januar;-;-;-;-;-;-
Grenland;E+R;Helgedøgn;Alle;Januar;-;-;-;-;-;-
Grenland;E+R;Alle;Alle;Februar;-;-;-;-;-;-
Grenland;E+R;Yrkesdøgn;Alle;Februar;-;-;-;-;-;-
Grenland;E+R;Helgedøgn;Alle;Februar;-;-;-;-;-;-
Grenland;E+R;Alle;Alle;Mars;-;-;-;-;-;-
Grenland;E+R;Yrkesdøgn;Alle;Mars;-;-;-;-;-;-
Grenland;E+R;Helgedøgn;Alle;Mars;-;-;-;-;-;-
Grenland;E+R;Alle;Alle;April;-;-;-;-;-;-
Grenland;E+R;Yrkesdøgn;Alle;April;-;-;-;-;-;-
Grenland;E+R;Helgedøgn;Alle;April;-;-;-;-;-;-
Grenland;E+R;Alle;Alle;Mai;-;-;-;-;-;-
Grenland;E+R;Yrkesdøgn;Alle;Mai;-;-;-;-;-;-
Grenland;E+R;Helgedøgn;Alle;Mai;-;-;-;-;-;-
Grenland;E+R;Alle;Alle;Juni;-0,338;77,000;2946;2956;-;-
Grenland;E+R;Yrkesdøgn;Alle;Juni;2,272;81,000;2566;2509;-;-
Grenland;E+R;Helgedøgn;Alle;Juni;-14,989;66,000;380;447;-;-
Grenland;E+R;Alle;Alle;Juli;-0,101;82,000;5948;5954;8.978;80.663
Grenland;E+R;Yrkesdøgn;Alle;Juli;1,619;81,000;4520;4448;8.405;75.518
Grenland;E+R;Helgedøgn;Alle;Juli;-5,179;84,000;1428;1506;10.686;96.008
Grenland;E+R;Alle;Alle;August;15,304;73,000;7406;6423;16.830;151.216
Grenland;E+R;Yrkesdøgn;Alle;August;12,579;74,000;6274;5573;13.870;124.613
Grenland;E+R;Helgedøgn;Alle;August;33,176;72,000;1132;850;38.117;342.465
Grenland;E+R;Alle;Alle;September;-28,255;89,000;19773;27560;5.953;7.392
