fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Januar;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Februar;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Mars;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;April;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Mai;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Juni;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Juli;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;August;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;September;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Oktober;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;November;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Desember;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Siste 12 måneder;-;-;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Alle;Alle;Hittil i år;-;-;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Januar;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Februar;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Mars;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;April;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Mai;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Juni;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Juli;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;August;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;September;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Oktober;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;November;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Desember;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Siste 12 måneder;-;-;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Yrkesdøgn;Alle;Hittil i år;-;-;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Januar;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Februar;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Mars;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;April;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Mai;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Juni;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Juli;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;August;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;September;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Oktober;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;November;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Desember;-;0,000;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Siste 12 måneder;-;-;-;-
8;800533;Porsgrunnsbrua opp fortau;F;356;1;2247;1;;;Helgedøgn;Alle;Hittil i år;-;-;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Januar;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Februar;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Mars;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;April;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Mai;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Juni;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Juli;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;August;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;September;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Oktober;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;November;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Desember;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Siste 12 måneder;-;-;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Alle;Alle;Hittil i år;-;-;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Januar;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Februar;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Mars;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;April;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Mai;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Juni;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Juli;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;August;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;September;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Oktober;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;November;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Desember;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Siste 12 måneder;-;-;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Yrkesdøgn;Alle;Hittil i år;-;-;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Januar;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Februar;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Mars;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;April;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Mai;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Juni;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Juli;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;August;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;September;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Oktober;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;November;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Desember;-;0,000;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Siste 12 måneder;-;-;-;-
8;800535;Vallermyrene sykkeltellepunkt;F;32;204;5886;2;;;Helgedøgn;Alle;Hittil i år;-;-;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Januar;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Februar;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Mars;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;April;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Mai;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Juni;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Juli;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;August;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;September;-39,134;93,000;2445;4017
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Oktober;-26,655;75,000;1230;1677
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;November;-20,913;92,000;537;679
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Desember;-49,741;99,000;194;386
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Siste 12 måneder;-34,813;90,000;4406;6759
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Alle;Alle;Hittil i år;-34,813;90,000;4406;6759
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Januar;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Februar;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Mars;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;April;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Mai;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Juni;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Juli;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;August;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;September;-39,691;94,000;2106;3492
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Oktober;-28,649;76,000;1046;1466
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;November;-22,656;95,000;495;640
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Desember;-49,107;98,000;171;336
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Siste 12 måneder;-35,659;91,000;3818;5934
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Yrkesdøgn;Alle;Hittil i år;-35,659;91,000;3818;5934
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Januar;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Februar;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Mars;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;April;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Mai;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Juni;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Juli;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;August;-;0,000;-;-
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;September;-35,429;90,000;339;525
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Oktober;-12,796;72,000;184;211
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;November;7,692;85,000;42;39
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Desember;-54,000;100,000;23;50
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Siste 12 måneder;-28,727;87,000;588;825
8;800520;Lundedalen sykkeltellepunkt;K;67200;1;344;1;;;Helgedøgn;Alle;Hittil i år;-28,727;87,000;588;825
