"aar_maaned";"stasjon";"felt";"klasse";"trafikkvolum";"trafikkvolum_alle";"trafikkvolum_andel"
2017-01-01;"Bjørndalen (Oslovn.)";"BJØRN";"Liten_bil";263289;298799;88,12
2017-01-01;"Bjørndalen (Oslovn.)";"BJØRN";"Stor_bil";23678;298799;7,92
2017-01-01;"Bjørndalen (Oslovn.)";"BJØRN";"Ukjent";11832;298799;3,96
2017-01-01;"Bratsbergveien";"BRATS";"Liten_bil";192293;208616;92,18
2017-01-01;"Bratsbergveien";"BRATS";"Stor_bil";12707;208616;6,09
2017-01-01;"Bratsbergveien";"BRATS";"Ukjent";3616;208616;1,73
2017-01-01;"Byåsveien";"BYÅSV";"Liten_bil";298660;314235;95,04
2017-01-01;"Byåsveien";"BYÅSV";"Stor_bil";12891;314235;4,1
2017-01-01;"Byåsveien";"BYÅSV";"Ukjent";2684;314235;0,85
2017-01-01;"Bøckmans veg";"BØCKM";"Liten_bil";163453;168232;97,16
2017-01-01;"Bøckmans veg";"BØCKM";"Stor_bil";3148;168232;1,87
2017-01-01;"Bøckmans veg";"BØCKM";"Ukjent";1631;168232;0,97
2017-01-01;"Fv 704 Torgårdsletta";"TORGR";"Liten_bil";208369;247515;84,18
2017-01-01;"Fv 704 Torgårdsletta";"TORGR";"Stor_bil";33959;247515;13,72
2017-01-01;"Fv 704 Torgårdsletta";"TORGR";"Ukjent";5187;247515;2,1
2017-01-01;"Gamle Oslovei";"GAMLE";"Liten_bil";113866;121252;93,91
2017-01-01;"Gamle Oslovei";"GAMLE";"Stor_bil";4963;121252;4,09
2017-01-01;"Gamle Oslovei";"GAMLE";"Ukjent";2423;121252;2
2017-01-01;"Haakon VII s gt ";"H-VII";"Liten_bil";332706;348384;95,5
2017-01-01;"Haakon VII s gt ";"H-VII";"Stor_bil";10970;348384;3,15
2017-01-01;"Haakon VII s gt ";"H-VII";"Ukjent";4708;348384;1,35
2017-01-01;"Klett - E6";"KLETT-E6";"Liten_bil";544925;630008;86,49
2017-01-01;"Klett - E6";"KLETT-E6";"Stor_bil";66706;630008;10,59
2017-01-01;"Klett - E6";"KLETT-E6";"Ukjent";18377;630008;2,92
2017-01-01;"Klett - Rv.707";"KLETT";"Liten_bil";177515;203487;87,24
2017-01-01;"Klett - Rv.707";"KLETT";"Stor_bil";10733;203487;5,27
2017-01-01;"Klett - Rv.707";"KLETT";"Ukjent";15239;203487;7,49
2017-01-01;"Kroppan bru";"KROP-";"Liten_bil";436761;476399;91,68
2017-01-01;"Kroppan bru";"KROP-";"Stor_bil";36171;476399;7,59
2017-01-01;"Kroppan bru";"KROP-";"Ukjent";3467;476399;0,73
2017-01-01;"Landbruksvegen";"LANDB";"Liten_bil";144898;151862;95,41
2017-01-01;"Landbruksvegen";"LANDB";"Stor_bil";4385;151862;2,89
2017-01-01;"Landbruksvegen";"LANDB";"Ukjent";2579;151862;1,7
2017-01-01;"Nedre Leirfoss (Fossestuvegen)";"LEIRF";"Liten_bil";60503;68092;88,85
2017-01-01;"Nedre Leirfoss (Fossestuvegen)";"LEIRF";"Stor_bil";4650;68092;6,83
2017-01-01;"Nedre Leirfoss (Fossestuvegen)";"LEIRF";"Ukjent";2939;68092;4,32
2017-01-01;"Nord for Sluppen bru (Tempevn)";"SLUPP";"Liten_bil";319382;343186;93,06
2017-01-01;"Nord for Sluppen bru (Tempevn)";"SLUPP";"Stor_bil";9800;343186;2,86
2017-01-01;"Nord for Sluppen bru (Tempevn)";"SLUPP";"Ukjent";14004;343186;4,08
2017-01-01;"Ranheim";"RANH-";"Liten_bil";477029;529743;90,05
2017-01-01;"Ranheim";"RANH-";"Stor_bil";49816;529743;9,4
2017-01-01;"Ranheim";"RANH-";"Ukjent";2898;529743;0,55
2017-01-01;"Rv 706 Leangensletta";"Rv706";"Liten_bil";665501;718196;92,66
2017-01-01;"Rv 706 Leangensletta";"Rv706";"Stor_bil";44078;718196;6,14
2017-01-01;"Rv 706 Leangensletta";"Rv706";"Ukjent";8617;718196;1,2
2017-01-01;"Tempeveien";"TEMPE";"Liten_bil";103771;116113;89,37
2017-01-01;"Tempeveien";"TEMPE";"Stor_bil";9217;116113;7,94
