"aar_maaned";"stasjon";"felt";"klasse";"trafikkvolum";"trafikkvolum_alle";"trafikkvolum_andel"
2016-01-01;"Bjørndalen (Oslovn.)";"BJØRN";"Liten_bil";250573;285930;87,63
2016-01-01;"Bjørndalen (Oslovn.)";"BJØRN";"Stor_bil";22207;285930;7,77
2016-01-01;"Bjørndalen (Oslovn.)";"BJØRN";"Ukjent";13150;285930;4,6
2016-01-01;"Bratsbergveien";"BRATS";"Liten_bil";194944;214021;91,09
2016-01-01;"Bratsbergveien";"BRATS";"Stor_bil";12591;214021;5,88
2016-01-01;"Bratsbergveien";"BRATS";"Ukjent";6486;214021;3,03
2016-01-01;"Byåsveien";"BYÅSV";"Liten_bil";292557;308727;94,76
2016-01-01;"Byåsveien";"BYÅSV";"Stor_bil";11887;308727;3,85
2016-01-01;"Byåsveien";"BYÅSV";"Ukjent";4283;308727;1,39
2016-01-01;"Bøckmans veg";"BØCKM";"Liten_bil";156047;161292;96,75
2016-01-01;"Bøckmans veg";"BØCKM";"Stor_bil";2051;161292;1,27
2016-01-01;"Bøckmans veg";"BØCKM";"Ukjent";3194;161292;1,98
2016-01-01;"Fv 704 Torgårdsletta";"TORGR";"Liten_bil";178018;201696;88,26
2016-01-01;"Fv 704 Torgårdsletta";"TORGR";"Stor_bil";19247;201696;9,54
2016-01-01;"Fv 704 Torgårdsletta";"TORGR";"Ukjent";4431;201696;2,2
2016-01-01;"Gamle Oslovei";"GAMLE";"Liten_bil";109056;115858;94,13
2016-01-01;"Gamle Oslovei";"GAMLE";"Stor_bil";4531;115858;3,91
2016-01-01;"Gamle Oslovei";"GAMLE";"Ukjent";2271;115858;1,96
2016-01-01;"Haakon VII s gt ";"H-VII";"Liten_bil";313182;330781;94,68
2016-01-01;"Haakon VII s gt ";"H-VII";"Stor_bil";11583;330781;3,5
2016-01-01;"Haakon VII s gt ";"H-VII";"Ukjent";6016;330781;1,82
2016-01-01;"Klett - E6";"KLETT-E6";"Liten_bil";551299;640085;86,13
2016-01-01;"Klett - E6";"KLETT-E6";"Stor_bil";58579;640085;9,15
2016-01-01;"Klett - E6";"KLETT-E6";"Ukjent";30207;640085;4,72
2016-01-01;"Klett - Rv.707";"KLETT";"Liten_bil";155608;174686;89,08
2016-01-01;"Klett - Rv.707";"KLETT";"Stor_bil";8316;174686;4,76
2016-01-01;"Klett - Rv.707";"KLETT";"Ukjent";10762;174686;6,16
2016-01-01;"Kroppan bru";"KROP-";"Liten_bil";406319;467056;87
2016-01-01;"Kroppan bru";"KROP-";"Stor_bil";34754;467056;7,44
2016-01-01;"Kroppan bru";"KROP-";"Ukjent";25983;467056;5,56
2016-01-01;"Landbruksvegen";"LANDB";"Liten_bil";139002;148302;93,73
2016-01-01;"Landbruksvegen";"LANDB";"Stor_bil";3862;148302;2,6
2016-01-01;"Landbruksvegen";"LANDB";"Ukjent";5438;148302;3,67
2016-01-01;"Nedre Leirfoss (Fossestuvegen)";"LEIRF";"Liten_bil";55759;62738;88,88
2016-01-01;"Nedre Leirfoss (Fossestuvegen)";"LEIRF";"Stor_bil";4485;62738;7,15
2016-01-01;"Nedre Leirfoss (Fossestuvegen)";"LEIRF";"Ukjent";2494;62738;3,98
2016-01-01;"Nord for Sluppen bru (Tempevn)";"SLUPP";"Liten_bil";306832;330162;92,93
2016-01-01;"Nord for Sluppen bru (Tempevn)";"SLUPP";"Stor_bil";9662;330162;2,93
2016-01-01;"Nord for Sluppen bru (Tempevn)";"SLUPP";"Ukjent";13668;330162;4,14
2016-01-01;"Ranheim";"RANH-";"Liten_bil";444911;555241;80,13
2016-01-01;"Ranheim";"RANH-";"Stor_bil";47346;555241;8,53
2016-01-01;"Ranheim";"RANH-";"Ukjent";62984;555241;11,34
2016-01-01;"Rv 706 Leangensletta";"Rv706";"Liten_bil";625531;679343;92,08
2016-01-01;"Rv 706 Leangensletta";"Rv706";"Stor_bil";41861;679343;6,16
2016-01-01;"Rv 706 Leangensletta";"Rv706";"Ukjent";11951;679343;1,76
2016-01-01;"Tempeveien";"TEMPE";"Liten_bil";96761;111190;87,02
2016-01-01;"Tempeveien";"TEMPE";"Stor_bil";9002;111190;8,1
2016-01-01;"Tempeveien";"TEMPE";"Ukjent";5427;111190;4,88
2016-01-01;"Thorbjørn Bratts veg";"THBRA";"Liten_bil";403318;428001;94,23
2016-01-01;"Thorbjørn Bratts veg";"THBRA";"Stor_bil";15516;428001;3,63
2016-01-01;"Thorbjørn Bratts veg";"THBRA";"Ukjent";9167;428001;2,14
2016-01-01;"Tillerbrua";"TILLB";"Liten_bil";51208;55778;91,81
2016-01-01;"Tillerbrua";"TILLB";"Stor_bil";1418;55778;2,54
2016-01-01;"Tillerbrua";"TILLB";"Ukjent";3152;55778;5,65
2016-01-01;"Tungasletta";"TUNGA";"Liten_bil";231527;246490;93,93
2016-01-01;"Tungasletta";"TUNGA";"Stor_bil";9572;246490;3,88
2016-01-01;"Tungasletta";"TUNGA";"Ukjent";5391;246490;2,19
2016-01-01;"Være (Gml. E6)";"VÆRE-";"Liten_bil";251057;271265;92,55
2016-01-01;"Være (Gml. E6)";"VÆRE-";"Stor_bil";10836;271265;3,99
2016-01-01;"Være (Gml. E6)";"VÆRE-";"Ukjent";9372;271265;3,45
2016-02-01;"Bjørndalen (Oslovn.)";"BJØRN";"Liten_bil";241513;276222;87,43
2016-02-01;"Bjørndalen (Oslovn.)";"BJØRN";"Stor_bil";22455;276222;8,13
2016-02-01;"Bjørndalen (Oslovn.)";"BJØRN";"Ukjent";12254;276222;4,44
2016-02-01;"Bratsbergveien";"BRATS";"Liten_bil";184962;202661;91,27
2016-02-01;"Bratsbergveien";"BRATS";"Stor_bil";13513;202661;6,67
2016-02-01;"Bratsbergveien";"BRATS";"Ukjent";4186;202661;2,07
2016-02-01;"Byåsveien";"BYÅSV";"Liten_bil";269399;284599;94,66
2016-02-01;"Byåsveien";"BYÅSV";"Stor_bil";11503;284599;4,04
2016-02-01;"Byåsveien";"BYÅSV";"Ukjent";3697;284599;1,3
2016-02-01;"Bøckmans veg";"BØCKM";"Liten_bil";146948;150907;97,38
2016-02-01;"Bøckmans veg";"BØCKM";"Stor_bil";2219;150907;1,47
2016-02-01;"Bøckmans veg";"BØCKM";"Ukjent";1740;150907;1,15
2016-02-01;"Fv 704 Torgårdsletta";"TORGR";"Liten_bil";164053;188083;87,22
2016-02-01;"Fv 704 Torgårdsletta";"TORGR";"Stor_bil";17992;188083;9,57
2016-02-01;"Fv 704 Torgårdsletta";"TORGR";"Ukjent";6038;188083;3,21
2016-02-01;"Gamle Oslovei";"GAMLE";"Liten_bil";101074;109101;92,64
2016-02-01;"Gamle Oslovei";"GAMLE";"Stor_bil";4099;109101;3,76
2016-02-01;"Gamle Oslovei";"GAMLE";"Ukjent";3928;109101;3,6
2016-02-01;"Haakon VII s gt ";"H-VII";"Liten_bil";297792;315226;94,47
2016-02-01;"Haakon VII s gt ";"H-VII";"Stor_bil";12134;315226;3,85
2016-02-01;"Haakon VII s gt ";"H-VII";"Ukjent";5300;315226;1,68
