fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Januar;-;-;-;-
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Februar;3,425;67,000;312529;302179
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Mars;7,334;96,000;510954;476040
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;April;-11,440;94,000;454679;513413
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Mai;-0,291;79,000;435350;436619
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Juni;4,812;88,000;499544;476609
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Juli;1,390;82,000;381068;375842
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;August;-0,097;99,000;541401;541924
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;September;1,627;99,000;561812;552820
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Oktober;0,647;100,000;551041;547500
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;November;-0,405;100,000;519434;521545
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Desember;0,106;99,000;500031;499501
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Siste 12 måneder;0,455;91,000;5267843;5243992
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Hittil i år;0,455;91,000;5267843;5243992
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Januar;-;-;-;-
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Februar;3,336;67,000;296445;286876
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Mars;6,855;96,000;484574;453489
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;April;-11,075;94,000;434256;488341
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Mai;0,287;79,000;412921;411738
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Juni;4,876;88,000;468157;446390
