fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Januar;-0,324;100,000;496128;497740
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Februar;0,844;99,000;474131;470163
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Mars;3,183;99,000;541519;524815
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;April;-1,549;98,000;536467;544908
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Mai;-1,252;99,000;574540;581826
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Juni;-1,911;100,000;580102;591405
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Juli;-0,059;95,000;498331;498623
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;August;-;-;-;-
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;September;0,703;99,000;557286;553396
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Oktober;-0,946;99,000;565576;570980
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;November;-4,364;99,000;521862;545673
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Desember;-4,397;99,000;488922;511410
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Siste 12 måneder;-0,952;99,000;5834864;5890939
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;Alle;Hittil i år;-0,952;99,000;5834864;5890939
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Januar;-1,757;100,000;439375;447231
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Februar;-0,466;99,000;420788;422759
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Mars;1,329;99,000;478678;472398
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;April;-3,024;98,000;472369;487099
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Mai;-3,041;99,000;502982;518755
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Juni;-3,562;100,000;506186;524883
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Juli;-2,052;95,000;433537;442619
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;August;-;-;-;-
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;September;-1,680;99,000;485892;494194
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Oktober;-2,724;99,000;492953;506758
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;November;-4,845;99,000;457769;481077
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Desember;-5,385;99,000;436929;461797
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Siste 12 måneder;-2,512;99,000;5127458;5259570
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;< 5,6m;Hittil i år;-2,512;99,000;5127458;5259570
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Januar;12,371;100,000;56691;50450
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Februar;12,471;99,000;53245;47341
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Mars;19,869;99,000;62725;52328
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;April;10,834;98,000;63877;57633
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Mai;13,566;99,000;71326;62806
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Juni;11,188;100,000;73662;66250
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Juli;15,783;95,000;64629;55819
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;August;-;-;-;-
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;September;20,877;99,000;71245;58940
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Oktober;13,296;99,000;72481;63975
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;November;-0,789;99,000;63992;64501
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Desember;4,785;99,000;51942;49570
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Siste 12 måneder;12,103;99,000;705815;629613
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 5,6m;Hittil i år;12,103;99,000;705815;629613
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Januar;29,503;100,000;25279;19520
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Februar;28,310;99,000;23813;18559
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Mars;35,809;99,000;27629;20344
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;April;23,235;98,000;27485;22303
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Mai;24,413;99,000;30297;24352
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Juni;22,666;100,000;32055;26132
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Juli;25,566;95,000;27750;22100
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;August;-;-;-;-
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;September;29,852;99,000;30714;23653
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Oktober;25,152;99,000;30532;24396
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;November;1,181;99,000;27841;27516
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Desember;3,271;99,000;22922;22196
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Siste 12 måneder;22,004;99,000;306317;251071
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;5,6m - 7,6m;Hittil i år;22,004;99,000;306317;251071
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Januar;1,472;100,000;15230;15009
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Februar;5,216;99,000;14705;13976
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Mars;17,715;99,000;18519;15732
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;April;7,509;98,000;20302;18884
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Mai;8,078;99,000;22718;21020
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Juni;5,464;100,000;23550;22330
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Juli;9,687;95,000;21197;19325
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;August;-;-;-;-
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;September;14,525;99,000;21990;19201
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Oktober;4,113;99,000;21922;21056
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;November;-3,718;99,000;18593;19311
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Desember;5,086;99,000;14072;13391
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Siste 12 måneder;6,808;99,000;212798;199235
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;7,6m - 12,5m;Hittil i år;6,808;99,000;212798;199235
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Januar;-13,629;100,000;6223;7205
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Februar;-17,494;99,000;5518;6688
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Mars;-16,607;99,000;6021;7220
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;April;-17,114;98,000;5957;7187
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Mai;-12,439;99,000;6828;7798
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Juni;-14,843;100,000;7097;8334
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Juli;-6,544;95,000;6284;6724
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;August;-;-;-;-
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;September;4,528;99,000;7133;6824
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Oktober;-4,404;99,000;7402;7743
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;November;-8,405;99,000;6212;6782
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Desember;9,387;99,000;5640;5156
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Siste 12 måneder;-9,459;99,000;70315;77661
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;12,5m - 16,0m;Hittil i år;-9,459;99,000;70315;77661
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;Januar;14,261;100,000;9959;8716
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;Februar;13,439;99,000;9209;8118
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;Mars;16,873;99,000;10556;9032
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;April;9,439;98,000;10133;9259
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;Mai;19,168;99,000;11483;9636
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;Juni;15,930;100,000;10960;9454
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;Juli;22,529;95,000;9398;7670
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;August;-;-;-;-
12;1200413;KLAUVANESET/NORH.BR;E;39;22;540;2;;;Alle;>= 16,0m;September;23,170;99,000;11408;9262
