fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Januar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Februar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Mars;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;April;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Mai;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Juni;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Juli;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;August;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;September;-;0,000;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Siste 12 måneder;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;Alle;Hittil i år;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Januar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Februar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Mars;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;April;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Mai;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Juni;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Juli;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;August;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;September;-;0,000;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Siste 12 måneder;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;< 5,6m;Hittil i år;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Januar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Februar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Mars;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;April;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Mai;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Juni;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Juli;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;August;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;September;-;0,000;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Siste 12 måneder;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;>= 5,6m;Hittil i år;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Januar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Februar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Mars;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;April;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Mai;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Juni;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Juli;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;August;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;September;-;0,000;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Siste 12 måneder;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;5,6m - 7,6m;Hittil i år;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;7,6m - 12,5m;Januar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;7,6m - 12,5m;Februar;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;7,6m - 12,5m;Mars;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;7,6m - 12,5m;April;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;7,6m - 12,5m;Mai;-;-;-;-
6;600010;SLIPEN;F;319;1;970;2;;;Alle;7,6m - 12,5m;Juni;-;-;-;-
