fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Januar;1,901;96,000;115105;112958
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Februar;0,288;97,000;104331;104031
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Juli;4,717;99,000;100608;96076
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;August;3,833;99,000;121963;117461
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;September;0,470;100,000;121318;120750
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Oktober;3,477;100,000;128369;124055
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;November;1,854;100,000;120942;118740
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Desember;2,890;99,000;115967;112710
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Siste 12 måneder;2,407;99,000;928603;906781
6;600006;NYMOEN;F;88;1;414;2;;;Alle;Alle;Hittil i år;2,407;99,000;928603;906781
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Januar;0,243;96,000;103113;102863
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Februar;-2,525;97,000;92528;94925
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Juli;-0,147;99,000;88448;88578
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;August;0,326;99,000;108308;107956
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;September;-2,440;100,000;108445;111157
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Oktober;0,915;100,000;114560;113521
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;November;-1,980;100,000;107710;109886
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Desember;-1,157;99,000;103548;104760
6;600006;NYMOEN;F;88;1;414;2;;;Alle;< 5,6m;Siste 12 måneder;-0,838;99,000;826660;833646
