fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;Januar;-1,553;75,000;252542;256525
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;Februar;-;-;-;-
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;Mars;-;-;-;-
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;April;-7,241;99,000;349849;377159
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;Mai;0,181;93,000;346130;345503
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;Juni;-6,401;98,000;340214;363479
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;Siste 12 måneder;-4,017;91,000;1288735;1342666
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;Alle;Hittil i år;-4,017;91,000;1288735;1342666
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;Januar;-0,086;75,000;232723;232923
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;Februar;-;-;-;-
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;Mars;-;-;-;-
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;April;-7,224;99,000;315110;339646
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;Mai;0,629;93,000;310672;308730
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;Juni;-5,995;98,000;307033;326614
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;Siste 12 måneder;-3,508;91,000;1165538;1207913
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;< 5,6m;Hittil i år;-3,508;91,000;1165538;1207913
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;Januar;-15,845;75,000;19710;23421
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;Februar;-;-;-;-
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;Mars;-;-;-;-
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;April;-7,366;99,000;34508;37252
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;Mai;-3,593;93,000;35234;36547
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;Juni;-10,021;98,000;33052;36733
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;Siste 12 måneder;-8,547;91,000;122504;133953
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;> 5,6m;Hittil i år;-8,547;91,000;122504;133953
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;5,6m - 7,6m;Januar;-28,152;75,000;7164;9971
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;5,6m - 7,6m;Februar;-;-;-;-
8;800197;Bjørntvedtvegen Nord;F;48;2;4960;2;;;Alle;5,6m - 7,6m;Mars;-;-;-;-
