fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Januar;1,424;100,000;475781;469099
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Februar;-0,158;100,000;428556;429233
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Mars;-5,008;100,000;482682;508127
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;April;5,471;100,000;524131;496943
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Mai;2,793;100,000;564002;548678
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Juni;1,669;100,000;596209;586421
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Juli;2,675;100,000;629150;612760
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;August;1,753;99,000;605884;595444
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;September;1,709;100,000;528754;519868
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Oktober;3,908;64,000;361201;347615
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;November;-;-;-;-
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Desember;0,634;83,000;412784;410183
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Siste 12 måneder;1,534;95,000;5609134;5524371
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;Alle;Hittil i år;1,534;95,000;5609134;5524371
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Januar;1,622;100,000;413877;407271
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Februar;0,279;100,000;373726;372687
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Mars;-3,597;100,000;423221;439011
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;April;4,553;100,000;451079;431437
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Mai;2,933;100,000;483960;470172
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Juni;1,338;100,000;508700;501984
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Juli;2,193;100,000;546574;534845
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;August;1,292;99,000;518925;512307
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;September;1,255;100,000;453280;447663
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Oktober;2,730;64,000;309325;301106
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;November;-;-;-;-
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Desember;0,780;83,000;368017;365168
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Siste 12 måneder;1,401;95,000;4850684;4783651
10;1000105;VOLLEBERG;E;39;3;970;2;;;Alle;< 5,6m;Hittil i år;1,401;95,000;4850684;4783651
