fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Januar;-2,979;100,000;300706;309940
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Februar;-0,651;100,000;270093;271864
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Mars;6,643;100,000;308776;289543
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;April;-11,016;100,000;299298;336349
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Mai;-2,608;99,000;320108;328680
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Juni;-8,537;100,000;312367;341521
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Juli;2,545;100,000;298683;291270
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;August;-3,213;100,000;324673;335452
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;September;0,426;100,000;306534;305235
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Oktober;0,190;100,000;338344;337701
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;November;-2,201;100,000;317001;324134
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Desember;-1,211;100,000;281792;285247
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Siste 12 måneder;-2,091;99,000;3678375;3756936
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;Alle;Hittil i år;-2,091;99,000;3678375;3756936
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Januar;-2,619;100,000;260961;267980
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Februar;0,426;100,000;235600;234601
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Mars;5,773;100,000;266572;252022
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;April;-10,239;100,000;255658;284820
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Mai;-0,483;99,000;271077;272392
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Juni;-7,104;100,000;264397;284615
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Juli;2,787;100,000;253403;246531
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;August;-2,805;100,000;277093;285090
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;September;0,574;100,000;260708;259221
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Oktober;0,995;100,000;290728;287864
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;November;-1,436;100,000;275652;279668
10;1000272;STOKKÅSEN;F;32;1;350;2;;;Alle;< 5,6m;Desember;-0,952;100,000;249681;252080
