fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Januar;5,521;77,000;168310;159504
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Februar;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Mars;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;April;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Mai;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Juni;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Juli;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;August;0,082;100,000;218672;218492
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;September;-2,993;100,000;211319;217839
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Oktober;-10,507;100,000;200725;224291
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;November;-12,155;75,000;154524;175905
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Desember;-12,514;100,000;185315;211823
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Siste 12 måneder;-5,712;92,000;1138865;1207854
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;Alle;Hittil i år;-5,712;92,000;1138865;1207854
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Januar;4,525;77,000;150956;144421
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Februar;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Mars;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;April;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Mai;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Juni;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Juli;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;August;-0,951;100,000;193134;194989
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;September;-3,428;100,000;187149;193793
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Oktober;-12,117;100,000;175577;199785
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;November;-13,050;75,000;136779;157308
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Desember;-13,007;100,000;167075;192056
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Siste 12 måneder;-6,623;92,000;1010670;1082352
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;< 5,6m;Hittil i år;-6,623;92,000;1010670;1082352
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Januar;15,139;77,000;17242;14975
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Februar;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Mars;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;April;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Mai;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Juni;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Juli;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;August;8,817;100,000;25522;23454
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;September;0,793;100,000;24161;23971
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Oktober;2,957;100,000;25142;24420
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;November;-3,968;75,000;17742;18475
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Desember;-7,337;100,000;18237;19681
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Siste 12 måneder;2,456;92,000;128046;124976
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;>= 5,6m;Hittil i år;2,456;92,000;128046;124976
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Januar;25,691;77,000;8454;6726
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Februar;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Mars;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;April;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Mai;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Juni;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Juli;-;-;-;-
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;August;14,481;100,000;11392;9951
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;September;4,131;100,000;11167;10724
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Oktober;3,766;100,000;11710;11285
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;November;-6,983;75,000;8312;8936
11;1100071;Bærheim;F;443;2;1300;2;;;Alle;5,6m - 7,6m;Desember;-12,524;100,000;8752;10005
