fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Januar;-4,500;95,000;717557;751372
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Februar;-4,211;99,000;690891;721262
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Mars;-9,740;98,000;747690;828377
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;April;7,197;100,000;794173;740853
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Mai;-4,152;100,000;798686;833281
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Juni;-2,763;100,000;804644;827512
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Juli;-2,576;100,000;672330;690105
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;August;-1,162;89,000;738249;746925
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;September;-2,724;92,000;750434;771448
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Oktober;0,974;100,000;825654;817690
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;November;1,027;100,000;788265;780251
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Desember;-1,200;100,000;745794;754850
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Siste 12 måneder;-2,046;98,000;9074367;9263926
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;Alle;Hittil i år;-2,046;98,000;9074367;9263926
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Januar;-5,727;95,000;634206;672737
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Februar;-5,453;99,000;609454;644607
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Mars;-10,077;98,000;663327;737665
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;April;5,826;100,000;701401;662785
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Mai;-4,583;100,000;702478;736217
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Juni;-2,931;100,000;706730;728072
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Juli;-3,102;100,000;584069;602769
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;August;-1,239;89,000;646728;654844
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;September;-2,982;92,000;660404;680704
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Oktober;0,843;100,000;723439;717391
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;November;0,931;100,000;690484;684117
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Desember;-1,044;100,000;668585;675642
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Siste 12 måneder;-2,516;98,000;7991305;8197550
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;< 5,6m;Hittil i år;-2,516;98,000;7991305;8197550
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Januar;6,038;95,000;83298;78555
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Februar;6,256;99,000;81385;76593
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Mars;-6,957;98,000;84274;90575
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;April;18,869;100,000;92689;77976
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Mai;-0,906;100,000;96085;96963
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Juni;-1,469;100,000;97806;99264
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Juli;1,043;100,000;88236;87325
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;August;-0,608;89,000;91429;91988
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;September;-0,801;92,000;89925;90651
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Oktober;1,881;100,000;102135;100249
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;November;1,700;100,000;97728;96094
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Desember;-2,498;100,000;77164;79141
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Siste 12 måneder;1,575;98,000;1082154;1065374
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 5,6m;Hittil i år;1,575;98,000;1082154;1065374
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Januar;7,065;95,000;31097;29045
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Februar;2,790;99,000;29437;28638
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Mars;-10,251;98,000;29829;33236
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;April;13,323;100,000;31132;27472
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Mai;-7,296;100,000;31625;34114
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Juni;-4,355;100,000;32940;34440
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Juli;-3,617;100,000;29047;30137
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;August;-5,162;89,000;31033;32722
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;September;-3,605;92,000;31446;32622
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Oktober;-1,211;100,000;35002;35431
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;November;-3,320;100,000;34011;35179
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Desember;-4,672;100,000;27441;28786
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Siste 12 måneder;-2,038;98,000;374040;381822
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;5,6m - 7,6m;Hittil i år;-2,038;98,000;374040;381822
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Januar;8,975;95,000;21139;19398
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Februar;10,461;99,000;20158;18249
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Mars;-13,246;98,000;19615;22610
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;April;8,483;100,000;23082;21277
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Mai;-2,429;100,000;27200;27877
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Juni;-3,406;100,000;27937;28922
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Juli;-1,705;100,000;24044;24461
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;August;-3,817;89,000;25349;26355
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;September;-1,949;92,000;24456;24942
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Oktober;1,583;100,000;27533;27104
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;November;-1,210;100,000;24816;25120
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Desember;-6,338;100,000;18266;19502
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Siste 12 måneder;-0,777;98,000;283595;285817
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;7,6m - 12,5m;Hittil i år;-0,777;98,000;283595;285817
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Januar;9,293;95,000;15724;14387
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Februar;15,940;99,000;16402;14147
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Mars;8,698;98,000;17983;16544
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;April;35,403;100,000;18909;13965
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Mai;9,952;100,000;18284;16629
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Juni;2,023;100,000;17503;17156
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Juli;5,298;100,000;16239;15422
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;August;5,357;89,000;16421;15586
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;September;0,947;92,000;16308;16155
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Oktober;-1,980;100,000;18120;18486
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;November;2,155;100,000;17727;17353
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Desember;-2,040;100,000;14837;15146
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Siste 12 måneder;7,059;98,000;204457;190976
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;12,5m - 16,0m;Hittil i år;7,059;98,000;204457;190976
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Januar;-2,461;95,000;15338;15725
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Februar;-1,099;99,000;15388;15559
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Mars;-7,358;98,000;16847;18185
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;April;28,201;100,000;19566;15262
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Mai;3,451;100,000;18976;18343
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Juni;3,627;100,000;19426;18746
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Juli;9,252;100,000;18906;17305
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;August;7,509;89,000;18626;17325
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;September;4,624;92,000;17715;16932
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Oktober;11,712;100,000;21480;19228
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;November;14,814;100,000;21174;18442
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Desember;5,813;100,000;16620;15707
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Siste 12 måneder;6,434;98,000;220062;206759
3;300231;AMMERUD;R;4;3;7500;4;;;Alle;>= 16,0m;Hittil i år;6,434;98,000;220062;206759
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Januar;-3,545;99,000;568778;589681
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Februar;-3,548;99,000;532741;552340
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Mars;-17,899;98,000;539094;656619
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;April;20,402;100,000;577499;479643
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Mai;-7,227;100,000;555311;598571
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Juni;-3,629;100,000;606871;629723
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Juli;1,441;100,000;514420;507113
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;August;-1,568;94,000;611352;621091
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;September;-2,830;97,000;568706;585267
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Oktober;4,177;100,000;646514;620590
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;November;0,734;100,000;615613;611127
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Desember;-2,847;100,000;503437;518189
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Siste 12 måneder;-1,860;99,000;6840336;6969954
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;Alle;Hittil i år;-1,860;99,000;6840336;6969954
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Januar;-4,810;99,000;494632;519626
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Februar;-5,036;99,000;460929;485373
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Mars;-18,808;98,000;467429;575709
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;April;19,278;100,000;498134;417623
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Mai;-7,711;100,000;476969;516822
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Juni;-3,796;100,000;523032;543671
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Juli;1,120;100,000;438718;433860
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;August;-1,620;94,000;528781;537489
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;September;-3,128;97,000;490814;506660
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Oktober;4,379;100,000;556088;532757
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;November;0,580;100,000;528750;525702
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Desember;-2,650;100,000;440526;452520
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Siste 12 måneder;-2,365;99,000;5904802;6047812
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;< 5,6m;Hittil i år;-2,365;99,000;5904802;6047812
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;>= 5,6m;Januar;5,882;99,000;74093;69977
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;>= 5,6m;Februar;7,260;99,000;71762;66905
3;300231;AMMERUD;R;4;3;7500;4;;;Yrkesdøgn;>= 5,6m;Mars;-11,387;98,000;71577;80775
