fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Januar;-2,504;99,000;495228;507948
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Februar;-3,068;92,000;439443;453352
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Mars;2,260;99,000;507251;496042
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;April;-5,949;99,000;484511;515157
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Mai;1,450;99,000;556324;548370
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Juni;-0,822;98,000;533056;537474
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Juli;1,453;70,000;337819;332980
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;August;-0,659;98,000;546509;550137
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;September;-0,258;100,000;546887;548300
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Oktober;-1,626;99,000;549208;558283
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;November;-4,885;96,000;498480;524084
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Desember;-4,111;100,000;484389;505156
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Siste 12 måneder;-1,615;96,000;5979105;6077283
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;Alle;Hittil i år;-1,615;96,000;5979105;6077283
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Januar;-2,258;99,000;470807;481682
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Februar;-2,911;92,000;417453;429969
19;1900225;Sandnessundbrua;F;862;1;10000;2;;;Alle;< 5,6m;Mars;2,451;99,000;482450;470909
