fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Januar;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Februar;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Mars;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;April;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Mai;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Juni;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Juli;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;August;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;September;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Oktober;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;November;2,306;99,000;171669;167800
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Desember;3,482;99,000;162754;157278
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Siste 12 måneder;2,875;99,000;334423;325078
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;Alle;Hittil i år;2,875;99,000;334423;325078
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;Januar;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;Februar;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;Mars;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;April;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;Mai;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;Juni;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;Juli;-;-;-;-
16;1600127;Jernbanebrua;F;910;1;171;4;;;Alle;< 5,6m;August;-;-;-;-
