fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Mai;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Juni;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Juli;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;August;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;September;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Oktober;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;November;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Desember;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Januar;-1,147;99,870;424183;429104
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Februar;-0,894;99,850;397027;400608
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Mars;-21,701;100,000;354165;452325
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;April;-13,365;75,830;274936;317349
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Siste 12 måneder;-9,321;30,860;1450311;1599386
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;Alle;Hittil i år;-9,321;93,880;1450311;1599386
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Mai;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Juni;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Juli;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;August;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;September;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Oktober;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;November;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Desember;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Januar;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Februar;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Mars;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;April;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Siste 12 måneder;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;< 5,6m;Hittil i år;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;>= 5,6m;Mai;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;>= 5,6m;Juni;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;>= 5,6m;Juli;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;>= 5,6m;August;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;>= 5,6m;September;-;0,000;0;0
46;56658V804775;VALLAHEIENE;E;EV39 S79D1 m2750;Alle;>= 5,6m;Oktober;-;0,000;0;0
