fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Januar;1,884;100,000;553257;543029
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Februar;4,814;99,850;520207;496315
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Siste 12 måneder;3,283;16,160;1073464;1039344
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;Alle;Hittil i år;3,283;49,170;1073464;1039344
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;< 5,6m;Hittil i år;0,000;0,000;0;0
