fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;Alle;Mai;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;Alle;Juni;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;Alle;Juli;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;Alle;August;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;Alle;September;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;Alle;Oktober;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;November;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;Desember;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;Januar;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;Februar;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;Mars;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;April;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;Siste 12 måneder;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;Alle;Hittil i år;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;< 5,6m;Mai;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;< 5,6m;Juni;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;< 5,6m;Juli;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;< 5,6m;August;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;< 5,6m;September;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Alle;< 5,6m;Oktober;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;November;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;Desember;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;Januar;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;Februar;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;Mars;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;April;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;Siste 12 måneder;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Alle;< 5,6m;Hittil i år;-;0,000;0;0
