fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Mai;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Juni;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Juli;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;August;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;September;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Oktober;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;November;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Desember;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Januar;0,171;99,870;328689;328129
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Februar;0,188;96,550;301974;301406
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Mars;-18,642;100,000;272858;335381
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;April;-19,663;100,000;253661;315746
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Siste 12 måneder;-9,642;32,770;1157182;1280662
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;Alle;Hittil i år;-9,642;99,140;1157182;1280662
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Mai;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Juni;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Juli;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;August;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;September;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Oktober;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;November;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Desember;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Januar;1,551;98,520;274382;270191
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Februar;0,542;95,550;252276;250917
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Mars;-21,172;98,790;222995;282888
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;April;-21,008;99,860;210822;266891
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Siste 12 måneder;-10,310;98,210;960475;1070887
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;< 5,6m;Hittil i år;-10,310;98,210;960475;1070887
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;Mai;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;Juni;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;Juli;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;August;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;September;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;Oktober;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;November;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;Desember;-;0,000;0;0
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;Januar;-6,835;98,520;49521;53154
42;02466V121760;GRIM;R;RV9 S1D1 m244;Alle;>= 5,6m;Februar;-1,794;95,550;45542;46374
