fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Mai;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Juni;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Juli;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;August;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;September;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Oktober;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;November;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Desember;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Januar;2,012;99,870;631110;618661
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Februar;3,355;100,000;584612;565633
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Mars;-19,192;99,730;530127;656033
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;April;-15,933;100,000;541820;644507
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Siste 12 måneder;-7,935;32,830;2287669;2484834
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;Alle;Hittil i år;-7,935;99,900;2287669;2484834
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Mai;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Juni;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Juli;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;August;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;September;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Oktober;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;November;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Desember;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Januar;1,822;99,730;580279;569895
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Februar;3,059;99,850;538896;522898
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Mars;-19,886;99,730;484854;605203
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;April;-16,447;99,860;491908;588737
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Siste 12 måneder;-8,344;99,790;2095937;2286733
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;< 5,6m;Hittil i år;-8,344;99,790;2095937;2286733
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;>= 5,6m;Mai;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;>= 5,6m;Juni;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;>= 5,6m;Juli;-;0,000;0;0
30;16035V971817;SARPSFOSSEN BRU;F;FV118 S5D1 m710;Alle;>= 5,6m;August;-;0,000;0;0
