fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Mai;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Juni;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Juli;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;August;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;September;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Oktober;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;November;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Desember;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Januar;4,041;99,870;317527;305193
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Februar;3,467;100,000;289102;279414
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Mars;-20,528;100,000;254282;319966
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;April;-21,974;100,000;230132;294944
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Siste 12 måneder;-9,043;32,860;1091043;1199517
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;Alle;Hittil i år;-9,043;99,970;1091043;1199517
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Mai;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Juni;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Juli;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;August;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;September;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Oktober;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;November;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Desember;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Januar;4,167;99,730;300022;288020
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Februar;4,048;100,000;273055;262431
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Mars;-20,670;99,870;238752;300961
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;April;-21,964;99,860;216048;276857
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Siste 12 måneder;-8,898;99,860;1027877;1128269
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;< 5,6m;Hittil i år;-8,898;99,860;1027877;1128269
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;>= 5,6m;Mai;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;>= 5,6m;Juni;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;>= 5,6m;Juli;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;>= 5,6m;August;-;0,000;0;0
11;21556V319919;JOABAKKEN;F;FV510 S3D1 m968;Alle;>= 5,6m;September;-;0,000;0;0
