fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Mai;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Juni;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Juli;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;August;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;September;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Oktober;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;November;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Desember;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Januar;0,142;58,060;202852;202564
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Februar;3,890;100,000;304326;292930
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Mars;-23,650;100,000;263311;344872
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;April;-23,570;99,860;251919;329608
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Siste 12 måneder;-12,613;29,290;1022408;1169974
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;Alle;Hittil i år;-12,613;89,120;1022408;1169974
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;< 5,6m;Mai;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;< 5,6m;Juni;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;< 5,6m;Juli;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;< 5,6m;August;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;< 5,6m;September;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;< 5,6m;Oktober;-;0,000;0;0
30;76429V2548000;ÅS NLH VOLLEBEKK;F;FV152 S2D1 m698;Alle;< 5,6m;November;-;0,000;0;0
