fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Mai;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Juni;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Juli;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;August;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;September;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Oktober;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;November;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Desember;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Januar;-0,435;100,000;552307;554720
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Februar;-3,309;96,550;515926;533580
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Mars;-25,637;100,000;434576;584400
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;April;-25,487;100,000;414275;555979
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Siste 12 måneder;-13,981;32,780;1917084;2228679
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;Alle;Hittil i år;-13,981;99,170;1917084;2228679
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Mai;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Juni;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Juli;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;August;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;September;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Oktober;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;November;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Desember;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Januar;-1,319;99,460;505795;512557
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Februar;-4,299;95,550;469827;490933
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Mars;-26,990;99,330;393428;538872
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;April;-26,365;98,890;379029;514739
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Siste 12 måneder;-15,022;98,350;1748079;2057101
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;< 5,6m;Hittil i år;-15,022;98,350;1748079;2057101
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Mai;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Juni;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Juli;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;August;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;September;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Oktober;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;November;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Desember;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Januar;11,014;99,460;45963;41403
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Februar;7,852;95,550;44544;41301
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Mars;-9,038;99,330;40317;44323
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;April;-14,652;98,890;33384;39115
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Siste 12 måneder;-1,164;98,350;164208;166142
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;>= 5,6m;Hittil i år;-1,164;98,350;164208;166142
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Mai;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Juni;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Juli;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;August;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;September;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Oktober;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;November;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Desember;-;0,000;0;0
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Januar;5,686;99,460;15984;15124
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Februar;-0,290;95,550;15812;15858
54;79743V1125914;TROMSØBRUA;F;FV862 S1D1 m1705;Alle;5,6m - 7,6m;Mars;-18,924;99,330;13753;16963
