fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Mai;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Juni;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Juli;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;August;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;September;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Oktober;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;November;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Desember;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Januar;3,674;99,870;393181;379249
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Februar;4,439;100,000;364551;349058
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Mars;-18,920;99,870;322510;397770
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;April;-15,365;100,000;309723;365952
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Siste 12 måneder;-6,841;32,850;1389965;1492029
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;Alle;Hittil i år;-6,841;99,930;1389965;1492029
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;Mai;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;Juni;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;Juli;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;August;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;September;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;Oktober;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;November;-;0,000;0;0
50;77022V72359;OSLOVEGEN;R;RV706 S1D1 m2495;Alle;< 5,6m;Desember;-;0,000;0;0
