"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
1600219;"Jakobslivegen ved Skovgård";2;192952;199354;3,318;"80,000"
1600219;"Jakobslivegen ved Skovgård";3;251525;283739;12,807;"100,000"
1600219;"Jakobslivegen ved Skovgård";4;270303;247020;-8,614;"100,000"
1600078;"Festningsgata";2;227983;223192;-2,101;"100,000"
1600012;"HAVNEGATA";1;457058;457719;0,145;"99,000"
1600012;"HAVNEGATA";2;417958;418134;0,042;"99,000"
1600012;"HAVNEGATA";3;408635;462654;13,219;"96,000"
1600012;"HAVNEGATA";4;452784;417099;-7,881;"100,000"
1602418;"OSLOVEGEN";1;338016;346671;2,561;"99,000"
1602418;"OSLOVEGEN";2;310831;319311;2,728;"100,000"
1602418;"OSLOVEGEN";3;326348;365587;12,024;"99,000"
1602418;"OSLOVEGEN";4;346627;330125;-4,761;"100,000"
1600193;"Bromstadvegens forlengelse";1;375766;378958;0,849;"99,000"
1600193;"Bromstadvegens forlengelse";2;345906;343060;-0,823;"100,000"
1600193;"Bromstadvegens forlengelse";3;370567;386555;4,314;"99,000"
1600193;"Bromstadvegens forlengelse";4;385420;362848;-5,856;"100,000"
1602407;"SUNDLAND";1;1141127;1162765;1,896;"99,000"
1602407;"SUNDLAND";2;1055355;1081020;2,432;"100,000"
1602407;"SUNDLAND";3;1102577;1199245;8,767;"100,000"
1602407;"SUNDLAND";4;1156516;1079847;-6,629;"100,000"
1600214;"Jonsvannsveien vest for Steinanvegen";1;296943;280625;-5,495;"99,000"
1600214;"Jonsvannsveien vest for Steinanvegen";2;265558;253926;-4,38;"97,000"
1600214;"Jonsvannsveien vest for Steinanvegen";3;271764;292670;7,693;"100,000"
1600214;"Jonsvannsveien vest for Steinanvegen";4;291859;268873;-7,876;"100,000"
9916051;"Klett - Rv.707, S-snitt";1;169216;150121;-11,2843939107413;"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";1;61258;58475;-4,54308008749877;"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";1;259691;267181;2,88419698795876;"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";1;307149;308437;0,419340450400285;"100"
9916056;"Kroppan bru, M-snitt";1;425142;417994;-1,68132059406034;"100"
9916058;"Være (Gml. E6), N-snitt";1;263401;252123;-4,28168457978519;"100"
9916059;"Rv 706 Leangensletta, O-snitt";1;699303;702880;0,511509317134351;"100"
