"stasjon";"felt";"kode"
"Bjørndalen (Oslovn.)";"BJØRN";54
"Bratsbergveien";"BRATS";65
"Byåsveien";"BYÅSV";68
"Bøckmans veg";"BØCKM";67
"Fv 704 Torgårdsletta";"TORGR";85
"Gamle Oslovei";"GAMLE";69
"Haakon VII s gt ";"H-VII";60
"Klett - E6";"KLETT-E6";52
"Klett - Rv.707";"KLETT";51
"Kroppan bru";"KROP-";56
"Landbruksvegen";"LANDB";61
"Nedre Leirfoss (Fossestuvegen)";"LEIRF";53
"Nord for Sluppen bru (Tempevn)";"SLUPP";55
"Ranheim";"RANH-";72
"Rv 706 Leangensletta";"Rv706";59
"Tempeveien";"TEMPE";66
"Thorbjørn Bratts veg";"THBRA";64
"Tillerbrua";"TILLB";86
"Tungasletta";"TUNGA";62
"Være (Gml. E6)";"VÆRE-";58
