"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2016;2017;12;-4,06;0,9594;4,81169018885638;23,1523624735367;23;1;"2016-2017";"Grenland"
2017;2018;12;-0,42;0,9958;3,12695804349216;9,77786660576031;27;0,6;"2017-2018";"Grenland"
2018;2019;12;0,84;1,0084;9,84081994390866;96,8417371684305;18;2,3;"2018-2019";"Grenland"
2019;2020;12;-4,59;0,9541;4,20424619521387;17,6756860699703;24;0,9;"2019-2020";"Grenland"
2020;2021;12;0,78;1,0078;4,75120641010418;22,573962351415;24;1;"2020-2021";"Grenland"
2021;2022;4;9,07;1,0907;7,09446344642431;50,3314115926508;26;1,4;"2021-2022";"Grenland"
2016;2018;12;-4,462948;0,95537052;2,55177086357739;6,51153454020251;27;0,5;"2016-2018";"Grenland"
2016;2019;12;-3,6604367632;0,963395632368;10,4224721293807;108,627925287718;27;2;"2016-2019";"Grenland"
2016;2020;12;-8,08242271576913;0,919175772842309;9,87894148328892;97,5934848302466;27;1,9;"2016-2020";"Grenland"
2016;2021;12;-7,36546561295213;0,926345343870479;8,1879750912957;67,0429360956788;27;1,6;"2016-2021";"Grenland"
2016;2022;4;1,03648665595311;1,01036486655953;17,7227261571314;314,095022440669;27;3,4;"2016-2022";"Grenland"
