"";"length_range";"year";"month";"index_p";"n_trp";"year_from_to";"standard_deviation";"year_base";"variance";"standard_error";"index_i";"area_name"
"1";"alle";2020;2020-12-01;-6,77266140272256;38;"2019-2020";17,9075529228792;2019;320,680451685721;2,9;0,932273385972774;"Trondheim"
"2";"alle";2021;2021-12-01;2,96566852933857;42;"2020-2021";17,9075529228792;2020;320,680451685721;2,8;1,02965668529339;"Trondheim"
"3";"alle";2022;2022-12-01;4,76456259244902;39;"2021-2022";17,9075529228792;2021;320,680451685721;2,9;1,04764562592449;"Trondheim"
"4";"alle";2023;2023-02-01;9,04678617669363;37;"2022-2023";17,9075529228792;2022;320,680451685721;2,9;1,09046786176694;"Trondheim"
"5";"lette";2020;2020-12-01;-6,73204933811934;38;"2019-2020";18,2624270955331;2019;333,516243419663;3;0,932679506618807;"Trondheim"
"6";"lette";2021;2021-12-01;2,80167560275932;42;"2020-2021";18,2624270955331;2020;333,516243419663;2,8;1,02801675602759;"Trondheim"
"7";"lette";2022;2022-12-01;4,74498668674885;39;"2021-2022";18,2624270955331;2021;333,516243419663;2,9;1,04744986686749;"Trondheim"
"8";"lette";2023;2023-02-01;9,41642485593406;37;"2022-2023";18,2624270955331;2022;333,516243419663;3;1,09416424855934;"Trondheim"
"9";"tunge";2020;2020-12-01;-6,61427552843134;38;"2019-2020";26,8476631809948;2019;720,797018280144;4,4;0,933857244715687;"Trondheim"
"10";"tunge";2021;2021-12-01;5,2114917389815;42;"2020-2021";26,8476631809948;2020;720,797018280144;4,1;1,05211491738981;"Trondheim"
"11";"tunge";2022;2022-12-01;4,74194113148978;39;"2021-2022";26,8476631809948;2021;720,797018280144;4,3;1,0474194113149;"Trondheim"
"12";"tunge";2023;2023-02-01;4,85554719669041;37;"2022-2023";26,8476631809948;2022;720,797018280144;4,4;1,0485554719669;"Trondheim"
"13";"lette";2021;2021-12-01;-4,11898391923182;42;"2019-2021";22,3264584783964;2019;498,470748187557;3,4;0,958810160807682;"Trondheim"
"14";"lette";2022;2022-12-01;0,430557528920161;42;"2019-2022";22,6671049351341;2019;513,797646140381;3,5;1,0043055752892;"Trondheim"
