"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width";"base_volume";"calc_volume";"n_points";"standard_error"
"Bergensområdet";2019;1;"month";2019-01-01;"Januar";-2,25;2,93087857746548;0,799975857126186;19434607;18996859;54;0,4
"Bergensområdet";2019;2;"month";2019-02-01;"Februar";-0,88;3,14484886388356;0,842196025506837;18344260;18182041;56;0,4
"Bergensområdet";2019;3;"month";2019-03-01;"Mars";5,33;3,71212897837491;1,0231894666042;18801912;19804881;53;0,5
"Bergensområdet";2019;4;"month";2019-04-01;"April";-7,36;3,86517251869214;1,06537349073069;19442433;18012248;53;0,5
"Bergensområdet";2019;5;"month";2019-05-01;"Mai";-0,54;3,77389498531775;1,03007504261556;20621494;20510979;54;0,5
"Bergensområdet";2019;6;"month";2019-06-01;"Juni";-3,89;3,72913902525187;1,0178590170898;20650700;19847519;54;0,5
"Bergensområdet";2019;7;"month";2019-07-01;"Juli";-0,18;4,63586182578197;1,20811217171919;17991356;17959842;59;0,6
"Bergensområdet";2019;8;"month";2019-08-01;"August";-2,35;3,98983485876057;1,04907359789797;21945352;21428790;58;0,5
"Bergensområdet";2019;9;"month";2019-09-01;"September";-0,62;4,54156629846808;1,16314913764962;22389435;22250357;61;0,6
"Bergensområdet";2019;10;"month";2019-10-01;"Oktober";-1,13;3,91012995725144;1,01009367621556;22329864;22076792;60;0,5
"Bergensområdet";2019;11;"month";2019-11-01;"November";-3,28;3,72438989165345;0,962111929385775;21686338;20975303;60;0,5
"Bergensområdet";2019;12;"month";2019-12-01;"Desember";-2,49;4,53653110380948;1,17191025106854;20963506;20440907;60;0,6
"Bergensområdet";2020;1;"month";2020-01-01;"Januar";-0,34;5,10445671099423;1,36698243395464;18554036;18491435;56;0,7
"Bergensområdet";2020;2;"month";2020-02-01;"Februar";-1,34;6,15312599325092;1,61788200578921;18050953;17808476;58;0,8
"Bergensområdet";2020;3;"month";2020-03-01;"Mars";-24,85;4,92744769087861;1,29560632470133;20779784;15616271;58;0,6
"Bergensområdet";2020;4;"month";2020-04-01;"April";-23;6,64205839826269;1,746440228225;18979228;14614215;58;0,9
"Bergensområdet";2020;5;"month";2020-05-01;"Mai";-14,29;7,57022843990782;1,99049009984105;21248855;18213270;58;1
"Bergensområdet";2020;6;"month";2020-06-01;"Juni";-0,76;8,31047248556062;2,22555906511195;19321743;19175799;56;1,1
"Bergensområdet";2020;7;"month";2020-07-01;"Juli";3,76;12,0867587299817;3,17805120177969;16972556;17610885;58;1,6
"Bergensområdet";2020;8;"month";2020-08-01;"August";-3,53;8,51040610161123;2,27910163713721;19522699;18832757;56;1,1
"Bergensområdet";2020;9;"month";2020-09-01;"September";-4,44;7,26010977442755;1,94427009418047;19260094;18405032;56;1
"Bergensområdet";2020;10;"month";2020-10-01;"Oktober";-4,04;7,33659672087336;2,00250542458337;18853888;18091384;54;1
"Bergensområdet";2020;11;"month";2020-11-01;"November";-15,43;6,58047623556411;1,81380388685096;17058907;14425968;53;0,9
"Bergensområdet";2020;12;"month";2020-12-01;"Desember";-4,96;6,49609821023113;1,79054642267433;17077326;16230592;53;0,9
"Bergensområdet";2021;1;"month";2021-01-01;"Januar";-12,91;9,07413274772606;2,24846000255614;20374683;17745166;65;1,1
"Bergensområdet";2021;2;"month";2021-02-01;"Februar";-13,03;8,56203500167895;2,13873270879208;18291030;15907401;64;1,1
"Bergensområdet";2021;3;"month";2021-03-01;"Mars";23,28;9,65260882284862;2,39179935558408;16831205;20749583;65;1,2
"Bergensområdet";2021;4;"month";2021-04-01;"April";21,92;6,12897776118149;1,51868632911791;16485495;20098915;65;0,8
"Bergensområdet";2021;5;"month";2021-05-01;"Mai";8,51;5,26423636313348;1,29411081975561;20320272;22049941;66;0,6
"Bergensområdet";2021;6;"month";2021-06-01;"Juni";4,72;4,7747787216973;1,17378711354239;22508542;23571006;66;0,6
"Bergensområdet";2021;7;"month";2021-07-01;"Juli";1,13;4,24982657471849;1,06157509286775;19719611;19941746;64;0,5
"Bergensområdet";2021;8;"month";2021-08-01;"August";3,97;4,54846088928055;1,12705342395405;22065692;22942618;65;0,6
"Bergensområdet";2021;9;"month";2021-09-01;"September";7,79;6,77577750533687;1,72072529303257;20814005;22435767;62;0,9
"Bergensområdet";2021;10;"month";2021-10-01;"Oktober";3,14;7,88185135039744;1,98501855724248;21825186;22509936;63;1
"Bergensområdet";2021;11;"month";2021-11-01;"November";21,07;11,9979580047836;3,07281972554881;17490358;21175256;61;1,5
"Bergensområdet";2021;12;"month";2021-12-01;"Desember";3,71;6,57005424761003;1,68266902434002;19167009;19878500;61;0,8
"Bergensområdet";2022;1;"month";2022-01-01;"Januar";6,14;5,52527590699217;1,41508886673348;17794807;18887198;61;0,7
"Bergensområdet";2022;2;"month";2022-02-01;"Februar";9,99;8,10128596192929;2,07483567588774;16102190;17710965;61;1
"Bergensområdet";2022;3;"month";2022-03-01;"Mars";11,2;10,8972520468094;2,8150587067307;20637170;22948805;60;1,4
"Bergensområdet";2022;4;"month";2022-04-01;"April";8,58;11,4448458815211;3,00926882223012;19580800;21261333;58;1,5
"Bergensområdet";2022;5;"month";2022-05-01;"Mai";9,84;11,5139278219415;3,00054593271607;21334625;23432896;59;1,5
"Bergensområdet";2022;6;"month";2022-06-01;"Juni";-0,64;4,6704618115495;1,23924032466341;22203559;22061121;57;0,6
"Bergensområdet";2022;7;"month";2022-07-01;"Juli";-6,8;9,51640885796508;2,54851093460147;19250635;17941475;56;1,3
"Bergensområdet";2022;8;"month";2022-08-01;"August";1,2;6,89307278375994;1,79634455114546;22507732;22778677;59;0,9
