"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width";"base_volume";"calc_volume"
"Grenland";2017;1;"month";2017-01-01;"Januar";-1,22;5,35924001290014;2,96784819595998;4153767;4103296
"Grenland";2017;2;"month";2017-02-01;"Februar";-4,75;4,72276386449973;2,42822111592736;4357645;4150448
"Grenland";2017;3;"month";2017-03-01;"Mars";1,68;6,98806434033512;3,27051478426616;5930856;6030514
"Grenland";2017;4;"month";2017-04-01;"April";-11,36;7,61325159297309;3,66946980803024;6388491;5662871
"Grenland";2017;5;"month";2017-05-01;"Mai";-6,14;5,53157494802722;2,84407340246245;5696871;5347316
"Grenland";2017;6;"month";2017-06-01;"Juni";-7,62;6,08599284801091;3,24299667254325;5463319;5047031
"Grenland";2017;7;"month";2017-07-01;"Juli";-6,57;6,21060111423248;3,43931625908417;4716161;4406084
"Grenland";2017;8;"month";2017-08-01;"August";-5,09;5,94789752749539;3,77911379231947;4288338;4069959
"Grenland";2017;9;"month";2017-09-01;"September";-6,18;5,29479523991586;3,05712375460575;4887130;4585269
"Grenland";2017;10;"month";2017-10-01;"Oktober";1,52;6,3583504014088;3,52113708710178;4927383;5002481
"Grenland";2017;11;"month";2017-11-01;"November";1,44;5,32516264091192;3,21796357773071;4192296;4252609
"Grenland";2017;12;"month";2017-12-01;"Desember";-1,76;3,71523205260758;2,05742693336425;4958333;4871299
"Grenland";2018;1;"month";2018-01-01;"Januar";-0,34;5,40616724507277;3,12142803591138;4342329;4327427
"Grenland";2018;2;"month";2018-02-01;"Februar";-2,57;7,42130848740522;3,29042384869182;5678152;5531978
"Grenland";2018;3;"month";2018-03-01;"Mars";-7,21;7,04251981522936;3,20571658584586;6777049;6288331
"Grenland";2018;4;"month";2018-04-01;"April";6,43;8,16205575214022;3,61885278677919;6440947;6854824
"Grenland";2018;5;"month";2018-05-01;"Mai";-0,39;5,08207475019502;2,37848419759419;6455154;6429752
"Grenland";2018;6;"month";2018-06-01;"Juni";0,97;4,20344988300816;2,09032644945333;5788936;5845045
"Grenland";2018;7;"month";2018-07-01;"Juli";0,82;3,60965408945452;1,73979758017082;5824432;5872111
"Grenland";2018;8;"month";2018-08-01;"August";0,47;2,90417287952922;1,49318791129596;6149786;6178632
"Grenland";2018;9;"month";2018-09-01;"September";-2,32;3,78695778976451;1,8832098041438;5909752;5772742
"Grenland";2018;10;"month";2018-10-01;"Oktober";0,77;3,92556617047636;1,95213813025257;5877137;5922204
"Grenland";2018;11;"month";2018-11-01;"November";-0,37;2,7833859139072;1,38414525135537;5860879;5838925
"Grenland";2018;12;"month";2018-12-01;"Desember";-1,04;5,46825263983885;2,91382615104766;5245476;5190849
"Grenland";2019;1;"month";2019-01-01;"Januar";0,78;7,53695320262783;3,7480386506881;5375054;5416966
"Grenland";2019;2;"month";2019-02-01;"Februar";0,98;8,23150287380939;4,09343007643073;4770621;4817161
"Grenland";2019;3;"month";2019-03-01;"Mars";4,36;8,58710731291553;4,75538152532935;4688939;4893192
"Grenland";2019;4;"month";2019-04-01;"April";-2,33;10,5871156054011;5,86294920068451;4859807;4746545
"Grenland";2019;5;"month";2019-05-01;"Mai";0,95;12,7557456196454;8,56942650969587;3881650;3918593
"Grenland";2019;6;"month";2019-06-01;"Juni";-0,76;13,8264797779264;7,65684928583562;4967423;4929549
"Grenland";2019;7;"month";2019-07-01;"Juli";1,78;15,1361184104305;9,61703082183487;3902843;3972194
"Grenland";2019;8;"month";2019-08-01;"August";0,47;13,3697349835613;7,40391244951039;5310586;5335357
"Grenland";2019;9;"month";2019-09-01;"September";2,2;13,2695318893305;8,01869786761842;3978974;4066554
"Grenland";2019;10;"month";2019-10-01;"Oktober";1,23;12,1362221663187;7,00724605856812;4674079;4731625
"Grenland";2019;11;"month";2019-11-01;"November";0,63;11,3840847697317;6,57297485493421;4471135;4499227
"Grenland";2019;12;"month";2019-12-01;"Desember";0,4;5,46412006226353;3,15488899635506;4263609;4280523
"Grenland";2020;1;"month";2020-01-01;"Januar";4,08;6,41329064474147;3,29740978226744;5202207;5414518
"Grenland";2020;2;"month";2020-02-01;"Februar";5,96;8,51820548255331;4,37965712789986;4752576;5036062
"Grenland";2020;3;"month";2020-03-01;"Mars";-22,84;7,4007266538159;3,80510253097436;5563839;4292815
"Grenland";2020;4;"month";2020-04-01;"April";-24,09;7,25931098450936;4,0200724277004;4835920;3670803
"Grenland";2020;5;"month";2020-05-01;"Mai";-8,68;4,25487326484128;2,35627027576696;5287630;4828817
"Grenland";2020;6;"month";2020-06-01;"Juni";1,63;6,02107130429781;3,20840242383216;5389096;5476678
"Grenland";2020;7;"month";2020-07-01;"Juli";4,72;5,78124150923305;2,97244010324502;5895346;6173375
"Grenland";2020;8;"month";2020-08-01;"August";-0,57;5,31650882848301;2,64383764104191;6483540;6446412
"Grenland";2020;9;"month";2020-09-01;"September";1,72;4,39780074226853;2,18697485799703;6093282;6198318
"Grenland";2020;10;"month";2020-10-01;"Oktober";-2,38;5,10777470585605;2,3905121470879;6692083;6533030
"Grenland";2020;11;"month";2020-11-01;"November";-8,81;4,89661708912937;2,29168734043452;6345386;5786169
