"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width"
"Oslo og Akershus";2018;1;"month";2018-01-01;"Januar";-5,01;3,01491879864144;1,24449731438827
"Oslo og Akershus";2018;2;"month";2018-02-01;"Februar";-4,74;3,25858917551641;1,34507950245699
"Oslo og Akershus";2018;3;"month";2018-03-01;"Mars";-11,97;3,57109141986943;1,62554132534939
"Oslo og Akershus";2018;4;"month";2018-04-01;"April";5,83;4,80056095152369;2,12844948687952
"Oslo og Akershus";2018;5;"month";2018-05-01;"Mai";-5,14;3,40879338290745;1,43940720606679
"Oslo og Akershus";2018;6;"month";2018-06-01;"Juni";-1,52;2,16977848850608;0,938282579101527
"Oslo og Akershus";2018;7;"month";2018-07-01;"Juli";-1,3;4,5666969295118;1,97478783926351
"Oslo og Akershus";2018;8;"month";2018-08-01;"August";-1,79;2,75843205438736;1,16478370218621
"Oslo og Akershus";2018;9;"month";2018-09-01;"September";-3,89;2,24710927467722;0,927561119965462
"Oslo og Akershus";2018;10;"month";2018-10-01;"Oktober";0,45;2,14973729917626;0,907754449155148
"Oslo og Akershus";2018;11;"month";2018-11-01;"November";0,71;2,7143867200047;1,07377562414242
"Oslo og Akershus";2018;12;"month";2018-12-01;"Desember";-1,51;1,63156984945718;0,645427536364381
"Oslo og Akershus";2019;1;"month";2019-01-01;"Januar";1,31;1,32443669664188;0,587222334189315
"Oslo og Akershus";2019;2;"month";2019-02-01;"Februar";-1,13;2,07355993233825;0,94387316489583
"Oslo og Akershus";2019;3;"month";2019-03-01;"Mars";5,94;3,56090499978052;1,83084841003252
"Oslo og Akershus";2019;4;"month";2019-04-01;"April";-5,4;2,01457588345101;0,970994494275273
"Oslo og Akershus";2019;5;"month";2019-05-01;"Mai";1,31;2,77863512103169;1,33925925862861
"Oslo og Akershus";2019;6;"month";2019-06-01;"Juni";-2,95;2,65913382319134;1,24451293785203
"Oslo og Akershus";2019;7;"month";2019-07-01;"Juli";1,88;5,76128878229382;2,69636614965899
"Oslo og Akershus";2019;8;"month";2019-08-01;"August";-1,54;4,08047485839349;1,90972101876244
"Oslo og Akershus";2019;9;"month";2019-09-01;"September";0,83;1,67015286730106;0,858713366910338
"Oslo og Akershus";2019;10;"month";2019-10-01;"Oktober";1,17;2,25731337504379;1,12253553245222
"Oslo og Akershus";2019;11;"month";2019-11-01;"November";-2,95;2,49043209299307;1,16555809773127
"Oslo og Akershus";2019;12;"month";2019-12-01;"Desember";-0,04;1,87521039946968;0,831421713596938
"Oslo og Viken";2020;1;"month";2020-01-01;"Januar";1,01;3,51203029692317;1,17096920042056
"Oslo og Viken";2020;2;"month";2020-02-01;"Februar";3,47;3,4038315521995;1,13489394283905
"Oslo og Viken";2020;3;"month";2020-03-01;"Mars";-24,18;4,48059208488956;1,49390377857797
"Oslo og Viken";2020;4;"month";2020-04-01;"April";-22,4;8,56734645629416;2,85649552580502
"Oslo og Viken";2020;5;"month";2020-05-01;"Mai";-13,92;6,79626952689094;2,29952677484459
"Oslo og Viken";2020;6;"month";2020-06-01;"Juni";-0,52;10,1304512053531;3,47993174429493
"Oslo og Viken";2020;7;"month";2020-07-01;"Juli";1,19;10,2258521615705;3,56796849422861
"Oslo og Viken";2020;8;"month";2020-08-01;"August";-3,24;8,17237398762764;2,80730868638584
"Oslo og Viken";2020;9;"month";2020-09-01;"September";0,6;8,43185355234422;2,89644303548333
"Oslo og Viken";2020;10;"month";2020-10-01;"Oktober";-2,99;7,69263420495267;2,52850594385905
