"month_object";"length_range";"index_p";"n_points";"area_name";"year";"month";"period";"month_name";"standard_deviation";"standard_error"
2020-01-01;"lette";2,39218625981128;38;"Trondheim";2020;1;"month";"Januar";8,07491409675675;1,3
2020-02-01;"lette";3,47034241446527;38;"Trondheim";2020;2;"month";"Februar";8,75990462511864;1,4
2020-03-01;"lette";-24,2917328891096;38;"Trondheim";2020;3;"month";"Mars";8,19735360740637;1,3
2020-04-01;"lette";-25,2718687741238;38;"Trondheim";2020;4;"month";"April";8,90204897880454;1,4
2020-05-01;"lette";-17,2067074138597;35;"Trondheim";2020;5;"month";"Mai";7,86625472063239;1,3
2020-06-01;"lette";-2,81232000306145;36;"Trondheim";2020;6;"month";"Juni";6,67497710472961;1,1
2020-07-01;"lette";4,61203665015706;34;"Trondheim";2020;7;"month";"Juli";6,24669379218238;1,1
2020-08-01;"lette";-2,38902728466597;36;"Trondheim";2020;8;"month";"August";7,52523711010314;1,3
2020-09-01;"lette";1,89476655346323;37;"Trondheim";2020;9;"month";"September";6,75692583754074;1,1
2020-10-01;"lette";-2,79033475137604;38;"Trondheim";2020;10;"month";"Oktober";5,3326240871959;0,9
2020-11-01;"lette";-9,66246736571704;38;"Trondheim";2020;11;"month";"November";6,61921073747133;1,1
2020-12-01;"lette";-6,2397708083507;38;"Trondheim";2020;12;"month";"Desember";7,01945168537548;1,1
2021-01-01;"lette";-20,1664872277312;41;"Trondheim";2021;1;"month";"Januar";7,62493970442423;1,2
2021-02-01;"lette";-11,9006778350953;42;"Trondheim";2021;2;"month";"Februar";7,89745399672281;1,2
2021-03-01;"lette";24,0531965960977;39;"Trondheim";2021;3;"month";"Mars";11,4484133098149;1,8
2021-04-01;"lette";29,3849167654635;37;"Trondheim";2021;4;"month";"April";16,8875854433714;2,8
2021-05-01;"lette";8,70842139638794;37;"Trondheim";2021;5;"month";"Mai";17,8526447936253;2,9
2021-06-01;"lette";1,61969717692341;36;"Trondheim";2021;6;"month";"Juni";15,1225978571936;2,5
2021-07-01;"lette";4,62750862087151;36;"Trondheim";2021;7;"month";"Juli";16,8175490255706;2,8
2021-08-01;"lette";6,71471673224056;36;"Trondheim";2021;8;"month";"August";13,781852455539;2,3
2021-09-01;"lette";-3,25793960733112;41;"Trondheim";2021;9;"month";"September";12,9955652760113;2
2021-10-01;"lette";3,23748257248868;42;"Trondheim";2021;10;"month";"Oktober";12,6911709460817;2
2021-11-01;"lette";8,47793714915557;41;"Trondheim";2021;11;"month";"November";15,5299869671096;2,4
2021-12-01;"lette";3,16407283215749;38;"Trondheim";2021;12;"month";"Desember";8,91492506830729;1,4
2022-01-01;"lette";12,1260116285844;35;"Trondheim";2022;1;"month";"Januar";17,660142538672;3
2022-02-01;"lette";6,79405408565579;36;"Trondheim";2022;2;"month";"Februar";19,2702387429877;3,2
2022-03-01;"lette";13,9406828864644;36;"Trondheim";2022;3;"month";"Mars";16,7830515199384;2,8
2022-04-01;"lette";6,14500762482826;34;"Trondheim";2022;4;"month";"April";17,1568422106203;2,9
2022-05-01;"lette";16,9027506763381;37;"Trondheim";2022;5;"month";"Mai";12,5319002728913;2,1
2022-06-01;"lette";7,08246120980958;38;"Trondheim";2022;6;"month";"Juni";10,750742703571;1,7
2022-07-01;"lette";-7,10939051615503;37;"Trondheim";2022;7;"month";"Juli";7,80294013582488;1,3
2022-08-01;"lette";1,17260197596021;37;"Trondheim";2022;8;"month";"August";8,41826587697179;1,4
2022-09-01;"lette";3,64178703884444;36;"Trondheim";2022;9;"month";"September";12,8063132510102;2,1
2022-10-01;"lette";-3,98538820007683;37;"Trondheim";2022;10;"month";"Oktober";11,4297435619501;1,9
2022-11-01;"lette";2,3036528815422;37;"Trondheim";2022;11;"month";"November";11,805391524547;1,9
2022-12-01;"lette";1,61850411475526;36;"Trondheim";2022;12;"month";"Desember";12,0816990105065;2
2023-01-01;"lette";12,5535239871305;35;"Trondheim";2023;1;"month";"Januar";7,91799459343681;1,3
2023-02-01;"lette";6,04133599631167;36;"Trondheim";2023;2;"month";"Februar";6,56331649233118;1,1
