"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";15638799;15057933;3,858;93;4,406;1,339;"2016-2017"
"Februar";15098048;15166864;-0,454;96;3,759;1,157;"2016-2017"
"Mars";14555576;13232177;10,001;93;5,607;1,77;"2016-2017"
"April";13525717;14930900;-9,411;96;5,558;1,754;"2016-2017"
"Mai";14818588;14713167;0,717;93;3,721;1,19;"2016-2017"
"Juni";14306510;14465920;-1,102;91;3,804;1,217;"2016-2017"
"Juli";12540759;12634018;-0,738;95;3,173;1,001;"2016-2017"
"August";15764290;15584826;1,152;92;3,683;1,148;"2016-2017"
"September";12830205;13393283;-4,204;88;4,752;1,562;"2016-2017"
"Oktober";16865240;16961867;-0,57;98;3,061;0,954;"2016-2017"
"November";16602566;16541440;0,37;98;3,584;1,117;"2016-2017"
"Desember";15412797;15675775;-1,678;97;3,556;1,123;"2016-2017"
"Hele året";177959095;178358170;-0,224;94;2,78;0,826;"2016-2017"
"Januar";15802018;15701809;0,638;96;3,8;1,199;"2017-2018"
"Februar";14491107;14752285;-1,77;97;3,482;1,099;"2017-2018"
"Mars";15445011;16718243;-7,616;97;4,465;1,392;"2017-2018"
"April";15512450;14448955;7,36;96;4,002;1,263;"2017-2018"
"Mai";15367412;15840871;-2,989;93;3,144;0,98;"2017-2018"
"Juni";16491591;16809048;-1,889;94;3,712;1,129;"2017-2018"
"Juli";13490798;13621415;-0,959;98;3,608;1,097;"2017-2018"
"August";15687036;15926985;-1,507;97;2,978;0,928;"2017-2018"
"September";14331366;14277650;0,376;91;5,257;1,638;"2017-2018"
"Oktober";17380273;17424872;-0,256;98;3,167;0,952;"2017-2018"
"November";16830892;17041171;-1,234;97;2,665;0,81;"2017-2018"
"Desember";16374590;16706252;-1,985;97;2,833;0,851;"2017-2018"
"Hele året";187204544;189269556;-1,091;96;2,261;0,664;"2017-2018"
"Januar";13817721;14151925;-2,362;96;2,668;0,853;"2018-2019"
"Februar";12689460;12898035;-1,617;92;3,215;1,028;"2018-2019"
"Mars";15034139;14430581;4,182;96;4,758;1,502;"2018-2019"
"April";12566401;13585980;-7,505;93;4,665;1,512;"2018-2019"
"Mai";13935587;14090053;-1,096;95;3,986;1,292;"2018-2019"
"Juni";14534037;15172194;-4,206;98;4,157;1,329;"2018-2019"
"Juli";11668244;11734635;-0,566;98;4,485;1,434;"2018-2019"
"August";12953169;13318172;-2,741;97;4,14;1,38;"2018-2019"
"September";14169872;14381413;-1,471;98;4,008;1,299;"2018-2019"
"Oktober";14839997;15061227;-1,469;97;3,75;1,184;"2018-2019"
"November";13815071;14326859;-3,572;98;4,264;1,382;"2018-2019"
"Desember";13839423;14138681;-2,117;97;4,079;1,287;"2018-2019"
"Hele året";163863121;167289755;-2,048;96;2,943;0,906;"2018-2019"
"Januar";11614565;11724546;-0,938;69,56;5,695;1,987;"2019-2020"
"Februar";11358370;11566194;-1,797;71,67;7,018;2,374;"2019-2020"
"Mars";9863217;13133916;-24,903;70,74;5,418;1,861;"2019-2020"
"April";9267378;11992671;-22,725;69,37;6,503;2,234;"2019-2020"
"Hele året";42103530;48417327;-13,04;70,3;5,688;1,896;"2019-2020"
