"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width"
"Bergen";2018;1;"month";2018-01-01;"Januar";0,64;3,79960021990555;1,19930181153758
"Bergen";2018;2;"month";2018-02-01;"Februar";-1,77;3,48164886538242;1,09894398087352
"Bergen";2018;3;"month";2018-03-01;"Mars";-7,62;4,46535324540154;1,39150202827853
"Bergen";2018;4;"month";2018-04-01;"April";7,36;4,00246742896335;1,26333460373766
"Bergen";2018;5;"month";2018-05-01;"Mai";-2,99;3,14384151118913;0,97968998173011
"Bergen";2018;6;"month";2018-06-01;"Juni";-1,89;3,71232415648314;1,1286497027272
"Bergen";2018;7;"month";2018-07-01;"Juli";-0,96;3,60833432334651;1,09703390375357
"Bergen";2018;8;"month";2018-08-01;"August";-1,51;2,97818704560292;0,92806841627076
"Bergen";2018;9;"month";2018-09-01;"September";0,38;5,25651683258644;1,63804595789969
"Bergen";2018;10;"month";2018-10-01;"Oktober";-0,26;3,16745001401068;0,951607332773815
"Bergen";2018;11;"month";2018-11-01;"November";-1,23;2,66493879927828;0,810215449084333
"Bergen";2018;12;"month";2018-12-01;"Desember";-1,99;2,83297748393673;0,851120660270101
"Bergen";2019;1;"month";2019-01-01;"Januar";-2,36;2,66771939122652;0,853178052295471
"Bergen";2019;2;"month";2019-02-01;"Februar";-1,62;3,21499929046957;1,02820665539078
"Bergen";2019;3;"month";2019-03-01;"Mars";4,18;4,75832025012786;1,50191119211909
"Bergen";2019;4;"month";2019-04-01;"April";-7,5;4,66535546091536;1,51233328979033
"Bergen";2019;5;"month";2019-05-01;"Mai";-1,1;3,98599995706431;1,29211171124535
"Bergen";2019;6;"month";2019-06-01;"Juni";-4,21;4,15700374818039;1,32947429663016
"Bergen";2019;7;"month";2019-07-01;"Juli";-0,57;4,48524838705568;1,43445202501984
"Bergen";2019;8;"month";2019-08-01;"August";-2,74;4,13973913835056;1,38025774806979
"Bergen";2019;9;"month";2019-09-01;"September";-1,47;4,00787738842277;1,29920355408899
"Bergen";2019;10;"month";2019-10-01;"Oktober";-1,47;3,75016198261401;1,18369717838898
"Bergen";2019;11;"month";2019-11-01;"November";-3,57;4,26430874218728;1,38232898281419
"Bergen";2019;12;"month";2019-12-01;"Desember";-2,12;4,07856733378868;1,28735469754562
"Bergen";2020;1;"month";2020-01-01;"Januar";-0,71;5,70632291208304;2,02337412321147
"Bergen";2020;2;"month";2020-02-01;"Februar";-1,64;7,06734935022176;2,42771944243343
"Bergen";2020;3;"month";2020-03-01;"Mars";-24,9;5,41837174393987;1,86127581604297
"Bergen";2020;4;"month";2020-04-01;"April";-22,72;6,50291391295984;2,23382908593136
"Bergen";2020;5;"month";2020-05-01;"Mai";-14,03;6,99569384672245;2,40310491577258
"Bergen";2020;6;"month";2020-06-01;"Juni";0,24;8,3153080359691;2,94848002220234
"Bergen";2020;7;"month";2020-07-01;"Juli";4,86;14,1553629942405;4,86253731814491
"Bergen";2020;8;"month";2020-08-01;"August";-2,16;9,69892794768281;3,43909030992258
"Bergen";2020;9;"month";2020-09-01;"September";-3,54;6,94329778600144;2,46198634153678
"Bergen";2020;10;"month";2020-10-01;"Oktober";-2,53;7,37533430410207;2,70529446357986
