"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";8131034;7725077;5,255;90;3,935;1,957;"2016-2017"
"Februar";8963915;8993038;-0,324;93;4,135;1,935;"2016-2017"
"Mars";11343852;10445040;8,605;92;4,617;1,95;"2016-2017"
"April";10674923;11430454;-6,61;95;5,499;2,322;"2016-2017"
"Mai";11016994;10904980;1,027;94;5,399;2,335;"2016-2017"
"Juni";9087373;9193151;-1,151;87;3,777;1,82;"2016-2017"
"Juli";9880664;9929144;-0,488;94;6,206;2,752;"2016-2017"
"August";10211999;10283643;-0,697;94;4,524;2,006;"2016-2017"
"September";12056883;12185145;-1,053;96;2,365;0,976;"2016-2017"
"Oktober";12155181;12099773;0,458;98;2,989;1,207;"2016-2017"
"November";10444956;10356943;0,85;98;3,729;1,613;"2016-2017"
"Desember";8906217;9054938;-1,642;98;2,392;1,12;"2016-2017"
"Hele året";122873991;122601326;0,222;94;1,844;0,702;"2016-2017"
"Januar";6330810;6485787;-2,389;99;2,598;1,5;"2017-2018"
"Februar";6485290;6625423;-2,115;98;3,701;2,049;"2017-2018"
"Mars";8452731;8895313;-4,975;94;3,639;1,871;"2017-2018"
"April";8794847;8175117;7,581;95;3,154;1,621;"2017-2018"
"Mai";7556304;7635336;-1,035;96;3,115;1,798;"2017-2018"
"Juni";7939876;7748639;2,468;90;2,853;1,58;"2017-2018"
"Juli";7644663;7365613;3,789;97;5,042;2,687;"2017-2018"
"August";8074950;7946795;1,613;97;4,638;2,678;"2017-2018"
"September";7944812;8068534;-1,533;94;4,024;2,069;"2017-2018"
"Oktober";9042177;9015259;0,299;96;3,76;1,812;"2017-2018"
"November";7939977;7967882;-0,35;96;2,734;1,36;"2017-2018"
"Desember";7649758;7764658;-1,48;95;2,788;1,386;"2017-2018"
"Hele året";92124499;91970175;0,168;96;2,463;1,092;"2017-2018"
"Januar";5784159;5678722;1,857;97;3,881;2,149;"2018-2019"
"Februar";5722719;5738738;-0,279;95;2,944;1,569;"2018-2019"
"Mars";6054813;5819038;4,052;95;4,708;2,718;"2018-2019"
"April";5822813;6017376;-3,233;97;4,636;2,677;"2018-2019"
"Mai";6008069;5926564;1,375;97;2,73;1,65;"2018-2019"
"Juni";5403462;5528166;-2,256;97;2,223;1,494;"2018-2019"
"Juli";5473313;5494604;-0,387;98;2,454;1,359;"2018-2019"
"August";5461328;5500259;-0,708;99;2,74;1,656;"2018-2019"
"September";6407807;6349361;0,921;97;2,544;1,356;"2018-2019"
"Oktober";7894156;7796150;1,257;98;2,269;1,209;"2018-2019"
"November";6220900;6352510;-2,072;94;1,995;1,105;"2018-2019"
"Desember";6599666;6570007;0,451;94;1,655;0,916;"2018-2019"
"Hele året";72853205;72771495;0,112;97;2,179;1,02;"2018-2019"
"Januar";5359659;5272184;1,659;27,58;2,215;1,703;"2019-2020"
"Februar";3752721;3632723;3,303;23,36;5,081;4,248;"2019-2020"
"Mars";3133941;4216738;-25,679;26,01;5,704;4,769;"2019-2020"
"April";3839148;5247570;-26,84;27,27;7,043;5,414;"2019-2020"
"Hele året";16085469;18369215;-12,432;26,09;4,582;2,911;"2019-2020"
