"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";5124932;4965371;3,213;90;3,278;1,815;"2016-2017"
"Februar";5805353;5839781;-0,59;92;4,913;2,526;"2016-2017"
"Mars";7988740;7354416;8,625;91;5,389;2,453;"2016-2017"
"April";7415275;7968954;-6,948;95;6,106;2,779;"2016-2017"
"Mai";7286487;7288723;-0,031;94;6,23;2,916;"2016-2017"
"Juni";6163612;6273883;-1,758;86;4,383;2,254;"2016-2017"
"Juli";6200550;6279083;-1,251;94;7,649;3,687;"2016-2017"
"August";7290564;7372717;-1,114;95;5,129;2,4;"2016-2017"
"September";8551506;8630633;-0,917;96;2,637;1,169;"2016-2017"
"Oktober";9143528;9072532;0,783;98;3,154;1,332;"2016-2017"
"November";7579957;7569459;0,139;98;3,905;1,777;"2016-2017"
"Desember";6193551;6296703;-1,638;98;2,763;1,374;"2016-2017"
"Hele året";84744055;84912255;-0,198;94;2,053;0,829;"2016-2017"
"Januar";3744434;3811643;-1,763;99;3;1,906;"2017-2018"
"Februar";4016076;4107831;-2,234;98;4,473;2,703;"2017-2018"
"Mars";5714548;5995487;-4,686;93;4,303;2,383;"2017-2018"
"April";5919958;5510559;7,429;94;3,766;2,085;"2017-2018"
"Mai";4510656;4565594;-1,203;95;3,619;2,3;"2017-2018"
"Juni";4686989;4618128;1,491;89;3,278;1,981;"2017-2018"
"Juli";4587565;4493801;2,087;96;5,704;3,294;"2017-2018"
"August";4804026;4738510;1,383;96;5,936;3,771;"2017-2018"
"September";5502545;5640949;-2,454;95;4,469;2,475;"2017-2018"
"Oktober";6175163;6152338;0,371;96;4,512;2,32;"2017-2018"
"November";5604342;5614741;-0,185;98;3,23;1,721;"2017-2018"
"Desember";5451194;5527677;-1,384;96;3,294;1,755;"2017-2018"
"Hele året";58985800;59053077;-0,114;96;2,964;1,387;"2017-2018"
"Januar";4600967;4518899;1,816;97;4,331;2,501;"2018-2019"
"Februar";4624542;4629994;-0,118;95;3,242;1,795;"2018-2019"
"Mars";4785524;4584616;4,382;95;5,227;3,159;"2018-2019"
"April";4567903;4726254;-3,35;97;5,198;3,141;"2018-2019"
"Mai";4635027;4558499;1,679;97;3,021;1,92;"2018-2019"
"Juni";3968916;4055559;-2,136;97;2,561;1,832;"2018-2019"
"Juli";4094915;4112552;-0,429;97;2,798;1,616;"2018-2019"
"August";3988083;4026173;-0,946;99;3,126;1,986;"2018-2019"
"September";5057466;4996729;1,216;97;2,768;1,533;"2018-2019"
"Oktober";5114706;5035320;1,577;99;2,75;1,588;"2018-2019"
"November";4441331;4500024;-1,304;98;1,834;1,108;"2018-2019"
"Desember";4396504;4391471;0,115;96;1,733;1,047;"2018-2019"
"Hele året";54275884;54136090;0,258;97;2,494;1,24;"2018-2019"
"Januar";2765284;2748312;0,618;23,67;2,598;2,402;"2019-2020"
"Februar";2588468;2529946;2,313;22,33;5,737;5,306;"2019-2020"
"Mars";2192644;2942682;-25,488;24,3;6,79;6,28;"2019-2020"
"April";2000829;2718736;-26,406;23,62;9,712;8,982;"2019-2020"
"Hele året";9547225;10939676;-12,728;23,5;5,97;4,271;"2019-2020"
