"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";4219321;4287748;-1,596;89;5,738;3,041;"2016-2017"
"Februar";4445810;4701633;-5,441;92;6,667;3,301;"2016-2017"
"Mars";5714326;5625966;1,571;90;7,373;3,54;"2016-2017"
"April";5634621;6355960;-11,349;91;8,121;3,899;"2016-2017"
"Mai";5334088;5644709;-5,503;94;7,588;3,883;"2016-2017"
"Juni";4957391;5373370;-7,741;90;7,429;3,937;"2016-2017"
"Juli";4119616;4395445;-6,275;92;6,346;3,638;"2016-2017"
"August";4069959;4288338;-5,092;91;5,948;3,741;"2016-2017"
"September";4585269;4887130;-6,177;95;5,295;3,035;"2016-2017"
"Oktober";5615991;5545595;1,269;95;6,291;3,219;"2016-2017"
"November";4844213;4780919;1,324;98;5,054;2,781;"2016-2017"
"Desember";5185707;5278517;-1,758;95;3,68;1,95;"2016-2017"
"Hele året";58726312;61165330;-3,988;93;5,133;2,214;"2016-2017"
"Januar";6055394;6106680;-0,84;93;6,838;3,103;"2017-2018"
"Februar";4909602;5017832;-2,157;93;5,782;2,697;"2017-2018"
"Mars";5628783;6050158;-6,965;97;6,073;2,916;"2017-2018"
"April";6149985;5732881;7,276;96;5,494;2,563;"2017-2018"
"Mai";6038980;6056638;-0,292;96;5,24;2,516;"2017-2018"
"Juni";5548237;5486707;1,121;93;4,272;2,186;"2017-2018"
"Juli";5567948;5522962;0,815;97;3,715;1,84;"2017-2018"
"August";6178632;6149786;0,469;99;2,904;1,486;"2017-2018"
"September";5771140;5921374;-2,537;94;3,695;1,774;"2017-2018"
"Oktober";6230005;6164158;1,068;99;3,404;1,635;"2017-2018"
"November";6136597;6154133;-0,285;97;2,742;1,317;"2017-2018"
"Desember";5466878;5528558;-1,116;98;5,324;2,724;"2017-2018"
"Hele året";69682181;69891867;-0,3;96;2,664;1,052;"2017-2018"
"Januar";5416966;5375054;0,78;95;7,537;3,748;"2018-2019"
"Februar";4817161;4770621;0,976;94;8,232;4,093;"2018-2019"
"Mars";4893192;4688939;4,356;98;8,587;4,755;"2018-2019"
"April";4746545;4859807;-2,331;98;10,587;5,863;"2018-2019"
"Mai";3918593;3881650;0,952;98;12,756;8,569;"2018-2019"
"Juni";4929549;4967423;-0,762;94;13,826;7,657;"2018-2019"
"Juli";3972194;3902843;1,777;99;15,136;9,617;"2018-2019"
"August";5335357;5310586;0,466;98;13,37;7,404;"2018-2019"
"September";4066554;3978974;2,201;90;13,27;8,019;"2018-2019"
"Oktober";4731625;4674079;1,231;99;12,136;7,007;"2018-2019"
"November";4499227;4471135;0,628;98;11,384;6,573;"2018-2019"
"Desember";4280523;4263609;0,397;98;5,464;3,155;"2018-2019"
"Hele året";55607486;55144720;0,839;96;9,841;4,894;"2018-2019"
"Januar";5414518;5202207;4,081;63,07;6,413;3,297;"2019-2020"
"Februar";5036062;4752576;5,965;62,9;8,518;4,38;"2019-2020"
"Mars";4292815;5563839;-22,844;65,43;7,401;3,805;"2019-2020"
"April";3670803;4835920;-24,093;60,14;7,259;4,02;"2019-2020"
"Hele året";18414198;20354542;-9,533;62,94;5,818;2,648;"2019-2020"
