"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";6553284;6318060;3,723;91;3,274;1,352;"2016-2017"
"Februar";6531480;6703324;-2,564;92;2,739;1,106;"2016-2017"
"Mars";6605921;6245878;5,764;94;5,787;2,444;"2016-2017"
"April";8165654;8833908;-7,565;92;3,712;1,468;"2016-2017"
"Mai";10497510;10337075;1,552;95;2,722;1,017;"2016-2017"
"Juni";7043074;7118635;-1,061;92;3,188;1,379;"2016-2017"
"Juli";6561201;6667079;-1,588;94;2,414;1,099;"2016-2017"
"August";8319038;8248557;0,854;93;2,701;1,141;"2016-2017"
"September";6942909;6971491;-0,41;98;2,733;1,182;"2016-2017"
"Oktober";7858979;7729197;1,679;92;1,901;0,752;"2016-2017"
"November";8018871;7826910;2,453;99;1,498;0,593;"2016-2017"
"Desember";9042425;9052183;-0,108;94;2,102;0,8;"2016-2017"
"Hele året";92140346;92052297;0,096;94;1,79;0,625;"2016-2017"
"Januar";8062204;8005541;0,708;96;2,452;0,951;"2017-2018"
"Februar";7140318;7243862;-1,429;98;2,452;0,97;"2017-2018"
"Mars";5238848;5631922;-6,979;97;4,772;2,015;"2017-2018"
"April";9007673;8283902;8,737;95;7,541;2,924;"2017-2018"
"Mai";9347746;9452620;-1,109;95;3,425;1,328;"2017-2018"
"Juni";9467523;9443860;0,251;94;2,161;0,855;"2017-2018"
"Juli";8851150;8685592;1,906;98;2,227;0,94;"2017-2018"
"August";7329776;7317093;0,173;95;1,662;0,719;"2017-2018"
"September";6594827;6650780;-0,841;99;2,351;1,07;"2017-2018"
"Oktober";7319514;7191810;1,776;95;2,058;0,89;"2017-2018"
"November";7640458;7673827;-0,435;96;2,49;1,077;"2017-2018"
"Desember";7762627;7873777;-1,412;98;1,88;0,813;"2017-2018"
"Hele året";93762664;93454586;0,33;96;1,82;0,656;"2017-2018"
"Januar";7119333;7065614;0,76;95;2,457;0,993;"2018-2019"
"Februar";6508318;6270533;3,792;98;2,776;1,172;"2018-2019"
"Mars";5285714;4864332;8,663;97;4,62;2,103;"2018-2019"
"April";5097483;5215504;-2,263;98;4,642;2,113;"2018-2019"
"Mai";6856135;6608745;3,743;97;3,227;1,363;"2018-2019"
"Juni";6551749;6668485;-1,751;96;3,08;1,365;"2018-2019"
"Juli";6610199;6464316;2,257;98;2,729;1,21;"2018-2019"
"August";6164119;6113675;0,825;91;2,033;0,901;"2018-2019"
"September";5161710;5099894;1,212;99;2,662;1,324;"2018-2019"
"Oktober";6279224;6137361;2,311;95;1,801;0,799;"2018-2019"
"November";5963073;5924331;0,654;95;1,749;0,776;"2018-2019"
"Desember";6031959;5979888;0,871;97;2,392;1,061;"2018-2019"
"Hele året";73629016;72412678;1,68;96;1,828;0,709;"2018-2019"
"Januar";4420277;4253387;3,924;47,44;2,516;1,251;"2019-2020"
"Februar";5992895;5781106;3,663;53,24;2,054;0,935;"2019-2020"
"Mars";5356523;6791433;-21,128;56,63;4,058;1,847;"2019-2020"
"April";4800340;5981935;-19,753;53,33;8,16;3,819;"2019-2020"
"Hele året";20570035;22807861;-9,812;52,64;4,714;1,946;"2019-2020"
