"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";4953790;4795777;3,295;91;3,481;1,79;"2016-2017"
"Februar";5047950;5180259;-2,554;92;2,963;1,473;"2016-2017"
"Mars";5042899;4753581;6,086;95;6,319;3,367;"2016-2017"
"April";5521686;6026693;-8,38;95;3,306;1,7;"2016-2017"
"Mai";8753888;8619864;1,555;96;2,896;1,318;"2016-2017"
"Juni";5728288;5813800;-1,471;92;3,27;1,811;"2016-2017"
"Juli";5497247;5599439;-1,825;93;2,501;1,444;"2016-2017"
"August";6974794;6924379;0,728;94;2,918;1,5;"2016-2017"
"September";5382738;5400186;-0,323;98;3,088;1,645;"2016-2017"
"Oktober";6212004;6113704;1,608;95;1,822;0,906;"2016-2017"
"November";6401126;6256801;2,307;99;1,625;0,808;"2016-2017"
"Desember";7288285;7301527;-0,181;93;2,198;1,029;"2016-2017"
"Hele året";72804695;72786010;0,026;94;1,864;0,787;"2016-2017"
"Januar";6202367;6168448;0,55;96;2,68;1,292;"2017-2018"
"Februar";5525804;5621217;-1,697;98;2,704;1,303;"2017-2018"
"Mars";3584546;3898965;-8,064;96;4,753;2,533;"2017-2018"
"April";7292189;6649641;9,663;96;8,13;3,805;"2017-2018"
"Mai";7281154;7418931;-1,857;95;3,338;1,66;"2017-2018"
"Juni";7863754;7846997;0,214;95;2,292;1,14;"2017-2018"
"Juli";7118740;6976847;2,034;98;1,983;1,098;"2017-2018"
"August";5445500;5445595;-0,002;96;1,83;1,057;"2017-2018"
"September";4821947;4882629;-1,243;99;2,537;1,533;"2017-2018"
"Oktober";5620643;5544297;1,377;96;1,817;1,006;"2017-2018"
"November";6302209;6358948;-0,892;95;2,366;1,261;"2017-2018"
"Desember";6086265;6195264;-1,759;98;1,806;1;"2017-2018"
"Hele året";73145118;73007779;0,188;96;2,024;0,897;"2017-2018"
"Januar";5436266;5417871;0,34;96;2,344;1,205;"2018-2019"
"Februar";4973874;4819126;3,211;99;2,36;1,257;"2018-2019"
"Mars";3471860;3209416;8,177;96;4,868;2,942;"2018-2019"
"April";3341295;3487031;-4,179;98;4,12;2,49;"2018-2019"
"Mai";4634517;4463102;3,841;97;3,729;2,153;"2018-2019"
"Juni";4557254;4700363;-3,045;96;2,545;1,538;"2018-2019"
"Juli";4388667;4305495;1,932;97;2,379;1,438;"2018-2019"
"August";4411571;4402504;0,206;91;1,935;1,169;"2018-2019"
"September";3731617;3714649;0,457;99;2,609;1,753;"2018-2019"
"Oktober";4210102;4138453;1,731;97;1,565;0,994;"2018-2019"
"November";4125387;4116433;0,218;93;1,368;0,826;"2018-2019"
"Desember";4217704;4190089;0,659;95;1,53;0,924;"2018-2019"
"Hele året";51500114;50964532;1,051;96;1,611;0,828;"2018-2019"
"Januar";2689640;2610434;3,034;44,13;2,413;1,726;"2019-2020"
"Februar";3348101;3261555;2,654;45,46;1,874;1,259;"2019-2020"
"Mars";2984557;3809123;-21,647;48,33;4,711;3,165;"2019-2020"
"April";2932345;3667479;-20,045;48,64;9,096;6,111;"2019-2020"
"Hele året";11954643;13348591;-10,443;46,64;4,294;2,595;"2019-2020"
