"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";4732162;4523568;4,611;91;1,796;1,207;"2016-2017"
"Februar";4753863;4727488;0,558;98;2,088;1,327;"2016-2017"
"Mars";4746720;4311297;10,1;91;4,391;2,95;"2016-2017"
"April";4565098;4857035;-6,011;93;5,884;3,953;"2016-2017"
"Mai";3822160;3783003;1,035;95;3,344;2,571;"2016-2017"
"Juni";4546789;4419778;2,874;93;5,887;4,212;"2016-2017"
"Juli";4347409;4308141;0,911;94;2,668;1,793;"2016-2017"
"August";4853218;4796366;1,185;93;1,845;1,239;"2016-2017"
"September";5032240;5018126;0,281;96;2,728;1,833;"2016-2017"
"Oktober";5297638;5222771;1,433;100;1,539;1,034;"2016-2017"
"November";5633039;5603996;0,518;100;2,325;1,477;"2016-2017"
"Desember";6038415;6145621;-1,744;99;2,056;1,242;"2016-2017"
"Hele året";58368751;57717190;1,129;95;1,807;1,092;"2016-2017"
"Januar";5584558;5619056;-0,614;98;1,621;1,03;"2017-2018"
"Februar";4973641;4969120;0,091;96;1,838;1,168;"2017-2018"
"Mars";5720026;5993752;-4,567;99;4,151;2,637;"2017-2018"
"April";5903134;5528625;6,774;99;4,21;2,675;"2017-2018"
"Mai";5631396;5581034;0,902;99;2,578;1,732;"2017-2018"
"Juni";5600077;5621623;-0,383;99;2,155;1,448;"2017-2018"
"Juli";5549405;5536321;0,236;98;2,817;1,702;"2017-2018"
"August";6210535;6157194;0,866;96;1,666;1,007;"2017-2018"
"September";5544092;5639921;-1,699;98;1,821;1,157;"2017-2018"
"Oktober";5610553;5535782;1,351;99;2,16;1,451;"2017-2018"
"November";5689234;5697781;-0,15;99;2,262;1,437;"2017-2018"
"Desember";4742598;4770145;-0,577;99;1,336;0,956;"2017-2018"
"Hele året";66759249;66650354;0,163;98;1,418;0,857;"2017-2018"
"Januar";4856183;4810848;0,942;97;1,962;1,318;"2018-2019"
"Februar";4349980;4357233;-0,166;94;2,812;1,889;"2018-2019"
"Mars";4883465;4752865;2,748;99;3,123;2,234;"2018-2019"
"April";4657815;4768069;-2,312;95;4,923;3,522;"2018-2019"
"Mai";5861856;5827707;0,586;99;2,022;1,285;"2018-2019"
"Juni";5475366;5557895;-1,485;99;1,475;0,991;"2018-2019"
"Juli";4970590;4846027;2,57;97;2,913;1,851;"2018-2019"
"August";5351862;5333848;0,338;96;2,813;1,787;"2018-2019"
"September";5014775;4905126;2,235;98;1,508;1,013;"2018-2019"
"Oktober";4996785;4941720;1,114;99;1,471;1,052;"2018-2019"
"November";3242742;3283973;-1,256;99;1,843;1,541;"2018-2019"
"Desember";3057864;3046776;0,364;99;3,104;2,87;"2018-2019"
"Hele året";56719283;56432087;0,509;98;1,284;0,816;"2018-2019"
"Januar";5126706;5310940;-3,469;90,9;8,247;5,24;"2019-2020"
"Februar";4767494;4807496;-0,832;90,48;8,583;5,454;"2019-2020"
"Mars";3786622;5057598;-25,13;88,83;5,757;3,867;"2019-2020"
"April";3058102;4234980;-27,789;74,06;9,885;7,598;"2019-2020"
"Hele året";16738924;19411014;-13,766;86,24;6,241;3,966;"2019-2020"
