"periode";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";-0,203;98;4,085;2,032;"2017-2018"
"Februar";-1,176;97;4,333;2,228;"2017-2018"
"Mars";-6,14;95;4,847;2,583;"2017-2018"
"April";11,229;96;5,908;2,765;"2017-2018"
"Mai";-0,926;99;3,169;1,576;"2017-2018"
"Juni";-0,663;98;2,832;1,408;"2017-2018"
"Juli";-0,891;99;2,555;1,231;"2017-2018"
"August";-1,243;97;2,482;1,162;"2017-2018"
"September";-3,179;99;2,994;1,363;"2017-2018"
"Oktober";-5,872;98;9,242;4,098;"2017-2018"
"November";-6,168;95;10,323;4,831;"2017-2018"
"Desember";-5,374;97;8,889;4,046;"2017-2018"
"Hele året";-1,815;98;3,989;1,725;"2017-2018"
"Januar";-4,876;98;8,112;3,693;"2018-2019"
"Februar";-3,953;97;9,048;4,361;"2018-2019"
"Mars";0,726;96;8,1;4,028;"2018-2019"
"April";-12,363;97;9,628;4,788;"2018-2019"
"Mai";-3,696;99;10,4;4,867;"2018-2019"
"Juni";-6,675;96;6,77;3,607;"2018-2019"
"Juli";-2,406;99;8,268;4,579;"2018-2019"
"August";-4,393;98;9,352;4,507;"2018-2019"
"September";-1,546;99;9,233;4,321;"2018-2019"
"Hele året";-4,399;98;8,537;3,886;"2018-2019"
