"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";9559459;9578888;-0,203;98;4,085;2,032;"2017-2018"
"Februar";8476397;8577261;-1,176;97;4,333;2,228;"2017-2018"
"Mars";7961356;8482200;-6,14;95;4,847;2,583;"2017-2018"
"April";9980693;8973126;11,229;96;5,908;2,765;"2017-2018"
"Mai";9679548;9770012;-0,926;99;3,169;1,576;"2017-2018"
"Juni";9801714;9867173;-0,663;98;2,832;1,408;"2017-2018"
"Juli";8121587;8194638;-0,891;99;2,555;1,231;"2017-2018"
"August";9933543;10058579;-1,243;97;2,482;1,162;"2017-2018"
"September";10278036;10615456;-3,179;99;2,994;1,363;"2017-2018"
"Oktober";10492647;11147191;-5,872;98;9,242;4,098;"2017-2018"
"November";8292914;8838031;-6,168;95;10,323;4,831;"2017-2018"
"Desember";9711851;10263362;-5,374;97;8,889;4,046;"2017-2018"
"Hele året";112289745;114365917;-1,815;98;3,989;1,725;"2017-2018"
"Januar";9926981;10435828;-4,876;98;8,112;3,693;"2018-2019"
"Februar";8370036;8714500;-3,953;97;9,048;4,361;"2018-2019"
"Mars";7843991;7769536;0,958;99;8,504;4,373;"2018-2019"
"April";7278771;8213630;-11,382;99;9,704;4,989;"2018-2019"
"Mai";10287202;10681960;-3,696;99;10,4;4,867;"2018-2019"
"Juni";8031767;8606197;-6,675;96;6,77;3,607;"2018-2019"
"Juli";6517520;6678214;-2,406;99;8,268;4,579;"2018-2019"
"August";9359298;9789317;-4,393;98;9,352;4,507;"2018-2019"
"September";9963416;10119848;-1,546;99;9,233;4,321;"2018-2019"
"Oktober";10009612;9671450;3,496;99;2,635;1,233;"2018-2019"
"November";8335037;8200737;1,638;94;2,27;1,062;"2018-2019"
"Desember";9743093;9613654;1,346;96;1,973;0,898;"2018-2019"
"Hele året";105666724;108494871;-2,607;98;6,711;3,055;"2018-2019"
"Januar";7004013;6709071;4,396;77,68;9,934;4,788;"2019-2020"
"Februar";7706850;7419570;3,872;80,21;8,574;4,013;"2019-2020"
"Mars";7024486;8727775;-19,516;82,14;7,643;3,577;"2019-2020"
"April";6423570;7883714;-18,521;78,22;6,891;3,321;"2019-2020"
"Hele året";28158919;30740130;-8,397;79,56;8,011;3,552;"2019-2020"
