"periode";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";5,656;90;3,281;1,687;"2016-2017"
"Februar";0,384;93;2,462;1,363;"2016-2017"
"Mars";13,405;93;4,045;2,24;"2016-2017"
"April";-8,838;93;4,926;2,844;"2016-2017"
"Mai";4,563;97;4,49;2,393;"2016-2017"
"Juni";0,084;92;4,228;2,038;"2016-2017"
"Juli";3,31;96;9,65;4,517;"2016-2017"
"August";2,645;90;6,811;3,1;"2016-2017"
"September";-0,938;96;4,65;2,241;"2016-2017"
"Oktober";-2,604;99;5,237;2,322;"2016-2017"
"November";-2,153;96;5,617;2,318;"2016-2017"
"Desember";-5,034;97;3,843;1,586;"2016-2017"
"Hele året";0,297;95;3,262;1,318;"2016-2017"
"Januar";-5,008;98;3,015;1,244;"2017-2018"
"Februar";-4,742;98;3,259;1,345;"2017-2018"
"Mars";-11,971;99;3,571;1,626;"2017-2018"
"April";5,834;99;4,801;2,128;"2017-2018"
"Mai";-5,137;99;3,409;1,439;"2017-2018"
"Juni";-1,515;99;2,17;0,938;"2017-2018"
"Juli";-1,299;98;4,567;1,975;"2017-2018"
"August";-1,787;98;2,758;1,165;"2017-2018"
"September";-3,891;98;2,247;0,928;"2017-2018"
"Oktober";0,446;99;2,15;0,908;"2017-2018"
"November";0,713;96;2,714;1,074;"2017-2018"
"Desember";-1,515;99;1,632;0,645;"2017-2018"
"Hele året";-2,59;98;2,119;0,806;"2017-2018"
"Januar";1,306;97;1,324;0,587;"2018-2019"
"Februar";-1,13;95;2,074;0,944;"2018-2019"
"Mars";5,678;97;3,657;1,819;"2018-2019"
"April";-5,4;96;2,015;0,971;"2018-2019"
"Mai";1,314;98;2,779;1,339;"2018-2019"
"Juni";-2,954;94;2,659;1,245;"2018-2019"
"Juli";1,876;98;5,761;2,696;"2018-2019"
"August";-1,538;97;4,08;1,91;"2018-2019"
"September";0,83;92;1,67;0,859;"2018-2019"
"Oktober";1,172;95;2,257;1,123;"2018-2019"
"Hele året";0,052;96;1,934;0,817;"2018-2019"
