"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";22826554;24029913;-5,008;98;3,015;1,244;"2017-2018"
"Februar";21519383;22590573;-4,742;98;3,259;1,345;"2017-2018"
"Mars";20255519;23010040;-11,971;99;3,571;1,626;"2017-2018"
"April";21035434;19875810;5,834;99;4,801;2,128;"2017-2018"
"Mai";23181554;24436838;-5,137;99;3,409;1,439;"2017-2018"
"Juni";24622264;25001058;-1,515;99;2,17;0,938;"2017-2018"
"Juli";18007085;18244077;-1,299;98;4,567;1,975;"2017-2018"
"August";23493653;23921033;-1,787;98;2,758;1,165;"2017-2018"
"September";25038829;26052461;-3,891;98;2,247;0,928;"2017-2018"
"Oktober";22428288;22328725;0,446;99;2,15;0,908;"2017-2018"
"November";26234974;26049179;0,713;96;2,714;1,074;"2017-2018"
"Desember";25463235;25854875;-1,515;99;1,632;0,645;"2017-2018"
"Hele året";274106772;281394582;-2,59;98;2,119;0,806;"2017-2018"
"Januar";17853989;17623813;1,306;97;1,324;0,587;"2018-2019"
"Februar";15556689;15734520;-1,13;95;2,074;0,944;"2018-2019"
"Mars";15421306;14555989;5,945;99;3,561;1,831;"2018-2019"
"April";14749848;15591833;-5,4;96;2,015;0,971;"2018-2019"
"Mai";16536319;16321804;1,314;98;2,779;1,339;"2018-2019"
"Juni";17515157;18048363;-2,954;94;2,659;1,245;"2018-2019"
"Juli";15398830;15115242;1,876;98;5,761;2,696;"2018-2019"
"August";17691491;17967892;-1,538;97;4,08;1,91;"2018-2019"
"September";15802927;15672800;0,83;92;1,67;0,859;"2018-2019"
"Oktober";15970264;15785267;1,172;95;2,257;1,123;"2018-2019"
"November";19264563;19850728;-2,953;98;2,49;1,166;"2018-2019"
"Desember";18505611;18512747;-0,039;97;1,875;0,831;"2018-2019"
"Hele året";200266994;200780998;-0,256;96;1,738;0,734;"2018-2019"
"Januar";21735521;21463949;1,265;42,91;3,683;1,211;"2019-2020"
"Februar";19915212;19188959;3,785;42,2;3,669;1,206;"2019-2020"
"Mars";17575880;23235933;-24,359;43,34;4,504;1,48;"2019-2020"
"April";17245230;22299405;-22,665;46,27;8,479;2,787;"2019-2020"
"Hele året";76471843;86188246;-11,273;43,66;3,823;1,223;"2019-2020"
